metric,variable,vif,removed
corrected_richness,z_bio7,2.0186620017293007,FALSE
corrected_richness,z_bio11,2.9123081472360752,FALSE
corrected_richness,z_bio13,1.9017834366614337,FALSE
corrected_richness,z_elev_sd,1.3461780388996762,FALSE
corrected_richness,z_texture_shannon,1.5477094678521062,FALSE
corrected_richness,z_habitat_diversity_shannon,1.5510716484186862,FALSE
corrected_richness,z_landcover_built,1.9810646734908701,FALSE
corrected_richness,z_landcover_cropland,1.9748712105661559,FALSE
corrected_richness,z_landcover_trees,1.884952484159602,FALSE
corrected_richness,z_delta_t_mean,1.7372504709578256,FALSE
corrected_richness,z_delta_t_extreme,1.800850163259902,FALSE
corrected_richness,z_delta_forest,1.1214653350798147,FALSE
corrected_richness,z_delta_impervious,2.4728225460228574,FALSE
corrected_richness,z_delta_hfi,2.7258107596187156,FALSE
corrected_richness,z_hfi_mean,NA,TRUE
corrected_richness,z_bio4,NA,TRUE
corrected_richness,z_elev_mean,NA,TRUE
shannon,z_bio7,2.0186620017292976,FALSE
shannon,z_bio11,2.9123081472360677,FALSE
shannon,z_bio13,1.9017834366614303,FALSE
shannon,z_elev_sd,1.3461780388996727,FALSE
shannon,z_texture_shannon,1.5477094678521048,FALSE
shannon,z_habitat_diversity_shannon,1.5510716484186837,FALSE
shannon,z_landcover_built,1.981064673490867,FALSE
shannon,z_landcover_cropland,1.9748712105661563,FALSE
shannon,z_landcover_trees,1.8849524841596004,FALSE
shannon,z_delta_t_mean,1.7372504709578225,FALSE
shannon,z_delta_t_extreme,1.8008501632598997,FALSE
shannon,z_delta_forest,1.1214653350798145,FALSE
shannon,z_delta_impervious,2.472822546022858,FALSE
shannon,z_delta_hfi,2.7258107596187156,FALSE
shannon,z_hfi_mean,NA,TRUE
shannon,z_bio4,NA,TRUE
shannon,z_elev_mean,NA,TRUE
inv_simpson,z_bio7,2.0186620017292998,FALSE
inv_simpson,z_bio11,2.9123081472360717,FALSE
inv_simpson,z_bio13,1.901783436661431,FALSE
inv_simpson,z_elev_sd,1.346178038899675,FALSE
inv_simpson,z_texture_shannon,1.5477094678521068,FALSE
inv_simpson,z_habitat_diversity_shannon,1.5510716484186844,FALSE
inv_simpson,z_landcover_built,1.9810646734908675,FALSE
inv_simpson,z_landcover_cropland,1.9748712105661579,FALSE
inv_simpson,z_landcover_trees,1.8849524841596002,FALSE
inv_simpson,z_delta_t_mean,1.7372504709578247,FALSE
inv_simpson,z_delta_t_extreme,1.8008501632599012,FALSE
inv_simpson,z_delta_forest,1.1214653350798147,FALSE
inv_simpson,z_delta_impervious,2.472822546022859,FALSE
inv_simpson,z_delta_hfi,2.7258107596187156,FALSE
inv_simpson,z_hfi_mean,NA,TRUE
