grid_cell,period,corrected_richness_mean,shannon_mean,inv_simpson_mean,trait_volume_mean,trait_dispersion_mean,rao_q_mean,feve_mean,fdiv_mean,pd_prob_mean,mpd_prob_mean,corrected_richness_sd,shannon_sd,inv_simpson_sd,trait_volume_sd,trait_dispersion_sd,rao_q_sd,feve_sd,fdiv_sd,pd_prob_sd,mpd_prob_sd,corrected_richness_q025,shannon_q025,inv_simpson_q025,trait_volume_q025,trait_dispersion_q025,rao_q_q025,feve_q025,fdiv_q025,pd_prob_q025,mpd_prob_q025,corrected_richness_q975,shannon_q975,inv_simpson_q975,trait_volume_q975,trait_dispersion_q975,rao_q_q975,feve_q975,fdiv_q975,pd_prob_q975,mpd_prob_q975
56,P1,91.06123876331303,4.743841983632028,107.00339133615779,1.3349977415068564,1.2048540009420954,1.62754710397178,0.16637967307796198,0.7107585931225169,NA,NA,2.0581888240016633,0.016320127637740708,2.028731630516056,0.012870361081797337,0.01339789189264882,0.018109401048783592,0.002836804654186664,0.003218693624833639,NA,NA,86.92801319576051,4.714274910124171,103.11403273315861,1.3103251779574363,1.1783482020886,1.5918772363948857,0.16009732934467988,0.7047283388403947,NA,NA,94.88944389225152,4.77278597132657,110.8063679361828,1.3593683648873265,1.2276644750263739,1.658826413505761,0.17117900376477707,0.7168112562869273,NA,NA
57,P1,93.23334444372753,4.784828257233809,110.82517336199906,1.3454694368628766,1.2178389791275925,1.6444401476493966,0.1682480138696702,0.7053278598111719,NA,NA,1.8143926998851954,0.015203967022351755,1.9480592005943924,0.011343665486230343,0.011659238593225143,0.01589900835858198,0.002430788824922352,0.0029647085439142642,NA,NA,89.80899738141166,4.753079914523903,106.78957400824228,1.3249599679355313,1.1933337520202645,1.613112564497726,0.1636485359930441,0.6990527731984111,NA,NA,96.74778734935465,4.81038695201678,114.55179829091658,1.3666402585824777,1.2393553461328481,1.675680086491048,0.17289019255567128,0.711800610863402,NA,NA
128,P1,91.34314874245703,4.759330684236521,108.7889749764999,1.34700557688818,1.2122741854741201,1.6403590710602125,0.1682016749112677,0.7137048357208551,NA,NA,1.8380242373997826,0.01447555298428184,1.864653960002215,0.012240242956259894,0.013208568879456959,0.017326105690798975,0.0026489102150370186,0.0035359343856207854,NA,NA,87.59088203892112,4.729513862966717,104.94556163854081,1.3250602930769995,1.1882383490281134,1.609334044364216,0.16245460842078188,0.7070945887902528,NA,NA,94.58284794857508,4.785940248612825,112.05323024988425,1.369194320611289,1.2365925624455896,1.6717080948139071,0.1726414317272993,0.7202319441722824,NA,NA
198,P1,86.10471791503693,4.731418700787911,104.37805731182493,1.335926979404357,1.2060771536862571,1.6279008832951316,0.1623505733304537,0.708646584339429,NA,NA,1.5634361371588277,0.014623148913959534,1.6999196688727423,0.011777857743670765,0.012242614158316237,0.01642312508545729,0.002758593514643375,0.0029360984216929386,NA,NA,83.37070924254151,4.706153870443716,101.40738525630289,1.315624820385432,1.1844839176287245,1.5973809756310853,0.15666304738288866,0.7025764545723056,NA,NA,89.42830656919708,4.760348332631545,107.81265735937778,1.3566889164746823,1.2278585564211653,1.6563900320123668,0.1675705695641349,0.7143890237941092,NA,NA
199,P1,94.93658996230074,4.808590510087786,113.71430607819374,1.3600964179883956,1.2322899333833988,1.6637671279188404,0.16936517240795906,0.7037984578117807,NA,NA,1.7122928089827523,0.014317863518888342,1.8698733101098064,0.010213819281840186,0.011033374872674114,0.014858266625389718,0.002181968018871786,0.003078076416250445,NA,NA,91.62070844488471,4.781326147881309,109.87800408809765,1.3421374557877332,1.2138627989588362,1.6385432162089955,0.1653985026300346,0.6978237865424435,NA,NA,98.64420889668101,4.832860658192186,117.2948323853555,1.3803308156927547,1.25399382671035,1.693126718948184,0.17454508016139372,0.7097295966914042,NA,NA
203,P1,91.18637054488667,4.671349225402328,101.69642827049756,1.3249725863088986,1.1928628026463188,1.606328560817091,0.1643629066325859,0.718260850168676,NA,NA,1.5844452771952513,0.014871237475389577,1.679339202713008,0.010499527351366274,0.011472310105866319,0.014867244044055867,0.001264022254485522,0.003334964318133363,NA,NA,88.37325376188215,4.639465009304004,98.3733571888382,1.3050985846220875,1.1700431208994457,1.575691142476828,0.16119967867807775,0.7112497375777145,NA,NA,94.4997007515799,4.701101858258812,105.08084366549637,1.3483513257887496,1.2164353800490975,1.63987056548435,0.16643469762752347,0.7243906097459214,NA,NA
270,P1,86.0864380877043,4.719386363619732,103.56015599446499,1.3230656466733235,1.1930583118264584,1.609614287123954,0.16253833565925435,0.7106612176337099,NA,NA,1.4916065366869549,0.01358003469780878,1.5340901486591387,0.010524769584306893,0.011289850264175984,0.01504022365143865,0.002298719571932681,0.0028609362192445766,NA,NA,83.52295041695515,4.6949612071443365,100.88141911825572,1.3024193887391122,1.171853358035161,1.579155083639061,0.15839942550165442,0.7051472564719238,NA,NA,89.03463880599679,4.746136601931772,106.59277739843054,1.3430237985441928,1.213489445369435,1.6349735972669883,0.16663276782621322,0.7162063165143684,NA,NA
271,P1,86.82138767565353,4.738076143995142,105.0156269253115,1.3293390222676424,1.2007789051074225,1.6202172833714137,0.16353865671035347,0.7082029792482799,NA,NA,1.5206553613686167,0.014287309914039908,1.6584753632106812,0.011076393116313322,0.011580494224406272,0.015682004941253085,0.0024024651857875324,0.0029014894819275835,NA,NA,84.26678784772689,4.71158043371392,102.06637053921676,1.3095570351582448,1.1794152935132949,1.5872861670223792,0.15908507680251602,0.7028385727809645,NA,NA,89.9347667797518,4.766962449944036,108.74165745258446,1.349618710869767,1.2240102036668647,1.6499628223435525,0.1679990075795938,0.7136351222773797,NA,NA
272,P1,87.64377577117996,4.744527083003233,105.77303666940104,1.3283570840104688,1.200371024334871,1.6193083738865337,0.16464237513173852,0.70767147442004,NA,NA,1.5057932063845048,0.014009471029582542,1.6430220453991127,0.010856616185994032,0.01129861444226239,0.015441063487758411,0.0023072570534848806,0.0029169231549513396,NA,NA,84.98801149342734,4.719143583509006,102.6543036123357,1.3080403715824467,1.178498109470889,1.5855189210942358,0.16033063247293228,0.702333938103123,NA,NA,90.60849343098435,4.773536532920884,109.28140563650753,1.348379517620749,1.2228186633689861,1.6484222361867669,0.1690924676037305,0.7133757737208609,NA,NA
274,P1,98.14439459025206,4.836446025114076,116.97068777543889,1.3525923479147806,1.2269779040502737,1.6557518558463906,0.17295263163361926,0.7024276489731754,NA,NA,1.6689368798298465,0.013714445650726471,1.8488891759863493,0.010008255842345926,0.010368868096657116,0.014304300235058,0.002936378322478764,0.00292046385847877,NA,NA,94.97451519033395,4.810641862978059,113.3039968800047,1.3343508089924763,1.2079300326283327,1.6290961446431016,0.16813284888797664,0.696718198966024,NA,NA,101.53331489182298,4.862911900809723,120.29171739815094,1.3710966559191353,1.2451910554439005,1.6818062380653929,0.1795532663876617,0.7083679791927693,NA,NA
276,P1,102.84155466145293,4.837704815556038,118.34916399605281,1.344808464412868,1.2189052318547555,1.645778307735994,0.1744353626194363,0.7058512841981172,NA,NA,1.7611080133994905,0.014222226967650737,1.856718395975591,0.009870169345983002,0.009972584783506808,0.013719728910998189,0.003272624306443255,0.002850905892124841,NA,NA,99.20820968683142,4.80618856750029,114.54045069467456,1.327269438381721,1.2014809749418816,1.6226116970241709,0.16901257012319545,0.7001014886781682,NA,NA,105.98420711398522,4.8626624603847395,121.48059780287147,1.363153203053303,1.2379211279488742,1.6713828965856745,0.1809619688316225,0.711540169871077,NA,NA
341,P1,82.56459248249114,4.683210037579184,100.14600283978524,1.332309918927048,1.198665039981692,1.621293328933384,0.16320725857450225,0.7145358358337536,NA,NA,2.0139864739554496,0.01742516387391085,2.0022730366877486,0.014232122745667476,0.015677231152381337,0.0207565209520636,0.003616316595999591,0.004072837454100059,NA,NA,78.96170931545198,4.649086150087887,96.4486169842001,1.3064613061457688,1.1692766443832048,1.5838561197154992,0.15675603500490304,0.7064866366877511,NA,NA,86.67303184145494,4.7121107247798255,103.83952423212408,1.3602946360017554,1.2274388192646182,1.6594070586117677,0.17099710127119583,0.7218633142945253,NA,NA
