metric,variable,vif,removed
corrected_richness,z_bio7,2.0186620017293007,FALSE
corrected_richness,z_bio11,2.9123081472360726,FALSE
corrected_richness,z_bio13,1.901783436661434,FALSE
corrected_richness,z_elev_sd,1.346178038899675,FALSE
corrected_richness,z_texture_shannon,1.5477094678521082,FALSE
corrected_richness,z_habitat_diversity_shannon,1.5510716484186857,FALSE
corrected_richness,z_landcover_built,1.9810646734908686,FALSE
corrected_richness,z_landcover_cropland,1.9748712105661594,FALSE
corrected_richness,z_landcover_trees,1.8849524841596017,FALSE
corrected_richness,z_delta_t_mean,1.7372504709578247,FALSE
corrected_richness,z_delta_t_extreme,1.8008501632599012,FALSE
corrected_richness,z_delta_forest,1.1214653350798154,FALSE
corrected_richness,z_delta_impervious,2.4728225460228574,FALSE
corrected_richness,z_delta_hfi,2.7258107596187156,FALSE
corrected_richness,z_hfi_mean,NA,TRUE
corrected_richness,z_bio4,NA,TRUE
corrected_richness,z_elev_mean,NA,TRUE
shannon,z_bio7,2.0186620017292998,FALSE
shannon,z_bio11,2.912308147236073,FALSE
shannon,z_bio13,1.901783436661433,FALSE
shannon,z_elev_sd,1.3461780388996751,FALSE
shannon,z_texture_shannon,1.5477094678521084,FALSE
shannon,z_habitat_diversity_shannon,1.5510716484186873,FALSE
shannon,z_landcover_built,1.9810646734908692,FALSE
shannon,z_landcover_cropland,1.9748712105661588,FALSE
shannon,z_landcover_trees,1.8849524841596021,FALSE
shannon,z_delta_t_mean,1.7372504709578256,FALSE
shannon,z_delta_t_extreme,1.8008501632599014,FALSE
shannon,z_delta_forest,1.1214653350798154,FALSE
shannon,z_delta_impervious,2.47282254602286,FALSE
shannon,z_delta_hfi,2.725810759618718,FALSE
shannon,z_hfi_mean,NA,TRUE
shannon,z_bio4,NA,TRUE
shannon,z_elev_mean,NA,TRUE
inv_simpson,z_bio7,2.018662001729298,FALSE
inv_simpson,z_bio11,2.91230814723607,FALSE
inv_simpson,z_bio13,1.901783436661431,FALSE
inv_simpson,z_elev_sd,1.3461780388996738,FALSE
inv_simpson,z_texture_shannon,1.5477094678521055,FALSE
inv_simpson,z_habitat_diversity_shannon,1.5510716484186844,FALSE
inv_simpson,z_landcover_built,1.9810646734908675,FALSE
inv_simpson,z_landcover_cropland,1.9748712105661579,FALSE
inv_simpson,z_landcover_trees,1.8849524841596002,FALSE
inv_simpson,z_delta_t_mean,1.737250470957824,FALSE
inv_simpson,z_delta_t_extreme,1.8008501632599003,FALSE
inv_simpson,z_delta_forest,1.1214653350798147,FALSE
inv_simpson,z_delta_impervious,2.4728225460228574,FALSE
inv_simpson,z_delta_hfi,2.7258107596187156,FALSE
inv_simpson,z_hfi_mean,NA,TRUE
inv_simpson,z_bio4,NA,TRUE
inv_simpson,z_elev_mean,NA,TRUE
trait_volume,z_bio7,2.018662001729299,FALSE
trait_volume,z_bio11,2.91230814723607,FALSE
trait_volume,z_bio13,1.9017834366614328,FALSE
trait_volume,z_elev_sd,1.346178038899675,FALSE
trait_volume,z_texture_shannon,1.5477094678521068,FALSE
trait_volume,z_habitat_diversity_shannon,1.5510716484186844,FALSE
trait_volume,z_landcover_built,1.9810646734908675,FALSE
trait_volume,z_landcover_cropland,1.9748712105661579,FALSE
trait_volume,z_landcover_trees,1.8849524841596017,FALSE
trait_volume,z_delta_t_mean,1.7372504709578247,FALSE
trait_volume,z_delta_t_extreme,1.8008501632599019,FALSE
trait_volume,z_delta_forest,1.1214653350798154,FALSE
trait_volume,z_delta_impervious,2.4728225460228597,FALSE
trait_volume,z_delta_hfi,2.725810759618717,FALSE
trait_volume,z_hfi_mean,NA,TRUE
trait_volume,z_bio4,NA,TRUE
trait_volume,z_elev_mean,NA,TRUE
trait_dispersion,z_bio7,2.0186620017292998,FALSE
trait_dispersion,z_bio11,2.9123081472360726,FALSE
trait_dispersion,z_bio13,1.9017834366614328,FALSE
trait_dispersion,z_elev_sd,1.346178038899675,FALSE
trait_dispersion,z_texture_shannon,1.5477094678521075,FALSE
trait_dispersion,z_habitat_diversity_shannon,1.5510716484186857,FALSE
trait_dispersion,z_landcover_built,1.9810646734908701,FALSE
trait_dispersion,z_landcover_cropland,1.9748712105661588,FALSE
trait_dispersion,z_landcover_trees,1.8849524841596017,FALSE
trait_dispersion,z_delta_t_mean,1.737250470957824,FALSE
trait_dispersion,z_delta_t_extreme,1.8008501632599012,FALSE
trait_dispersion,z_delta_forest,1.1214653350798147,FALSE
trait_dispersion,z_delta_impervious,2.4728225460228574,FALSE
trait_dispersion,z_delta_hfi,2.7258107596187156,FALSE
trait_dispersion,z_hfi_mean,NA,TRUE
trait_dispersion,z_bio4,NA,TRUE
trait_dispersion,z_elev_mean,NA,TRUE
rao_q,z_bio7,2.018662001729302,FALSE
rao_q,z_bio11,2.9123081472360757,FALSE
rao_q,z_bio13,1.901783436661433,FALSE
rao_q,z_elev_sd,1.3461780388996751,FALSE
rao_q,z_texture_shannon,1.5477094678521075,FALSE
rao_q,z_habitat_diversity_shannon,1.551071648418685,FALSE
rao_q,z_landcover_built,1.9810646734908686,FALSE
rao_q,z_landcover_cropland,1.9748712105661579,FALSE
rao_q,z_landcover_trees,1.8849524841596021,FALSE
rao_q,z_delta_t_mean,1.7372504709578243,FALSE
rao_q,z_delta_t_extreme,1.8008501632599014,FALSE
rao_q,z_delta_forest,1.121465335079815,FALSE
rao_q,z_delta_impervious,2.472822546022858,FALSE
rao_q,z_delta_hfi,2.725810759618716,FALSE
rao_q,z_hfi_mean,NA,TRUE
rao_q,z_bio4,NA,TRUE
rao_q,z_elev_mean,NA,TRUE
feve,z_bio7,2.018662001729296,FALSE
feve,z_bio11,2.91230814723607,FALSE
feve,z_bio13,1.901783436661431,FALSE
feve,z_elev_sd,1.346178038899675,FALSE
feve,z_texture_shannon,1.5477094678521055,FALSE
feve,z_habitat_diversity_shannon,1.5510716484186844,FALSE
feve,z_landcover_built,1.9810646734908675,FALSE
feve,z_landcover_cropland,1.9748712105661579,FALSE
feve,z_landcover_trees,1.8849524841596002,FALSE
feve,z_delta_t_mean,1.737250470957824,FALSE
feve,z_delta_t_extreme,1.8008501632598997,FALSE
feve,z_delta_forest,1.1214653350798143,FALSE
feve,z_delta_impervious,2.4728225460228574,FALSE
feve,z_delta_hfi,2.7258107596187156,FALSE
feve,z_hfi_mean,NA,TRUE
feve,z_bio4,NA,TRUE
feve,z_elev_mean,NA,TRUE
fdiv,z_bio7,2.0186620017292998,FALSE
fdiv,z_bio11,2.9123081472360717,FALSE
