grid_cell,pa_frac_all,pa_frac_pre2000,pa_frac_post2000,pa_frac_national,pa_frac_wetland,pa_frac_forest,pa_frac,n_pa_overlapping,pa_year_min,pa_year_first_major,newly_protected_2000_2024
555,0.09884401369475838,0.09884401369475838,0,0.09884401369475838,0.09884401369475838,0,0.09884401369475838,1,1986,1986,FALSE
556,0,0,0,0,0,0,0,0,NA,NA,FALSE
557,0,0,0,0,0,0,0,0,NA,NA,FALSE
558,0,0,0,0,0,0,0,0,NA,NA,FALSE
559,0,0,0,0,0,0,0,0,NA,NA,FALSE
560,0,0,0,0,0,0,0,0,NA,NA,FALSE
561,0,0,0,0,0,0,0,0,NA,NA,FALSE
563,0,0,0,0,0,0,0,0,NA,NA,FALSE
564,0.05050127916168095,0,0.05050127916168095,0.05050127916168095,0,0.05050127916168095,0.05050127916168095,1,2003,2003,TRUE
592,0.8979924452878562,0.8979924452878562,0,0.8979924452878562,0,0.8979924452878562,0.8979924452878562,1,1980,1980,FALSE
593,0.6120332227855422,0.6120332227855422,0,0.6120332227855422,0,0.6120332227855422,0.6120332227855422,1,1980,1980,FALSE
625,0,0,0,0,0,0,0,0,NA,NA,FALSE
626,0.7753533789768902,0.7753533789768902,0,0.7753533789768902,0.7753533789768902,0,0.7753533789768902,1,1986,1986,FALSE
627,0.24992546721533265,0.24992546721533265,0,0.24992546721533265,0.24992546721533265,0,0.24992546721533265,1,1986,1986,FALSE
628,0,0,0,0,0,0,0,0,NA,NA,FALSE
629,0,0,0,0,0,0,0,0,NA,NA,FALSE
630,0,0,0,0,0,0,0,0,NA,NA,FALSE
634,0,0,0,0,0,0,0,0,NA,NA,FALSE
635,0,0,0,0,0,0,0,0,NA,NA,FALSE
636,0,0,0,0,0,0,0,0,NA,NA,FALSE
637,0.09116393831565432,0.0033933314111189708,0.08777060690453536,0,0.08777060690453536,0,0.09116393831565432,2,1986,2002,TRUE
640,0.1537523938025363,0.12545236859696374,0.028300025205572545,0.1537523938025363,0.0274342679414254,0,0.1537523938025363,3,1999,1999,FALSE
663,0.3343318243059038,0,0,0,0,0,0.3343318243059038,1,NA,NA,FALSE
664,0.06836386607464523,0.06836386607464523,0,0.06836386607464523,0,0.06836386607464523,0.06836386607464523,1,1980,1980,FALSE
665,0.10113643370956367,0.04031461666375532,0.06082181704580836,0.04031461666375532,0,0.10113643370956367,0.10113643370956367,2,1980,1980,FALSE
666,0.9305282573096433,0,0.9305282573096433,0,0,0.9305282573096433,0.9305282573096433,1,2001,2001,TRUE
696,0,0,0,0,0,0,0,0,NA,NA,FALSE
698,0.40320738370099035,0.40320738370099035,0,0.40320738370099035,0.40320738370099035,0,0.40320738370099035,1,1986,1986,FALSE
699,0.07387652515597586,0.07387652515597586,0,0.07387652515597586,0.07387652515597586,0,0.07387652515597586,1,1986,1986,FALSE
700,0,0,0,0,0,0,0,0,NA,NA,FALSE
701,0.04587934088044904,0.04587934088044904,0,0.04587934088044904,0,0.04587934088044904,0.04587934088044904,1,1998,1998,FALSE
702,0,0,0,0,0,0,0,0,NA,NA,FALSE
704,0,0,0,0,0,0,0,0,NA,NA,FALSE
705,0,0,0,0,0,0,0,0,NA,NA,FALSE
706,0,0,0,0,0,0,0,0,NA,NA,FALSE
708,0,0,0,0,0,0,0,0,NA,NA,FALSE
710,0.3170376843937163,0,0.31703704104563013,0.31703704104563013,0.31703704104563013,0,0.3170376843937163,3,2005,2005,TRUE
711,0.056566121727938866,0.03465062357485792,0.021915498153080946,0.056566121727938866,0.021915498153080946,0.03465062357485792,0.056566121727938866,2,1958,1958,FALSE
712,0.07988977338069594,5.74766727769695e-7,0.07988919861396818,0.07988977338069594,5.74766727769695e-7,0,0.07988977338069594,2,1999,2004,TRUE
716,0.07136700836718894,0.07136700836718894,0,0.07136700836718894,0.07136700836718894,0,0.07136700836718894,1,1999,1999,FALSE
717,0.18126402575601605,0.18126402575601605,0,0.18126402575601605,0.18126402575601605,0,0.18126402575601605,2,1994,1994,FALSE
735,0.059701486115016356,0,0,0,0,0,0.059701486115016356,1,NA,NA,FALSE
736,0,0,0,0,0,0,0,0,NA,NA,FALSE
737,0.05209820678534867,0,0.05209820678534867,0,0,0.05209820678534867,0.05209820678534867,1,2001,2001,TRUE
738,0.8693762976031734,0.021065307804764982,0.8693762976031734,0,0,0.8693762976031734,0.8693762976031734,5,1986,1986,FALSE
772,0,0,0,0,0,0,0,0,NA,NA,FALSE
773,0.013762803456190959,0.013762803456190959,0,0,0,0,0.013762803456190959,2,1997,1997,FALSE
774,0.13649246572444348,0.13649246572444348,0,0,0,0,0.13649246572444348,2,1997,1997,FALSE
775,0,0,0,0,0,0,0,0,NA,NA,FALSE
776,0,0,0,0,0,0,0,0,NA,NA,FALSE
777,6.400926789182337e-4,6.400926789182337e-4,0,0,0,0,6.400926789182337e-4,1,1989,NA,FALSE
778,0.13641385808452056,0.014917181272824882,0.12149787105042406,0.12149787105042406,0.12149787105042406,0,0.13641385808452056,5,1987,1995,FALSE
783,0,0,0,0,0,0,0,0,NA,NA,FALSE
784,0.0032885790711652406,0.0032885790711652406,0,0,0.0032885790711652406,0,0.0032885790711652406,1,1997,NA,FALSE
787,0,0,0,0,0,0,0,0,NA,NA,FALSE
788,0,0,0,0,0,0,0,0,NA,NA,FALSE
804,0,0,0,0,0,0,0,0,NA,NA,FALSE
805,0,0,0,0,0,0,0,0,NA,NA,FALSE
806,0,0,0,0,0,0,0,0,NA,NA,FALSE
807,0,0,0,0,0,0,0,0,NA,NA,FALSE
808,0,0,0,0,0,0,0,0,NA,NA,FALSE
809,0,0,0,0,0,0,0,0,NA,NA,FALSE
810,0.04018188578312833,0,0.04018188578312833,0,0,0.04018188578312833,0.04018188578312833,1,2001,2001,TRUE
811,0.4000415544540247,0,0.4000415544540247,0,0,0.4000415544540247,0.4000415544540247,1,2001,2001,TRUE
812,0.8213189189773509,0,0.8213189189773509,0,0,0.8213189189773509,0.8213189189773509,1,2001,2001,TRUE
813,0.9906157314689279,0,0.9906157314689279,0,0,0.9906157314689279,0.9906157314689279,1,2001,2001,TRUE
845,0.009051630335804625,0.009051630335804625,0,0,0,0,0.009051630335804625,2,1997,NA,FALSE
846,0.03121604009841785,0.03121604009841785,0,0,0,0,0.03121604009841785,2,1997,1997,FALSE
847,0,0,0,0,0,0,0,0,NA,NA,FALSE
848,0,0,0,0,0,0,0,0,NA,NA,FALSE
849,0.0166026585883109,0.0166026585883109,0,0,0,0,0.0166026585883109,1,1989,1989,FALSE
850,0.015230849333436351,0.015230849333436415,0,0.0017127176486713281,0,0,0.015230849333436351,4,1986,NA,FALSE
851,0.06645076518046558,0,0.06645076518046558,0.06645076518046558,0.06645076518046558,0,0.06645076518046558,1,2007,2007,TRUE
