mean,sd,q025,median,q975,metric,period_pair,grid_cell
0.039532955144078855,0.003007705301004234,0.03407140071219312,0.03932500232343981,0.045734995271030546,beta_sor,P1_P2,56
0.040844741385639274,0.002814992620637554,0.03587299770344105,0.04087889398267959,0.04631670326883878,beta_sor,P1_P2,57
0.04025399546085374,0.0027753775472773266,0.03508490951258488,0.04016883554670373,0.045461095300587284,beta_sor,P1_P2,128
0.04480605282896541,0.002996290749970589,0.03899382891062428,0.04471347871281392,0.05060374259782257,beta_sor,P1_P2,198
0.042498355486413425,0.0027933832423755263,0.03686158706792734,0.042358755377982865,0.04787692059047839,beta_sor,P1_P2,199
0.02951018589549316,0.0027222784274053384,0.0246290374386052,0.029301165585588387,0.03510912186523149,beta_sor,P1_P2,203
0.04263490788192321,0.0029711983760373115,0.036971196165799906,0.04240712362560406,0.048608704684648896,beta_sor,P1_P2,270
0.04390109389937292,0.00294652646997935,0.03804615419411696,0.043766695651844156,0.050015859924032714,beta_sor,P1_P2,271
0.04372665704109272,0.0029388723532515998,0.03789268151746278,0.043586965799408045,0.04970227971752951,beta_sor,P1_P2,272
0.04259036671121926,0.0028291878278735487,0.037006577413988336,0.04247420969328814,0.04766423768764443,beta_sor,P1_P2,274
0.03711880367950111,0.002666376318566627,0.03210724274678961,0.03713989353589284,0.04246337882454827,beta_sor,P1_P2,276
0.03920743054234707,0.003227874074826208,0.033381315272848794,0.03914768289385949,0.04611392154224488,beta_sor,P1_P2,341
0.03647981414533024,0.0030448321857424014,0.03095918095028023,0.03640169452026455,0.042833246405108556,beta_sor,P1_P2,342
0.0341027646301874,0.0027295359915449685,0.02853523577131285,0.03409011266847972,0.039367638157544606,beta_sor,P1_P2,343
0.03904248085917766,0.003018181144004433,0.033335325997090375,0.03894651245626153,0.044764530087537197,beta_sor,P1_P2,344
0.04088696756081605,0.0030253564054191877,0.03539756932586268,0.0408116575799926,0.04722529535847618,beta_sor,P1_P2,345
0.04042408244838507,0.0028872421793563864,0.03537185498128571,0.04013000279489373,0.046489808807162206,beta_sor,P1_P2,347
