env_var,spearman_rho,n_species
bio4,0.3714617865446637,200
bio7,0.3980289507237682,200
bio11,0.3650341258531464,200
bio13,0.3943328583214581,200
elev_mean,0.40402910072751824,200
hfi_mean,0.37904897622440564,200
landcover_built,0.3629625740643516,200
landcover_cropland,0.4052666316657917,200
centroid_lat,0.3519867996699918,200
centroid_lon,0.15466886672166805,200
