term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,38337.760710875,6976.668639913651,25328.354925000003,52484.598175
delta_t_mean,148.6961793361982,312.2375754039299,-469.49375749999996,764.5317399999999
delta_t_extreme,449.55227907780915,328.17395574431686,-188.14342574999998,1095.331165
delta_forest,462.46493018505,202.93151814640763,59.92486700000001,859.3216364999998
delta_impervious,67.984614856482,293.993960783451,-504.7307435,654.4428089999996
delta_natural,-116.98192518740258,139.36033547264466,-386.134517,155.22859324999988
delta_hfi,136.5737425855374,307.80421204317344,-467.41589799999997,746.6722447499999
bio11,-1343.85780278125,183.6727849496786,-1710.5163699999998,-980.6449980000001
elev_mean,-323.454839649533,157.40164404023275,-630.663933,-12.057093800000036
centroid_lon,9307.571929934875,3787.0810293478908,2057.069127500001,17082.029874999997
centroid_lat,-11034.011233050525,5492.505802615992,-22802.293775,-864.5091182500023
