species,year_slope,year_l95,year_u95,year_sig,order_lat,family_lat,genus_lat,body_mass_g,body_length_mm,clutch_size,egg_volume_mm3,longevity_y,maturity_y,avonet_hwi,elev_range_m,avonet_range_size,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,niche_rel,diet_specialization,habitat_breadth_data,habitat_openness_avonet,migration_class,migration_score,status
Emberiza godlewskii,0.11141246679793536,-0.2822790600855953,0.5951867069467857,FALSE,PASSERIFORMES,Emberizidae,Emberiza,19,161.5,4,2868.21834803245,11.070985912698411,0.9970075725476116,21.4,3700,5814242.22,Shrubland,2,2,Omnivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.2876929523916014,2,2,2,Stable
Emberiza pusilla,0.39912808704787606,0.05188137834591715,0.7683210770423641,TRUE,PASSERIFORMES,Emberizidae,Emberiza,14.25,132.5,5,2165.9955,12.346238094177062,1.0132689884075892,24.5,1000,10268381.21,Forest,2,3,Herbivore,Granivore,Generalist,0.07858048162230671,0.9214195183776933,1.3160648967794522,1,3,3,Winner
Emberiza spodocephala,0.4143543645372772,0.03331911446016957,0.7609498914936174,TRUE,PASSERIFORMES,Emberizidae,Emberiza,20.95,145.5,4.5,2741.76,9.578985912698416,0.9909948013428482,19.4,1300,4863864.08,Shrubland,2,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.3551059169620212,2,3,3,Winner
Enicurus leschenaulti,0.31521577643645293,-0.00620711674129122,0.6643997402692919,FALSE,PASSERIFORMES,Muscicapidae,Enicurus,47,278.5,3,3859.463409375,14.46347216810967,1.7329006805613567,20.2,450,6166589.04,Riverine,3,1,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.4409640370219028,3,1,1,Stable
Eophona migratoria,0.33306359706716865,-0.00731363020224296,0.6840723102596973,FALSE,PASSERIFORMES,Fringillidae,Eophona,50.25,190.5,4.5,5418.75,12.045080790043292,1.0138053409819303,33.1,1000,3312437.98,Forest,2,1,Herbivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.3142463781195075,1,1,1,Stable
Eremophila alpestris,0.23937441150850564,-0.12529937547082998,0.6337488171577804,FALSE,PASSERIFORMES,Alaudidae,Eremophila,37.5,171.5,3.5,4274.31,8,0.999315537303217,38.6,5400,35118904.89,Grassland,3,3,Omnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.3141479717461706,2.5,3,3,Stable
Eudynamys scolopaceus,0.5700696881452284,0.1453572677380722,0.9838118938600284,TRUE,CUCULIFORMES,Cuculidae,Eudynamys,208.5,400,1,2928.35470306392,18.32413313492063,1.5355350271068948,31.4,1800,9692360.68,Woodland,2,2,Herbivore,Frugivore,Insessorial,0.021546261089987327,0.9784537389100126,1.3454860182813864,1.5,2,2,Winner
Eumyias thalassinus,0.34783004168293963,-0.01295579245002037,0.7154451452338076,FALSE,PASSERIFORMES,Muscicapidae,Eumyias,18.5,149,4,2872.32,10.634857936507938,1.0845906342687628,20.9,1200,4490414.63,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.4172699539428706,1,1,1,Stable
Falco amurensis,0.6553841289617763,0.2473493609186773,1.0101901309784898,TRUE,FALCONIFORMES,Falconidae,Falco,137,275,4,21558.42624,15.47607162698413,1.500893725314154,52.9,500,2793291.94,Grassland,3,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3437925926965686,2.5,3,3,Winner
Falco peregrinus,0.3493076932148598,-0.06780490732795647,0.8091333084464707,FALSE,FALCONIFORMES,Falconidae,Falco,736,435,3,54693.42,25,0.999315537303217,52.2,4000,38088662.45,Grassland,3,2,Carnivore,Vertivore,Aerial,0.05449936628643853,0.9455006337135614,1.3285702306445262,2.5,2,2,Stable
Falco subbuteo,0.34606375474199985,-0.02705487184409084,0.7454168479737695,FALSE,FALCONIFORMES,Falconidae,Falco,171,310,3,22456.32,14.9,0.999315537303217,57.8,4000,28255832.68,Woodland,3,3,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.3337302981424082,1.5,3,3,Stable
Falco tinnunculus,0.5997680794120183,0.21850586858493584,0.9466353094182433,TRUE,FALCONIFORMES,Falconidae,Falco,206.5,328,4.5,18796.38966,23.8,0.999315537303217,51,5500,49037026.09,Shrubland,3,3,Carnivore,Vertivore,Aerial,0.05449936628643853,0.9455006337135614,1.3302656201447123,2,3,3,Winner
Ficedula albicilla,0.27107555620243295,-0.15832649458361447,0.7241361618701965,FALSE,PASSERIFORMES,Muscicapidae,Ficedula,10.5,120,5.5,1508.325,9.42029920634921,1.0068358593266156,26.6,2296.837164779665,10678211.07,Woodland,2,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.324047134385627,1.5,3,3,Stable
Fringilla montifringilla,0.6972410199528845,0.22542694506287164,1.067111001736432,TRUE,PASSERIFORMES,Fringillidae,Fringilla,23.5,152,6,2305.39125,14.8,0.999315537303217,32.5,3050,13666715.85,Forest,1,3,Herbivore,Omnivore,Generalist,0.1761723700887199,0.8238276299112801,1.3260578879083296,1,3,3,Winner
Fulica atra,0.714073860495781,0.27984148299102485,1.085581521960182,TRUE,GRUIFORMES,Rallidae,Fulica,677.5,406,9,32487,20.6,0.999315537303217,39.6,3500,33490842.86,Wetland,3,1,Herbivore,Herbivore aquatic,Generalist,0.024081115335868188,0.9759188846641318,1.337712027053918,3,1,1,Winner
Gallinago gallinago,0.3722114857805845,0.01392677412144114,0.7029248438567379,TRUE,CHARADRIIFORMES,Scolopacidae,Gallinago,132,273,4,21074.73,18.2,0.999315537303217,44.3,2800,20105909.91,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3200327269370713,3,3,3,Winner
Gallinula chloropus,0.648354230773736,0.266116249059929,0.9600080918231898,TRUE,GRUIFORMES,Rallidae,Gallinula,270,292.5,8,18659.49648,18.6,0.999315537303217,32.2,3000,38515141.7,Wetland,3,1,Omnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.3211941081120397,3,1,1,Winner
Garrulax canorus,0.5873402044483272,0.10356409918728404,1.136666669146715,TRUE,PASSERIFORMES,Leiothrichidae,Garrulax,56.5,225.5,4,5593.94775,11.489327579365083,1.0578752566735097,7,1800,1868020.76,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.372190142730888,2,1,1,Winner
Garrulus glandarius,0.2467700237393835,-0.06038054458225658,0.6371756006472703,FALSE,PASSERIFORMES,Corvidae,Garrulus,155,330,6.5,10102.2075,17.9,0.999315537303217,19.4,3600,19458203.9,Forest,1,2,Omnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.32950179902166,1,2,2,Stable
Gracupica nigricollis,0.5374908164082143,0.11628352307434166,0.8970686329727973,TRUE,PASSERIFORMES,Sturnidae,Gracupica,162.5,285.5,5,11449.1685,13.144914087301588,1.1270980981715049,26.2,2000,2862924.75,Grassland,3,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3155018086110104,2.5,1,1,Winner
Gyps himalayensis,0.2275787235933072,-0.11269655468982774,0.6441219720325063,FALSE,ACCIPITRIFORMES,Accipitridae,Gyps,10000,1349.5,1,236905.2,38.83195416666667,4.56581495654699,35.5,2500,3859146.13,Rock,3,1,Scavenger,Scavenger,Terrestrial,0.0038022813688212928,0.9961977186311787,1.3436150134299083,4,1,1,Stable
Halcyon smyrnensis,0.4654544477719811,0.11201108414626042,0.8182623588085881,TRUE,CORACIIFORMES,Alcedinidae,Halcyon,77,280.5,6,8387.8935,5.5,1.0935499712091066,21.7,2300,6823580.46,Human Modified,2,2,Carnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.1010284516961526,4,2,2,Winner
Hemixos castanonotus,0.6914207073941911,0.23999817002320037,1.1275187933523367,TRUE,PASSERIFORMES,Pycnonotidae,Hemixos,39,208,4,5338.15419,14.06419832251082,1.237491457796898,19.7,1000,979934.26,Forest,1,2,Omnivore,Frugivore,Insessorial,0.021546261089987327,0.9784537389100126,1.4174735760509805,1,2,2,Winner
Himantopus himantopus,0.6700629965115389,0.28515984540186656,0.9934438117221058,TRUE,CHARADRIIFORMES,Recurvirostridae,Himantopus,183,376,4,26103.33,16,1.9904175222450375,52.2,3330,56867877.55,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3034802750536956,3,2,2,Winner
Hirundo rustica,0.5127050274837236,0.1675202903727327,0.8447116645074999,TRUE,PASSERIFORMES,Hirundinidae,Hirundo,18,165.5,4.5,3264,16,0.999315537303217,52.6,3000,51701054.06,Human Modified,3,3,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.327041514165251,4,3,3,Winner
Horornis fortipes,0.43203432825954186,0.10013665952064782,0.7818925872314116,TRUE,PASSERIFORMES,Scotocercidae,Horornis,11.5,118,4,1949.22,11.056706979458454,1.0453583542474691,11.3,1585,2424335.04,Forest,1,2,Carnivore,Invertivore,Generalist,0.47275031685678076,0.5272496831432192,1.3751111627904744,1,2,2,Winner
Hypsipetes leucocephalus,0.34505731753619234,-0.00439976568626966,0.6901319652879796,FALSE,PASSERIFORMES,Pycnonotidae,Hypsipetes,54,246,3,4106.95687875,14.980297023809522,1.439432034483881,24.7,1600,4614841.53,Forest,1,3,Herbivore,Frugivore,Insessorial,0.021546261089987327,0.9784537389100126,1.3624019347786387,1,3,3,Stable
Ixobrychus sinensis,0.45560368772536647,0.1140970513831033,0.8272844279552514,TRUE,PELECANIFORMES,Ardeidae,Ixobrychus,76,330,7,13467.1875,13.421683297258296,1.1848762942320423,31,1500,8593201.95,Wetland,1,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3448380193262792,3,3,3,Winner
Ixos mcclellandii,0.6971541083837974,0.22782764170461964,1.1018751815386862,TRUE,PASSERIFORMES,Pycnonotidae,Ixos,40,226,3,5338.15419,13.33801607142857,1.2738730701954497,18.1,1900,2391920.69,Woodland,1,1,Omnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.4659508684977913,1.5,1,1,Winner
Lanius cristatus,0.2791782135968332,-0.1349609730148801,0.7093683553203591,FALSE,PASSERIFORMES,Laniidae,Lanius,30,189,6,4220.964,10.375988528138535,0.9937542452983898,26.6,1800,14145065.02,Shrubland,3,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3381254947153267,2,3,3,Stable
Lanius schach,0.5259332318746228,0.15247201565590082,0.8552332365210491,TRUE,PASSERIFORMES,Laniidae,Lanius,57,250,4.5,10070.0877,12.046048196248204,1.0941345811196914,20.3,3000,11170512.1,Shrubland,2,2,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.2740805315114145,2,2,2,Winner
Lanius sphenocercus,0.6297900772780679,0.16314938231467593,1.074131605381449,TRUE,PASSERIFORMES,Laniidae,Lanius,96,277.5,6,7944.04611,11.182968362193362,1.0460319252957837,25.9,1100,1889472.71,Grassland,3,2,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.315527423761671,2.5,2,2,Winner
Lanius tephronotus,0.2193073670083956,-0.15653850710107295,0.6388032404507493,FALSE,PASSERIFORMES,Laniidae,Lanius,46,224.5,5,5129.1873,10.17756388888889,1.0818503525526089,20.6,1800,1356194.63,Grassland,3,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3014115041546388,2.5,3,3,Stable
Leiothrix lutea,0.19960509206746743,-0.19428317716168308,0.6383213733924485,FALSE,PASSERIFORMES,Leiothrichidae,Leiothrix,21,141.5,3.5,3333.22128,15,1.0519833936312353,12.8,2300,2885282.76,Shrubland,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.209216561917182,2,1,1,Stable
Lonchura punctulata,0.6019834091925363,0.08373192609634841,1.0893748413649746,TRUE,PASSERIFORMES,Estrildidae,Lonchura,14,113.5,6,1093.6134,11.14337996031746,1.0924734879349849,22,3000,7189322.58,Grassland,2,1,Herbivore,Granivore,Generalist,0.07858048162230671,0.9214195183776933,0.8455795896330116,2.5,1,1,Winner
Lonchura striata,0.5289803645561987,0.1635641274961258,0.9052008673129198,TRUE,PASSERIFORMES,Estrildidae,Lonchura,12,109.5,5,898.24464,10,1.0642341215518805,20.9,2260,5429668.12,Shrubland,3,1,Herbivore,Granivore,Insessorial,0.07858048162230671,0.9214195183776933,1.1613179102066238,2,1,1,Winner
Mareca falcata,0.533421262968638,0.0831417836384055,0.9990098276073188,TRUE,ANSERIFORMES,Anatidae,Mareca,745,487.5,8,53078.76,20.90252662337663,1.4002291478390032,54.5,2367.805496212121,5490157.81,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.355614566936487,3,3,3,Winner
Mareca penelope,0.399002121619063,-0.00594313879143253,0.7874552957133278,FALSE,ANSERIFORMES,Anatidae,Mareca,725,489,8.5,51438.6,22.67571686507937,1.5319235829004807,57.2,3650,16342850.08,Wetland,3,3,Herbivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.3343477389185747,3,3,3,Stable
Mareca strepera,0.4603697189591476,0.07633664852987707,0.8350588942298387,TRUE,ANSERIFORMES,Anatidae,Mareca,887.5,517.5,10,75826.319564279,23.218036706349213,1.5473263674685638,54.8,2730,18552362.65,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.336335279351336,3,2,2,Winner
Mergus merganser,0.381635015875656,0.02216993377529918,0.7477043846960174,TRUE,ANSERIFORMES,Anatidae,Mergus,1430.5,655,10.5,99488.25,14.8,1.998631074606434,46,2800,24915961.61,Riverine,3,3,Carnivore,Aquatic predator,Aquatic,0.14702154626108999,0.85297845373891,1.3001622636017993,3,3,3,Winner
Milvus migrans,0.30447587396256764,-0.03939488124501071,0.6903988275822909,FALSE,ACCIPITRIFORMES,Accipitridae,Milvus,1082.5,600,2.5,79902.72,24,2.9979466119096507,48.1,2000,59168603.49,Woodland,3,3,Omnivore,Omnivore,Aerial,0.1761723700887199,0.8238276299112801,1.319770003871474,1.5,3,3,Stable
Monticola solitarius,0.19347969650527497,-0.19246627384291456,0.6544973010894624,FALSE,PASSERIFORMES,Muscicapidae,Monticola,50.5,211.5,4.5,6522.39,10.8601882936508,1.0042222140738537,29.5,4200,9788977.12,Rock,3,2,Carnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.0785632511535392,4,2,2,Stable
Motacilla alba,0.46111433195752183,0.0182475905284217,0.8699354578702283,TRUE,PASSERIFORMES,Motacillidae,Motacilla,22.5,175.5,5.5,2872.32,13.7,0.999315537303217,31.4,5000,39488711.64,Human Modified,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.3312083680038365,4,3,3,Winner
Motacilla cinerea,0.3630518395945462,-0.05205508211603711,0.7783106776126558,FALSE,PASSERIFORMES,Motacillidae,Motacilla,18,180,5,1799.28,8,0.999315537303217,34.6,4100,19613139.17,Riverine,3,2,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.3464801158084192,3,2,2,Stable
Motacilla citreola,0.4338524587152379,0.034974981411004,0.7655740163387134,TRUE,PASSERIFORMES,Motacillidae,Motacilla,21.5,172.5,4.5,2872.32,11.083961273448775,1.0815409210912268,28.2,4600,16401945.75,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2938485936945738,3,3,3,Winner
Motacilla tschutschensis,0.4456309940203809,0.07985303586497235,0.787287352452651,TRUE,PASSERIFORMES,Motacillidae,Motacilla,19,170,5,3373.65,8.833597853535355,0.9873049661571192,33.5,1300,9215280.51,Grassland,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.323096162159043,2.5,3,3,Winner
Muscicapa sibirica,0.2517920665304714,-0.2520745639939407,0.6957714920610452,FALSE,PASSERIFORMES,Muscicapidae,Muscicapa,12,129.5,4.5,1485.20925,9.807033134920635,0.9901028921265028,33,2600,8436138.82,Forest,1,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.334275186282098,1,3,3,Stable
Myophonus caeruleus,0.32068585893147317,-0.01645964550967402,0.6232780629719706,FALSE,PASSERIFORMES,Muscicapidae,Myophonus,173,316,4,13756.23,14.857198412698413,1.1343535928859318,20.7,3000,6946443.79,Forest,1,1,Carnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.3074234354297427,1,1,1,Stable
Nycticorax nycticorax,0.5080013788307026,0.16519551841667204,0.8409218596023698,TRUE,PELECANIFORMES,Ardeidae,Nycticorax,592.5,532.5,4,27489,21.1,0.999315537303217,33.1,4816,50345275.03,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2892070606735322,3,3,3,Winner
Oriolus chinensis,0.5134086109402894,0.10144071988656236,0.9485757039208348,TRUE,PASSERIFORMES,Oriolidae,Oriolus,84,243,4,11504.18475,29,1.488401826612812,29.1,1600,5911861.17,Forest,2,2,Omnivore,Frugivore,Insessorial,0.021546261089987327,0.9784537389100126,1.35607702850337,1,2,2,Winner
Pardaliparus venustulus,0.2223588372275948,-0.2009604830033875,0.6858761637119645,FALSE,PASSERIFORMES,Paridae,Pardaliparus,11.5,98,6,1673.055,10.72611527777778,1.0238883565290111,24.3,2700,1615993.56,Forest,2,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3278140985673526,1,1,1,Stable
Parus minor,0.370221350115484,0.00186952754927795,0.7041888661761767,TRUE,PASSERIFORMES,Paridae,Parus,306.59629111652225,381.5013948412698,3.5625327017037547,21677.51269588726,18.83604365079365,1.756734967747288,35.20919406565655,1718.8231787286793,5948685.47373649,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.3352575001434122,2,NA,2,Winner
Parus monticolus,0.19724361023827441,-0.0905982378010813,0.5394920491058309,FALSE,PASSERIFORMES,Paridae,Parus,12,124,5,1428.84864,10.018441666666662,1.044113840813531,15.7,3860,1684621.77,Forest,1,1,Omnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.4098927133895258,1,1,1,Stable
Passer cinnamomeus,0.38728735434029216,0.00182541515154195,0.8995317614374515,TRUE,PASSERIFORMES,Passeridae,Passer,18,130,5,2368.26048,12.315432142857144,0.9862173685125416,31.5,4300,4611660.97,Forest,2,1,Herbivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.4065333665733273,1,1,1,Winner
Passer montanus,0.6468562206856134,0.20556949368024396,1.0719645920245997,TRUE,PASSERIFORMES,Passeridae,Passer,20,132.5,5.5,2600.4594,13.1,0.8733744010951403,24.6,4400,39069801.39,Woodland,2,1,Omnivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.3273971828683893,1.5,1,1,Winner
Pericrocotus solaris,0.6438022908819627,0.2016336658503425,1.0441585600309629,TRUE,PASSERIFORMES,Campephagidae,Pericrocotus,16,177.5,3.5,4080,10.944396085858584,1.0894974712905898,28.3,1500,2902202.9,Forest,2,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.4115546114749258,1,1,1,Winner
Periparus ater,0.1671708348880753,-0.135712106501356,0.5377390187908465,FALSE,PASSERIFORMES,Paridae,Periparus,8.75,105,9.5,1056.83424,9.5,0.999315537303217,21.9,4570,18987457.58,Forest,1,1,Omnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3144490790167087,1,1,1,Stable
Pernis ptilorhynchus,0.4664935212632429,0.11451176284744728,0.8209756927078351,TRUE,ACCIPITRIFORMES,Accipitridae,Pernis,1400,550,2,47680.92,21.966901136363628,2.0637581298464256,32,2000,11263289.52,Woodland,2,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.2678558110245368,1.5,1,1,Winner
Phalacrocorax carbo,0.4419927936480651,0.11983010524164411,0.7572302634947128,TRUE,SULIFORMES,Phalacrocoracidae,Phalacrocorax,2120,820,4,55725.15,32.1,3.997262149212868,37.1,0,24540701.98,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,0.14702154626108999,0.85297845373891,1.3296257582785354,3,2,2,Winner
Phasianus colchicus,0.5628631137323469,0.2069031207493249,0.9042630473289128,TRUE,GALLIFORMES,Phasianidae,Phasianus,1457,799,6,29841.10674,27,0.6570841889117043,25.8,3500,7426719.32,Human Modified,2,1,Herbivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.325360799853351,4,1,1,Winner
Phoenicurus auroreus,0.3183923326393828,-0.03093167545903747,0.6894102802683942,FALSE,PASSERIFORMES,Muscicapidae,Phoenicurus,18,143.5,6.5,2611.2,10.858134920634916,0.9843818079593208,20.5,3700,4822744.76,Forest,2,3,Omnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.341790819754423,1,3,3,Stable
Phoenicurus frontalis,0.2322714467198523,-0.10002124068104117,0.6325719617213543,FALSE,PASSERIFORMES,Muscicapidae,Phoenicurus,15.77,137.25034722222222,4.5,2226.202980562323,11.224517424242425,1.045741588170744,23.2,4200,2351061.38,Forest,1,2,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.2952863673804456,1,2,2,Stable
Phoenicurus fuliginosus,0.35219442118950756,0.074003914211108,0.6908792204492253,TRUE,PASSERIFORMES,Muscicapidae,Phoenicurus,20.33,180.8516290674603,4,4902.437937423591,12.714076190476192,1.1247479955021007,25.4,3400,5100213.95,Riverine,3,1,Carnivore,Aquatic predator,Insessorial,0.14702154626108999,0.85297845373891,1.3719437405472836,3,1,1,Winner
Phoenicurus ochruros,0.2886941591182435,-0.08429981865565465,0.7041136511032627,FALSE,PASSERIFORMES,Muscicapidae,Phoenicurus,19,146,5,2441.9871,10.2,0.999315537303217,23.1,5200,13764225.49,Rock,3,2,Omnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3267647188554046,4,2,2,Stable
Phylloscopus fuscatus,0.30721970491491246,-0.0985573701475011,0.7108134301178025,FALSE,PASSERIFORMES,Phylloscopidae,Phylloscopus,10,121.5,5,1551.42,9.477758333333332,0.9958353161022536,19.1,4200,11609109.62,Wetland,1,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3314460630477096,3,3,3,Stable
Phylloscopus humei,0.28404409449618123,-0.09428339209391552,0.6763687195725266,FALSE,PASSERIFORMES,Phylloscopidae,Phylloscopus,6.5,96.5,4.5,1138.32,9.71514107142857,1.0222771775148545,24.8,1980,3694487.56,Forest,1,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.2880618351070638,1,3,3,Stable
Phylloscopus inornatus,0.5441103476145747,0.1210275799932364,0.9489915097886316,TRUE,PASSERIFORMES,Phylloscopidae,Phylloscopus,7.5,96.5,5.5,1175.04,9.362684523809524,0.9997637571569776,19,3500,10713136.25,Woodland,1,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3206791978380017,1.5,3,3,Winner
Phylloscopus proregulus,0.4159946134559282,0.03059281667013223,0.8206508743752376,TRUE,PASSERIFORMES,Phylloscopidae,Phylloscopus,6.25,97,5.5,1632,9.701265873015872,0.9911849515987065,18.9,1400,5259814.86,Forest,1,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3341967616139148,1,3,3,Winner
Pica serica,0.7882035597049346,0.29753253596287194,1.179354853318466,TRUE,PASSERIFORMES,Corvidae,Pica,514.0272402435065,468.5451954365081,5,27361.16793122713,19.99674841269841,1.9527849927849923,37.776778373015865,2048.236815920191,7661560.180766787,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.3399479664864657,2,NA,2,Winner
Picoides canicapillus,0.5436863443837834,0.02445338230027229,1.0579939717490214,TRUE,PICIFORMES,Picidae,Picoides,25.76,172.5522053571429,5.5,3679.889301636524,12.42105277777778,1.0068524466825266,28.3,2800,8010257.64,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.4330391041271615,1,1,1,Winner
Picumnus innominatus,0.3993598501416688,0.00794544491589982,0.7655026580040333,TRUE,PICIFORMES,Picidae,Picumnus,13,103,3.5,1101.6,9.905089285714284,1.0738993486739867,10.7,2100,4531626.73,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.5137805126765043,1,1,1,Winner
Picus canus,0.2534490686984675,-0.08558564730690629,0.6390110378451233,FALSE,PICIFORMES,Picidae,Picus,139.5,288,9.5,7019.3952,14.322093650793656,1.0039233619069317,25.8,2000,11476968.7,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3551075629743348,1,1,1,Stable
Platalea leucorodia,0.5729779168399247,0.04047818233298415,1.0560174538792388,TRUE,PELECANIFORMES,Threskiornithidae,Platalea,2040,834,3.5,89389.23,30.1,2.9979466119096507,40.4,500,6276598.58,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3399684477576714,3,2,2,Winner
Podiceps cristatus,0.541107003358237,0.17061130063851354,0.8785103333171145,TRUE,PODICIPEDIFORMES,Podicipedidae,Podiceps,825,550,4.5,49882.33908,19.2,1.998631074606434,42.9,3000,19812770.45,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,0.14702154626108999,0.85297845373891,1.3212613709570695,3,1,1,Winner
Pomatorhinus ruficollis,0.4593688548510534,0.11095029464715842,0.790180309589223,TRUE,PASSERIFORMES,Timaliidae,Pomatorhinus,26,170,4,4489.3056,13.24516174136321,1.0475594749193295,10,3200,2706746.89,Forest,2,1,Carnivore,Invertivore,Generalist,0.47275031685678076,0.5272496831432192,1.4872539025513865,1,1,1,Winner
Prinia flaviventris,0.5437607893920108,0.04798186657213714,0.9817993505502252,TRUE,PASSERIFORMES,Cisticolidae,Prinia,7,115.5,4.5,1101.6,9.843955844155843,1.083922593244459,11.9,1550,4037497.01,Shrubland,3,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3734147916371722,2,1,1,Winner
Prinia inornata,0.5525622575439673,0.08099123340969316,1.0363486311881331,TRUE,PASSERIFORMES,Cisticolidae,Prinia,9,132.5,5,998.223,9.87456874098124,1.180621291135662,14.2,800,7403210.36,Shrubland,2,1,Carnivore,Invertivore,Generalist,0.47275031685678076,0.5272496831432192,1.373984212571651,2,1,1,Winner
Psilopogon virens,0.5521676350695892,0.14508058555899173,0.9033257715492174,TRUE,PICIFORMES,Megalaimidae,Psilopogon,173.5,312.5,3.5,16727.49,16.836784920634912,1.2701962995556415,21.7,2400,3256344.79,Forest,1,1,Herbivore,Frugivore,Insessorial,0.021546261089987327,0.9784537389100126,1.3230330977469886,1,1,1,Winner
Pterorhinus sannio,0.5902022288644552,0.2210935252458732,0.9067161312943004,TRUE,PASSERIFORMES,Leiothrichidae,Pterorhinus,142.4976305581021,277.32755402930394,3.5,13045.224293132156,14.585199801587304,1.225005959171255,31.86497857142857,1230,6854616.25682492,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.2942449431107557,2,NA,2,Winner
Ptyonoprogne rupestris,0.2984323737076398,-0.09539712745630244,0.7120494487554251,FALSE,PASSERIFORMES,Hirundinidae,Ptyonoprogne,21.5,143.5,4,2639.25,12.347126388888896,1.1131275443888362,56,4500,10906260.69,Rock,3,2,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.2965822491009997,4,2,2,Stable
