species,year_slope,year_l95,year_u95,year_sig,order_lat,family_lat,genus_lat,body_mass_g,body_length_mm,clutch_size,egg_volume_mm3,longevity_y,maturity_y,avonet_hwi,elev_range_m,avonet_range_size,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,niche_rel,diet_specialization,habitat_breadth_data,habitat_openness_avonet,migration_class,migration_score,status
Alcedo atthis,0.35487074404755065,0.01629590309336346,0.6585282252979453,TRUE,CORACIIFORMES,Alcedinidae,Alcedo,28,164,6,3866.31,21,0.999315537303217,26.9,3005.3948928571417,24992154.31,Riverine,2,1,Carnivore,Aquatic predator,Insessorial,0.14702154626108999,0.85297845373891,1.3433089803843987,3,1,1,Winner
Amaurornis phoenicurus,0.4095260768765953,0.04335875113867976,0.7985276804298042,TRUE,GRUIFORMES,Rallidae,Amaurornis,216.5,313,6,18360,15.654328373015874,1.2750762822811064,23.2,2000,9839893.66,Wetland,2,1,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.1458174674543153,3,1,1,Winner
Anas acuta,0.38615977235650273,0.01049830249579713,0.764523411961964,TRUE,ANSERIFORMES,Anatidae,Anas,855,572.5,8.5,44991.18,27.4,0.6570841889117043,57.8,4000,28403500.77,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.3348277703561424,3,3,3,Winner
Anas carolinensis,0.45739523504325347,0.10087876434536698,0.8169304384353554,TRUE,ANSERIFORMES,Anatidae,Anas,292.5,404,9.5,30612.75,27.1,0.4928131416837782,52.8,3350,14419469.42340143,Wetland,3,2,Omnivore,Aquatic predator,Aquatic,0.14702154626108999,0.85297845373891,1.3152021734129706,3,2,2,Winner
Anas platyrhynchos,0.5361971098501995,0.1759231665441566,0.8953106002535066,TRUE,ANSERIFORMES,Anatidae,Anas,1150,577.5,9,56579.4,29.1,0.999315537303217,50.7,2000,39707247.47,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.3276708530991634,3,2,2,Winner
Anas zonorhyncha,0.5000652548704037,0.102073472859871,0.8613876940645567,TRUE,ANSERIFORMES,Anatidae,Anas,1135,573,9.5,47263.80375,22.35735555555555,1.2679240690862863,49.3,3350,8223090.75,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.3304784611049698,3,2,2,Winner
Anser anser,0.4546833872092858,0.11908204080669298,0.7698484712274104,TRUE,ANSERIFORMES,Anatidae,Anser,3250,835,4.5,184354.1472,31,2.9979466119096507,47.2,2300,13285537.12,Wetland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,0.015209125475285171,0.9847908745247148,1.3435731832710227,3,3,3,Winner
Anthus hodgsoni,0.15640234563614622,-0.25158575309183184,0.6362035325848785,FALSE,PASSERIFORMES,Motacillidae,Anthus,23,155,5,4706.8563,10.194723809523811,0.9958540872201012,25.9,1500,14109130.12,Grassland,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.351505624669485,2.5,3,3,Stable
Anthus richardi,0.1938108184542665,-0.1961580588564236,0.5485451253654899,FALSE,PASSERIFORMES,Motacillidae,Anthus,31.5,175.5,5,4196.28,9.72208154761905,0.9955934916289096,29.3,1800,13319039.29,Grassland,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.3363596446310853,2.5,3,3,Stable
Anthus roseatus,0.35801945657580364,-0.04349636681785076,0.7355939143813738,FALSE,PASSERIFORMES,Motacillidae,Anthus,23,154.5,4,3305.78736,10.37063551587301,1.0461606341601193,18.1,2700,4930715.09,Grassland,3,1,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.3319177271446812,2.5,1,1,Stable
Anthus rubescens,0.5434631532911158,0.1242322238676648,0.906177279415616,TRUE,PASSERIFORMES,Motacillidae,Anthus,23,155,5,3388.07592667168,5.1,0.999315537303217,28.4,3250,12413847.38,Grassland,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.2886018646482391,2.5,3,3,Winner
Anthus spinoletta,0.5233233631980754,0.09779316863289092,0.9023934941686153,TRUE,PASSERIFORMES,Motacillidae,Anthus,22.5,164,5,3170.74446,8.8,0.9938398357289528,23.4,3200,3806294.97,Grassland,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.337325077175208,2.5,3,3,Winner
Apus apus,0.2366721984388769,-0.13842335629254388,0.6449937856033078,FALSE,CAPRIMULGIFORMES,Apodidae,Apus,34.5,176,3,3832.14,21.1,1.998631074606434,71.6,4000,24779919.71,Human Modified,1,3,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.3540608947311044,4,3,3,Stable
