species,trend_class,trend_slope,bio4,bio7,bio11,bio13,elev_mean,hfi_mean,landcover_built,landcover_cropland
Passer montanus,expanding,0.024902108302817118,301.3155011675627,33.105243866626886,21.470643154624042,13.117557335080972,802.5759399106828,4.281239802998439,0.010416890901743733,0.0499236666273972
Pycnonotus sinensis,expanding,0.023467781998621696,204.12566065694054,17.69530200118584,12.064786239978806,7.7238383170819205,408.48551768964893,2.3691181380399366,0.00507084937365734,0.022132035092978647
Hirundo rustica,expanding,0.028579872271692407,316.32959513208783,35.486308103089975,22.497020289616128,14.019235837597252,877.0593515865717,4.542937061208277,0.011151520619906796,0.05397656286941267
Spilopelia chinensis,expanding,0.04681988365137539,198.00809318935362,15.764399814094693,12.60602297599817,6.9577247146905314,339.7811840625995,2.31805565360076,0.0058121486292889565,0.017972619439246603
Pica serica,expanding,0.07172795006820762,309.15222796198077,33.149493236432996,21.261654820408598,13.024611843177347,751.9884841474641,4.323423758887023,0.010443532619138789,0.05353863933307625
Motacilla alba,expanding,0.007821986217068118,293.9281506526188,31.8736511137303,21.117342820299186,12.681410053277691,771.8501773954792,4.128977812775412,0.00997959597969652,0.04756591771068799
Turdus mandarinus,expanding,0.02629555666748831,112.49170389510913,9.238260193463399,6.290389442323351,4.064633772779625,165.9457641854625,1.2328106118189326,0.002823205558502393,0.01007822697975518
Egretta garzetta,expanding,0.03891836926091709,198.64607660491438,18.675784156042997,13.153757597093607,7.919504677782419,460.0895193867345,2.4174361238757793,0.005720691088980032,0.023871531876326357
Parus minor,stable,0.013363947497524334,191.6591732806153,19.60575192033456,12.267584350646352,8.061712982852441,478.0003880603484,2.511399064479365,0.006407391220216089,0.028496968117794192
Cyanopica cyanus,expanding,0.021724440284457767,336.57660337116016,39.45993316131245,20.252266332154147,15.07008204666593,850.8319739458085,4.89642194553103,0.011344459733237399,0.06055210908389555
Streptopelia orientalis,expanding,0.02537725867183705,268.3992700648114,32.43470555127949,17.720651512956596,12.556008748913488,811.5901027422115,3.9635458939860415,0.009684379734814114,0.05001022144371303
Tachybaptus ruficollis,expanding,0.05995892957008525,310.98810363173396,32.602942113716715,22.357996554036376,13.025181177086752,798.8084145722099,4.240853797133895,0.01040857153068911,0.04946965597106642
Nycticorax nycticorax,expanding,0.057502064608214096,263.4114161754225,23.42655418377976,18.056740632865427,10.259118384911622,573.7590688175096,3.3221591290964283,0.008004969727145903,0.03597116039086266
Gallinula chloropus,expanding,0.06713404968326424,336.5817873849058,35.38094046604271,23.909295202641214,14.211064296343977,884.4900590510489,4.779306654637874,0.01165209905205381,0.05990786227737282
Sinosuthora webbiana,expanding,0.027919859526823628,238.32887287443887,22.5470330961229,13.620971423641837,9.465724650043517,515.205027150229,2.8527656941289603,0.0059971956661152475,0.021648839773420716
Chloris sinica,expanding,0.01004275204707235,317.9538350668446,29.66374699411547,22.21584479456587,11.817274567051522,571.4940564853954,4.535346968778966,0.011434755300367135,0.05774476318885308
Cecropis daurica,stable,-6.357988633352222e-5,214.34709253792795,26.540045264392802,13.320247502250878,10.433054039407276,700.7401890884125,3.1406197622185887,0.008011286554193489,0.04184040567597722
Acridotheres cristatellus,expanding,0.01795706111585599,104.58102738425423,7.728128423496639,5.566247217704435,3.480692324044264,128.31044537028035,1.0663820027613722,0.0027414915687452358,0.008865835519089996
Ardeola bacchus,expanding,0.014782619893414471,188.68510842198654,15.785296481148555,11.882254145597175,6.990331154324405,367.55744091736335,2.240706866756596,0.004912762790399059,0.02650794440425617
