species,trend_class,trend_grade,trend_slope,p_positive,p_negative,mk_tau,mk_p,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Passer montanus,expanding,strong_expanding,0.023981263571896266,1,0,1,0.02748633611151034,0.19999999999999996,5,Woodland,2,1,Omnivore,Terrestrial,1
Pycnonotus sinensis,expanding,strong_expanding,0.022147554473338642,1,0,1,0.02748633611151034,0.2999999999999999,5,Human Modified,2,3,Herbivore,Insessorial,3
Hirundo rustica,expanding,strong_expanding,0.025511817132901026,1,0,1,0.02748633611151034,0.6999999999999997,8,Human Modified,3,3,Carnivore,Aerial,3
Spilopelia chinensis,expanding,strong_expanding,0.046146883000182166,1,0,1,0.02748633611151034,0.6,8,Woodland,3,1,Herbivore,Terrestrial,1
Pica serica,expanding,strong_expanding,0.07124272209563931,1,0,1,0.02748633611151034,0.6,5,NA,NA,NA,NA,NA,2
Motacilla alba,stable,stable,0.00688123554212572,0.9225,0.0775,1,0.02748633611151034,1,8,Human Modified,3,3,Carnivore,Terrestrial,3
Turdus mandarinus,expanding,strong_expanding,0.02560356585256259,1,0,1,0.02748633611151034,0.6,5,Forest,2,1,Omnivore,Generalist,1
Egretta garzetta,expanding,strong_expanding,0.03817901833514818,1,0,1,0.02748633611151034,0.3999999999999998,8,Wetland,3,2,Carnivore,Terrestrial,2
Parus minor,stable,stable,0.012133222254565814,0.9325,0.0675,0.6,0.2206713619198468,0.6,5,NA,NA,NA,NA,NA,2
Cyanopica cyanus,expanding,expanding,0.021652908166868805,0.9875,0.0125,1,0.02748633611151034,0.6999999999999997,5,Woodland,2,1,Omnivore,Generalist,1
Streptopelia orientalis,stable,stable,0.019638656558180315,0.9225,0.0775,0.8,0.08641073297370003,0.19999999999999993,8,Woodland,3,3,Herbivore,Terrestrial,3
Tachybaptus ruficollis,expanding,strong_expanding,0.0602378452468498,1,0,1,0.02748633611151034,0.6000000000000001,8,Wetland,3,1,Carnivore,Aquatic,1
Nycticorax nycticorax,expanding,strong_expanding,0.0571017884522909,1,0,1,0.02748633611151034,0.1333333333333333,8,Wetland,3,3,Carnivore,Terrestrial,3
Gallinula chloropus,expanding,strong_expanding,0.06406586337508373,1,0,1,0.02748633611151034,0.16,8,Wetland,3,1,Omnivore,Terrestrial,1
Sinosuthora webbiana,expanding,strong_expanding,0.026833052781512906,1,0,1,0.02748633611151034,0.6,5,Shrubland,2,1,Herbivore,Insessorial,1
Chloris sinica,stable,stable,0.008379091626681035,0.92,0.08,0.6,0.2206713619198468,0.6,5,Shrubland,2,1,Herbivore,Generalist,1
Cecropis daurica,stable,stable,-7.394183523328736e-4,0.4775,0.5225,0,1,0.6,8,Grassland,3,3,Carnivore,Aerial,3
Acridotheres cristatellus,expanding,expanding,0.016541196725660748,0.99,0.01,0.6,0.2206713619198468,0.39999999999999986,8,Grassland,3,2,Omnivore,Generalist,2
Ardeola bacchus,stable,stable,0.01374287025786129,0.91,0.09,0.6,0.2206713619198468,0.5999999999999996,8,Wetland,3,2,Carnivore,Terrestrial,2
Copsychus saularis,expanding,expanding,0.010549668197358869,0.98,0.02,1,0.02748633611151034,0.6,2,Woodland,1,1,Carnivore,Terrestrial,1
Ardea cinerea,expanding,strong_expanding,0.05992632167091115,1,0,1,0.02748633611151034,0.5333333333333333,8,Wetland,3,1,Carnivore,Terrestrial,1
Anas platyrhynchos,expanding,strong_expanding,0.04707878646273529,1,0,1,0.02748633611151034,0.35,8,Wetland,3,2,Herbivore,Aquatic,2
Lanius schach,expanding,strong_expanding,0.02777081216958363,1,0,1,0.02748633611151034,0.3999999999999998,5,Shrubland,2,2,Carnivore,Insessorial,2
Spodiopsar cineraceus,expanding,strong_expanding,0.06254861605306378,1,0,1,0.02748633611151034,0.6,8,Grassland,3,1,Carnivore,Terrestrial,1
Alcedo atthis,expanding,expanding,0.016456971254577596,0.985,0.015,1,0.02748633611151034,0.39999999999999997,5,Riverine,2,1,Carnivore,Insessorial,1
Anas zonorhyncha,expanding,strong_expanding,0.04118666743779016,1,0,1,0.02748633611151034,0.6,8,Wetland,3,2,Herbivore,Aquatic,2
Phasianus colchicus,expanding,strong_expanding,0.04838836425838814,1,0,1,0.02748633611151034,0.19999999999999996,5,Human Modified,2,1,Herbivore,Terrestrial,1
Zosterops simplex,expanding,expanding,0.00982705126380311,0.9625,0.0375,0.4,0.4624327264504763,0.6,5,Forest,2,1,Omnivore,Insessorial,1
Cuculus canorus,expanding,strong_expanding,0.03730371476266919,1,0,1,0.02748633611151034,0.8,5,Forest,2,3,Carnivore,Insessorial,3
Corvus macrorhynchos,stable,stable,0.024982919490758992,0.93,0.07,0.4,0.4624327264504763,0.2799999999999999,5,Woodland,2,1,Omnivore,Generalist,1
Upupa epops,expanding,strong_expanding,0.03657048164753714,0.9975,0.0025,1,0.02748633611151034,0.6000000000000001,8,Grassland,3,3,Carnivore,Terrestrial,3
Dendrocopos major,stable,stable,0.00871472322058447,0.7675,0.2325,0.2,0.8064959405073402,0.4666666666666666,2,Woodland,1,1,Omnivore,Insessorial,1
Spodiopsar sericeus,expanding,strong_expanding,0.03811302288571343,1,0,1,0.02748633611151034,0.6,5,Shrubland,2,2,Omnivore,Insessorial,2
Dicrurus macrocercus,stable,stable,-0.006773202162673929,0.155,0.845,-0.6,0.2206713619198468,0.36,5,Shrubland,2,1,Carnivore,Insessorial,1
Spizixos semitorques,expanding,strong_expanding,0.028873906490983918,1,0,1,0.02748633611151034,0,5,Shrubland,2,1,Omnivore,Insessorial,1
Phoenicurus auroreus,stable,stable,0.004346270424170328,0.73,0.27,0.4,0.4624327264504763,0.49999999999999983,5,Forest,2,3,Omnivore,Insessorial,3
