term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,-0.007020667133289975,0.01029739785186683,-0.025956681024999997,0.014259243124999993
delta_t_mean,6.851612383434263e-4,3.166796583777971e-4,6.552767945000003e-5,0.0013086395874999995
delta_t_extreme,-5.261897780469438e-4,3.257357389003092e-4,-0.00115221966,1.1697508974999934e-4
delta_forest,-4.655032111564925e-4,2.0393036630292715e-4,-8.640180514999999e-4,-7.196322960000008e-5
delta_impervious,1.5990131551785e-4,2.9659514214752626e-4,-4.3339719074999997e-4,7.499568672499999e-4
delta_natural,1.5876792879229186e-4,1.3333907144510334e-4,-1.0653317099999997e-4,4.1964165025e-4
delta_hfi,-3.273165962497582e-4,3.0864844753408663e-4,-9.215214835e-4,2.908245367499998e-4
bio11,0.00133215379882375,1.8110623722117814e-4,9.6910919925e-4,0.0016828722200000002
elev_mean,0.00114135274375375,1.5391373145432283e-4,8.366125865e-4,0.0014417460849999997
centroid_lon,9.18072088080133e-4,0.005197332161839641,-0.012078359175,0.008988121094999994
centroid_lat,-0.001937495401639375,0.007283112809037533,-0.0158958827,0.013586928099999973
