variable,importance,draw,group
delta_natural,0.009905792808012844,104,landuse_change
delta_hfi,0.008589391931526094,104,human_change
bio11,0.02959347740722285,104,baseline
elev_mean,0.01392069065837062,104,baseline
centroid_lon,0.10199865593311987,104,baseline
centroid_lat,0.02277830163607434,104,baseline
delta_t_mean,0.015053204527625161,15,climate_change
delta_t_extreme,0.0340280546273426,15,climate_change
delta_forest,0.01012478376791995,15,landuse_change
delta_impervious,0.020616822283165526,15,landuse_change
delta_natural,0.013678415732783581,15,landuse_change
delta_hfi,0.011275167494691003,15,human_change
bio11,0.029767255267123142,15,baseline
elev_mean,0.02250797654229992,15,baseline
centroid_lon,0.11519819437851982,15,baseline
centroid_lat,0.024251951801805255,15,baseline
delta_t_mean,0.010556548540840148,308,climate_change
delta_t_extreme,0.025111881420385913,308,climate_change
delta_forest,0.008779121870181886,308,landuse_change
delta_impervious,0.01680088151597824,308,landuse_change
delta_natural,0.0093566462338542,308,landuse_change
delta_hfi,0.007785252221975676,308,human_change
bio11,0.02649924309114433,308,baseline
elev_mean,0.034622930310655775,308,baseline
centroid_lon,0.08747810719222626,308,baseline
centroid_lat,0.01778955968396796,308,baseline
delta_t_mean,0.014012700672548754,12,climate_change
delta_t_extreme,0.030734596786133876,12,climate_change
delta_forest,0.011043779219759582,12,landuse_change
delta_impervious,0.023471525262733224,12,landuse_change
delta_natural,0.012635255221040644,12,landuse_change
delta_hfi,0.012328761292310843,12,human_change
bio11,0.03865825506416103,12,baseline
elev_mean,0.029799076952018454,12,baseline
centroid_lon,0.11166160375196302,12,baseline
centroid_lat,0.026624263626696284,12,baseline
delta_t_mean,0.014422155404604883,230,climate_change
delta_t_extreme,0.031446481970022616,230,climate_change
delta_forest,0.008843026244101737,230,landuse_change
delta_impervious,0.02122496780688985,230,landuse_change
delta_natural,0.010904507033790327,230,landuse_change
delta_hfi,0.012063709300155465,230,human_change
bio11,0.02940997120967696,230,baseline
elev_mean,0.021439123815343786,230,baseline
centroid_lon,0.08799179687893918,230,baseline
centroid_lat,0.02256653557239517,230,baseline
delta_t_mean,0.013804018709758488,213,climate_change
delta_t_extreme,0.027747758384711076,213,climate_change
delta_forest,0.010005993030993535,213,landuse_change
delta_impervious,0.0242618135098389,213,landuse_change
delta_natural,0.012078755221195317,213,landuse_change
delta_hfi,0.011417544635200215,213,human_change
bio11,0.023095061768666488,213,baseline
elev_mean,0.03220436854031481,213,baseline
centroid_lon,0.12177183716267173,213,baseline
centroid_lat,0.023661596681856866,213,baseline
delta_t_mean,0.010177208103431153,300,climate_change
delta_t_extreme,0.02553609112332709,300,climate_change
delta_forest,0.008224099235066024,300,landuse_change
delta_impervious,0.015098080776481705,300,landuse_change
delta_natural,0.010611876555427798,300,landuse_change
delta_hfi,0.00854306371740313,300,human_change
bio11,0.028967896695783386,300,baseline
elev_mean,0.020139296242382684,300,baseline
centroid_lon,0.07413860114008666,300,baseline
centroid_lat,0.015558735541339005,300,baseline
delta_t_mean,0.014334177568198797,264,climate_change
delta_t_extreme,0.02916426003560905,264,climate_change
delta_forest,0.011948391641768218,264,landuse_change
delta_impervious,0.025175678275915842,264,landuse_change
delta_natural,0.012928321662779385,264,landuse_change
delta_hfi,0.009973251770618545,264,human_change
bio11,0.02617305381060721,264,baseline
elev_mean,0.0240897296361193,264,baseline
centroid_lon,0.10847495082550337,264,baseline
centroid_lat,0.026331306728559156,264,baseline
delta_t_mean,0.01767643028015086,136,climate_change
delta_t_extreme,0.033710775414958975,136,climate_change
delta_forest,0.01090835561565959,136,landuse_change
delta_impervious,0.02648203338555279,136,landuse_change
delta_natural,0.01129074739383792,136,landuse_change
delta_hfi,0.010833048891247673,136,human_change
bio11,0.03065009977449874,136,baseline
elev_mean,0.026042046894503984,136,baseline
centroid_lon,0.1554474021177583,136,baseline
centroid_lat,0.02368525785375839,136,baseline
delta_t_mean,0.01103282594283532,23,climate_change
delta_t_extreme,0.026841763461460912,23,climate_change
delta_forest,0.0066800770812620236,23,landuse_change
delta_impervious,0.017318400777323533,23,landuse_change
delta_natural,0.009638876853781123,23,landuse_change
delta_hfi,0.011104464125145938,23,human_change
bio11,0.028686269828544775,23,baseline
elev_mean,0.027259325671816922,23,baseline
centroid_lon,0.09195652065332598,23,baseline
centroid_lat,0.0219281754209136,23,baseline
delta_t_mean,0.014209790320090964,332,climate_change
delta_t_extreme,0.028255391460735312,332,climate_change
delta_forest,0.009518471316940258,332,landuse_change
delta_impervious,0.017347989352678093,332,landuse_change
delta_natural,0.011018514361017336,332,landuse_change
delta_hfi,0.008480936392346506,332,human_change
bio11,0.03147754577139643,332,baseline
elev_mean,0.020535363794707034,332,baseline
centroid_lon,0.09747290773325543,332,baseline
centroid_lat,0.017980903831652236,332,baseline
delta_t_mean,0.009033691487746154,154,climate_change
delta_t_extreme,0.014406134517291544,154,climate_change
delta_forest,0.009504157424264793,154,landuse_change
delta_impervious,0.018941657109483458,154,landuse_change
delta_natural,0.008244132500349326,154,landuse_change
delta_hfi,0.009577274895930778,154,human_change
bio11,0.02523505522757783,154,baseline
elev_mean,0.042820114750732885,154,baseline
centroid_lon,0.06225945066277844,154,baseline
centroid_lat,0.023329490759172854,154,baseline
delta_t_mean,0.010433335038226556,269,climate_change
delta_t_extreme,0.022225725861655853,269,climate_change
delta_forest,0.00796006830896296,269,landuse_change
delta_impervious,0.01919482902309467,269,landuse_change
delta_natural,0.009623413045661838,269,landuse_change
delta_hfi,0.008392487440907726,269,human_change
bio11,0.024737681118448953,269,baseline
elev_mean,0.023705586589723698,269,baseline
centroid_lon,0.0745123276934552,269,baseline
centroid_lat,0.019490308733552637,269,baseline
delta_t_mean,0.011454492521341031,392,climate_change
delta_t_extreme,0.02375699318990296,392,climate_change
delta_forest,0.008004750809130426,392,landuse_change
delta_impervious,0.016928457651907664,392,landuse_change
delta_natural,0.00886878039515481,392,landuse_change
delta_hfi,0.008312630752159088,392,human_change
bio11,0.03877435360390631,392,baseline
elev_mean,0.01600563592202801,392,baseline
centroid_lon,0.08597490919130886,392,baseline
centroid_lat,0.023418677021757962,392,baseline
delta_t_mean,0.010304333402470828,231,climate_change
delta_t_extreme,0.02558471041578324,231,climate_change
delta_forest,0.007716291440538557,231,landuse_change
delta_impervious,0.016091098231936746,231,landuse_change
delta_natural,0.008922045887460258,231,landuse_change
delta_hfi,0.008186571140615325,231,human_change
bio11,0.022779599069308328,231,baseline
elev_mean,0.02087419611942955,231,baseline
centroid_lon,0.0755128402815964,231,baseline
centroid_lat,0.023904286405855346,231,baseline
delta_t_mean,0.009214260664599691,368,climate_change
delta_t_extreme,0.02161993172906766,368,climate_change
delta_forest,0.005736892496593377,368,landuse_change
delta_impervious,0.013193069963531496,368,landuse_change
delta_natural,0.007575927961569913,368,landuse_change
delta_hfi,0.005727609259406517,368,human_change
bio11,0.02876837328302952,368,baseline
elev_mean,0.013475375997315983,368,baseline
centroid_lon,0.08920438427841407,368,baseline
centroid_lat,0.016818262505782618,368,baseline
delta_t_mean,0.014897654196931476,175,climate_change
delta_t_extreme,0.03212768709514701,175,climate_change
delta_forest,0.014862977655216674,175,landuse_change
delta_impervious,0.032011711722992914,175,landuse_change
delta_natural,0.015770421607086218,175,landuse_change
delta_hfi,0.01429941887601949,175,human_change
bio11,0.031091897196824703,175,baseline
elev_mean,0.04013300457265362,175,baseline
centroid_lon,0.1192813885557345,175,baseline
centroid_lat,0.030773932114789473,175,baseline
delta_t_mean,0.010393086892401876,196,climate_change
delta_t_extreme,0.023870691243340347,196,climate_change
delta_forest,0.006803921184716701,196,landuse_change
delta_impervious,0.016373376517505495,196,landuse_change
delta_natural,0.007638180846157282,196,landuse_change
delta_hfi,0.008280668010426616,196,human_change
bio11,0.028695384432571892,196,baseline
elev_mean,0.019270831691357574,196,baseline
centroid_lon,0.095185301447533,196,baseline
centroid_lat,0.017621136515232252,196,baseline
delta_t_mean,0.01572220677203046,389,climate_change
delta_t_extreme,0.02884822043430318,389,climate_change
delta_forest,0.00979585303606344,389,landuse_change
delta_impervious,0.027819620780936163,389,landuse_change
delta_natural,0.012277780371275953,389,landuse_change
delta_hfi,0.010709453407388684,389,human_change
bio11,0.027344887867039813,389,baseline
elev_mean,0.023803766554267924,389,baseline
centroid_lon,0.12357560497057267,389,baseline
centroid_lat,0.027011963811394472,389,baseline
delta_t_mean,0.010696947034823339,315,climate_change
delta_t_extreme,0.02816214235120441,315,climate_change
delta_forest,0.007136760909685161,315,landuse_change
delta_impervious,0.019807380827840646,315,landuse_change
delta_natural,0.010481347340171357,315,landuse_change
delta_hfi,0.008658288461704779,315,human_change
bio11,0.031340426741151166,315,baseline
elev_mean,0.015382574303779893,315,baseline
centroid_lon,0.0930376467726455,315,baseline
centroid_lat,0.017299527157822125,315,baseline
delta_t_mean,0.013184190679407288,140,climate_change
delta_t_extreme,0.028577571595332564,140,climate_change
delta_forest,0.008788966349548717,140,landuse_change
delta_impervious,0.024216873045922932,140,landuse_change
delta_natural,0.014847856118600759,140,landuse_change
delta_hfi,0.010190807225037532,140,human_change
bio11,0.02862403926167543,140,baseline
elev_mean,0.02716424130637029,140,baseline
centroid_lon,0.09692953644857957,140,baseline
centroid_lat,0.017718220990429114,140,baseline
delta_t_mean,0.010724611481037042,96,climate_change
delta_t_extreme,0.0224814920724134,96,climate_change
delta_forest,0.00766699022523907,96,landuse_change
delta_impervious,0.01723678460690813,96,landuse_change
delta_natural,0.00975572385126098,96,landuse_change
delta_hfi,0.009004969303460467,96,human_change
bio11,0.03586703815969398,96,baseline
elev_mean,0.018372798717528484,96,baseline
centroid_lon,0.062113981142079625,96,baseline
centroid_lat,0.019604433979039264,96,baseline
delta_t_mean,0.017267514506421753,399,climate_change
delta_t_extreme,0.035404021465338366,399,climate_change
delta_forest,0.012817815380459105,399,landuse_change
delta_impervious,0.03317366385658232,399,landuse_change
delta_natural,0.01239156271551104,399,landuse_change
delta_hfi,0.012707275602332726,399,human_change
bio11,0.03643489683287237,399,baseline
elev_mean,0.03504743998046987,399,baseline
centroid_lon,0.13141261668294071,399,baseline
centroid_lat,0.031069832015873353,399,baseline
delta_t_mean,0.016965990507761042,295,climate_change
delta_t_extreme,0.03327404886099083,295,climate_change
delta_forest,0.011897289088769344,295,landuse_change
delta_impervious,0.02517826332221535,295,landuse_change
delta_natural,0.013523849883958992,295,landuse_change
delta_hfi,0.012383979037212889,295,human_change
bio11,0.03587039820689932,295,baseline
elev_mean,0.025685799602159737,295,baseline
centroid_lon,0.1497014289487474,295,baseline
centroid_lat,0.02320672332095446,295,baseline
delta_t_mean,0.013529337899050696,71,climate_change
delta_t_extreme,0.03238389927346331,71,climate_change
delta_forest,0.008618602856308846,71,landuse_change
delta_impervious,0.016776022485702584,71,landuse_change
delta_natural,0.01106264050183083,71,landuse_change
delta_hfi,0.00774837412125326,71,human_change
bio11,0.02706903782298609,71,baseline
elev_mean,0.01576322995326088,71,baseline
centroid_lon,0.10426789947292207,71,baseline
centroid_lat,0.020989534415315404,71,baseline
delta_t_mean,0.013383843345082696,377,climate_change
delta_t_extreme,0.023028915447295684,377,climate_change
delta_forest,0.008159019625213417,377,landuse_change
delta_impervious,0.022355200343358826,377,landuse_change
delta_natural,0.009830399206123093,377,landuse_change
delta_hfi,0.008566819300215286,377,human_change
bio11,0.028325632101619234,377,baseline
elev_mean,0.024340073054796043,377,baseline
centroid_lon,0.08161800427941215,377,baseline
centroid_lat,0.019448854257260152,377,baseline
delta_t_mean,0.012763667043216728,395,climate_change
delta_t_extreme,0.02864030412889215,395,climate_change
delta_forest,0.007724474012650052,395,landuse_change
delta_impervious,0.018362874364339022,395,landuse_change
delta_natural,0.010475052412838375,395,landuse_change
delta_hfi,0.01088117015299197,395,human_change
bio11,0.028787263713136363,395,baseline
elev_mean,0.021585854537389464,395,baseline
centroid_lon,0.09086680701792577,395,baseline
centroid_lat,0.023896493949775156,395,baseline
delta_t_mean,0.010888487043711136,228,climate_change
delta_t_extreme,0.018877033575798247,228,climate_change
delta_forest,0.009506694862267082,228,landuse_change
delta_impervious,0.019958069149683712,228,landuse_change
delta_natural,0.008570300531632836,228,landuse_change
delta_hfi,0.00818585081165291,228,human_change
bio11,0.02144981101806082,228,baseline
elev_mean,0.01459158203045139,228,baseline
centroid_lon,0.08023053108664449,228,baseline
centroid_lat,0.017186156842378068,228,baseline
delta_t_mean,0.01446736546886564,349,climate_change
delta_t_extreme,0.030474108730190422,349,climate_change
delta_forest,0.010588952715866452,349,landuse_change
delta_impervious,0.028249022365373768,349,landuse_change
delta_natural,0.013866743800378955,349,landuse_change
delta_hfi,0.012729903258747509,349,human_change
bio11,0.06065307186257325,349,baseline
elev_mean,0.032927310146123885,349,baseline
centroid_lon,0.0889124544601548,349,baseline
centroid_lat,0.03290356843861666,349,baseline
delta_t_mean,0.012561624187386083,117,climate_change
delta_t_extreme,0.023192240937266077,117,climate_change
delta_forest,0.011621420670486143,117,landuse_change
delta_impervious,0.023393424972376422,117,landuse_change
delta_natural,0.012169019189194113,117,landuse_change
delta_hfi,0.010934841096901337,117,human_change
bio11,0.030242898851126167,117,baseline
elev_mean,0.020692571323889443,117,baseline
centroid_lon,0.08351595938903078,117,baseline
centroid_lat,0.020377682732437775,117,baseline
delta_t_mean,0.0108107750185698,254,climate_change
delta_t_extreme,0.024538102566154508,254,climate_change
delta_forest,0.008276942461801499,254,landuse_change
delta_impervious,0.020272895287275914,254,landuse_change
delta_natural,0.01081541976113442,254,landuse_change
delta_hfi,0.008039972541949528,254,human_change
bio11,0.018024842368332284,254,baseline
elev_mean,0.019592478585823216,254,baseline
centroid_lon,0.1082439980383094,254,baseline
centroid_lat,0.018353976935846807,254,baseline
delta_t_mean,0.019724787608689197,340,climate_change
delta_t_extreme,0.039120062239172894,340,climate_change
delta_forest,0.016133150549630024,340,landuse_change
delta_impervious,0.03601199188698239,340,landuse_change
delta_natural,0.014218989925940843,340,landuse_change
delta_hfi,0.016000315664141382,340,human_change
bio11,0.033062857414034315,340,baseline
elev_mean,0.043309409205701345,340,baseline
centroid_lon,0.21183088187731847,340,baseline
centroid_lat,0.034571122618606356,340,baseline
delta_t_mean,0.013379289362839417,310,climate_change
delta_t_extreme,0.032536817489361526,310,climate_change
delta_forest,0.01064293552431253,310,landuse_change
delta_impervious,0.022362598936105507,310,landuse_change
delta_natural,0.013602870980055496,310,landuse_change
delta_hfi,0.012326013685733283,310,human_change
bio11,0.023902288068294978,310,baseline
elev_mean,0.021655710780314627,310,baseline
centroid_lon,0.1135342685547719,310,baseline
centroid_lat,0.026121515060266345,310,baseline
delta_t_mean,0.015504079196640552,164,climate_change
delta_t_extreme,0.030451591152681173,164,climate_change
delta_forest,0.012682570035883647,164,landuse_change
delta_impervious,0.02768711384656689,164,landuse_change
delta_natural,0.010756636667876542,164,landuse_change
delta_hfi,0.014443625063975823,164,human_change
bio11,0.03294815782270176,164,baseline
elev_mean,0.03742347785510941,164,baseline
centroid_lon,0.09940665528035184,164,baseline
centroid_lat,0.02900991643066186,164,baseline
delta_t_mean,0.014243984404677775,246,climate_change
delta_t_extreme,0.023753314212499686,246,climate_change
delta_forest,0.007215876260752447,246,landuse_change
delta_impervious,0.020809945848339083,246,landuse_change
delta_natural,0.009979201277991028,246,landuse_change
delta_hfi,0.011515516812882482,246,human_change
bio11,0.035057365042538736,246,baseline
elev_mean,0.024246451123889998,246,baseline
centroid_lon,0.08685591006810248,246,baseline
centroid_lat,0.019918624661336447,246,baseline
delta_t_mean,0.014031201134397353,74,climate_change
delta_t_extreme,0.02968149685411195,74,climate_change
delta_forest,0.010022556523624871,74,landuse_change
delta_impervious,0.024287100427714512,74,landuse_change
delta_natural,0.010591155252036159,74,landuse_change
delta_hfi,0.009982893845131145,74,human_change
bio11,0.03569578618785724,74,baseline
elev_mean,0.025936901972125056,74,baseline
centroid_lon,0.11272819133281206,74,baseline
centroid_lat,0.024967350863059613,74,baseline
delta_t_mean,0.010612723513512893,376,climate_change
delta_t_extreme,0.02807615041778105,376,climate_change
delta_forest,0.006780690684454857,376,landuse_change
delta_impervious,0.014020794625126308,376,landuse_change
delta_natural,0.00860309868900229,376,landuse_change
delta_hfi,0.008188004299504,376,human_change
bio11,0.03662525368434253,376,baseline
elev_mean,0.02647905433879413,376,baseline
centroid_lon,0.06881374472764738,376,baseline
centroid_lat,0.023193317631001797,376,baseline
delta_t_mean,0.02021708228861053,160,climate_change
delta_t_extreme,0.042469522982843816,160,climate_change
delta_forest,0.015921730958883325,160,landuse_change
delta_impervious,0.03132595591658931,160,landuse_change
delta_natural,0.017699020911721156,160,landuse_change
delta_hfi,0.014126788507551401,160,human_change
bio11,0.034156639781846375,160,baseline
elev_mean,0.05348228605775673,160,baseline
centroid_lon,0.1685003388931171,160,baseline
centroid_lat,0.031775554374339786,160,baseline
delta_t_mean,0.009466106541884766,19,climate_change
delta_t_extreme,0.02016134960065795,19,climate_change
delta_forest,0.006692741445858811,19,landuse_change
delta_impervious,0.015267959175676296,19,landuse_change
delta_natural,0.00841578372629754,19,landuse_change
delta_hfi,0.007206723983126842,19,human_change
bio11,0.02484234159911243,19,baseline
elev_mean,0.017551419150256355,19,baseline
centroid_lon,0.06762823934466743,19,baseline
centroid_lat,0.015042419039675554,19,baseline
