group,mean,median,sd,q_lo,q_hi,label
baseline,0.19559466640255074,0.1880119378474353,0.04354237484373849,0.12905140850952768,0.28748729945371476,Spatial baseline
landuse_change,0.04529714338241478,0.04450586283596007,0.0103445597446063,0.029866236664476818,0.06762399358094136,Land use change
climate_change,0.044187447216625694,0.04357714685716706,0.00923406935666367,0.028784594705688255,0.063137034541300055,Climate change
human_change,0.011203938612180763,0.011207034276050746,0.0027582589592693844,0.007292327861485157,0.017244973418765835,Human pressure change
