species,lat_P1,lat_P5,elev_P1,elev_P5,d_lat_deg,d_elev_m
Passer montanus,36.77802753387168,36.22212116294938,1994.2260762658018,2068.359934907963,-0.5559063709223011,74.13385864216139
Pycnonotus sinensis,32.063864976959195,32.766543891135385,2029.300908659695,1915.2630209898498,0.7026789141761896,-114.0378876698453
Hirundo rustica,36.894601502403134,36.41965490484862,2145.7193418123325,2118.873681613587,-0.4749465975545135,-26.845660198745463
Spilopelia chinensis,31.118410965570845,32.63366907729162,1809.119863016506,1769.8432761923114,1.515258111720776,-39.27658682419474
Pica serica,38.48684185029419,36.3557471486471,1938.3916872005505,1945.0293104771022,-2.1310947016470934,6.637623276551722
Motacilla alba,35.686991585801515,35.97963491861084,2011.4982163910865,2061.284849508224,0.29264333280932675,49.7866331171374
Turdus mandarinus,29.75745212179187,30.978958211327864,1458.6688213687657,1523.0803760924248,1.2215060895359926,64.41155472365904
Egretta garzetta,31.475203444209708,32.98100287207749,2141.631178949682,2085.077387524626,1.5057994278677818,-56.55379142505626
Parus minor,32.851705073885334,33.454979011671185,2120.525330750662,2081.8163714570005,0.6032739377858505,-38.70895929366134
Cyanopica cyanus,39.29507319697598,38.50307284016604,1877.8772208508858,1891.9042601467693,-0.7920003568099361,14.027039295883469
Streptopelia orientalis,35.86822662680645,35.91256009171078,2252.074487217382,2196.0785651887945,0.04433346490433365,-55.9959220285873
Tachybaptus ruficollis,35.99207896091683,35.70372187988646,2155.088767775786,2102.02044899897,-0.2883570810303695,-53.068318776815886
Nycticorax nycticorax,33.427109795673914,34.06609912525632,2049.0067178406803,1995.7402407582683,0.6389893295824081,-53.26647708241194
Gallinula chloropus,37.238541043640204,36.20454513995491,2142.972385578792,2132.434104799898,-1.0339959036852946,-10.538280778894205
Sinosuthora webbiana,34.81589950803612,34.49964514917639,1982.074647443021,1924.9830888659565,-0.3162543588597302,-57.09155857706446
Chloris sinica,35.91572002878163,35.77533167477484,1557.8766212004928,1595.5032847407238,-0.14038835400678806,37.62666354023099
Cecropis daurica,34.39952142452907,34.34753670356239,2306.1073891348683,2331.3593262782597,-0.051984720966679276,25.251937143391388
Acridotheres cristatellus,29.352148223437155,30.06940420805302,1369.7902546180858,1424.4665998833054,0.7172559846158642,54.67634526521965
Ardeola bacchus,32.0222170827402,32.32613498715294,1942.465110664306,1925.428997130353,0.30391790441274225,-17.036113533952857
Copsychus saularis,27.161018963860705,27.852014943970133,890.2074348984886,908.457486068567,0.6909959801094274,18.25005117007845
Ardea cinerea,37.94486648107192,36.72330372131344,2018.4930537265345,2061.386184900539,-1.221562759758477,42.89313117400434
Anas platyrhynchos,38.967304074313674,37.36214217887335,2059.0998311091857,2078.0957651224717,-1.6051618954403253,18.995934013285932
Lanius schach,28.703656866357324,30.102449831676434,1443.141301396612,1561.7156789804512,1.3987929653191102,118.57437758383912
Spodiopsar cineraceus,38.89003735363128,36.56232514081851,2072.9810896530926,1991.4185983486668,-2.32771221281277,-81.56249130442575
Alcedo atthis,35.469947883179806,35.47296228698384,2095.298679335573,2076.8501117875953,0.0030144038040305077,-18.448567547977746
Anas zonorhyncha,38.354238649282394,37.043350293989775,1997.9795057575348,1991.1828703886006,-1.3108883552926187,-6.796635368934176
Phasianus colchicus,39.05395526998698,37.36141870299048,1934.8196347963687,2015.480445804307,-1.6925365669965018,80.66081100793826
Zosterops simplex,29.785326587183533,30.35980162399826,1507.932563091682,1555.8156497611958,0.5744750368147251,47.88308666951389
Cuculus canorus,38.14880744755994,36.88577165559154,1955.6953255335231,2062.557886712201,-1.2630357919683988,106.86256117867765
Corvus macrorhynchos,34.63929362658837,34.95090118323775,1899.3177636847888,1925.2702617243197,0.31160755664937767,25.952498039530838
Upupa epops,37.95885638264177,36.88527545497459,2011.0072811779737,2059.043911733286,-1.0735809276671802,48.03663055531251
Dendrocopos major,37.94929281310174,37.51832727015705,1698.4264274654588,1734.2628261738214,-0.4309655429446906,35.836398708362594
Spodiopsar sericeus,28.342166136730132,30.240008599450636,1063.4612639501277,1230.4733788639205,1.8978424627205044,167.01211491379286
Dicrurus macrocercus,30.876887390757407,30.691727512229825,1201.6971087609174,1186.8059013923485,-0.18515987852758187,-14.891207368568985
Spizixos semitorques,29.27438107203067,30.255708527123964,1259.781528934509,1332.711424318364,0.9813274550932931,72.92989538385496
Phoenicurus auroreus,33.9742413825279,34.18300417012143,1817.1702134949905,1815.311784092652,0.2087627875935283,-1.8584294023385155
Ardea alba,37.60251191281319,36.95601444144724,2134.7498081903036,2125.2808371750457,-0.6464974713659544,-9.468971015257921
Himantopus himantopus,40.74126473907848,38.064764434701125,2237.146439727418,2149.9836991381153,-2.676500304377356,-87.16274058930276
Urocissa erythroryncha,29.00705142227737,30.84562944905117,1587.9751652944215,1675.0702160834078,1.8385780267737992,87.09505078898633
Aegithalos concinnus,28.115960198666613,28.69551605136818,2183.5285321119,2195.9462125147115,0.5795558527015672,12.417680402811584
Lanius cristatus,35.776687810993074,35.7542049915631,1953.7205980257727,1951.869970265425,-0.022482819429974654,-1.8506277603476065
Fulica atra,39.22682714734145,36.94049430175407,2026.9657012570042,2085.993094875184,-2.2863328455873813,59.02739361817976
Horornis fortipes,28.158869833135057,29.035264401981365,1694.4215871726428,1728.7767245626908,0.8763945688463082,34.35513739004796
Eophona migratoria,34.380929559020664,34.37975306359775,1965.126802862708,1947.7348621947285,-0.001176495422917867,-17.391940667979497
Podiceps cristatus,39.44876961138338,37.798892457893025,2058.5639243167047,2075.983657788712,-1.6498771534903582,17.419733472007465
Picus canus,37.17447263341673,37.00668142272683,1891.0866670220362,1901.6937052283847,-0.16779121068989866,10.607038206348534
Phylloscopus inornatus,33.84805560928748,34.5781371976041,2353.2900570608854,2173.164176883712,0.7300815883166223,-180.12588017717326
Pterorhinus sannio,27.052235990423604,28.696437506751682,1139.1840765622844,1178.6586327518535,1.6442015163280779,39.47455618956906
Motacilla cinerea,36.11654914113331,36.07141552944889,2230.419629726651,2182.3895757127025,-0.045133611684420316,-48.0300540139483
Sterna hirundo,39.834375910321526,38.51748092613081,1888.1633077267982,1997.382729205502,-1.3168949841907178,109.21942147870391
Falco tinnunculus,37.746635638094446,36.56148410080759,2105.2204539557056,2089.6764290612164,-1.1851515372868562,-15.544024894489212
Hypsipetes leucocephalus,26.85350008998957,27.37944320049386,2257.4935385513645,2195.1929082363795,0.52594311050429,-62.30063031498503
Apus apus,41.02933744554473,40.747528587330585,2061.338170875451,2065.0864918653497,-0.28180885821414847,3.7483209898987297
Cuculus micropterus,33.18275096898441,33.87490877858427,2550.805114247783,2389.99654040537,0.6921578095998626,-160.8085738424129
Phalacrocorax carbo,38.74973381809147,37.611329837679385,2126.736208767629,2107.895655658336,-1.138403980412086,-18.840553109292614
Phoenicurus fuliginosus,29.407223806990505,30.33038705103197,907.1222596051125,955.0478149019654,0.923163244041465,47.92555529685285
Prinia inornata,26.846627282150965,28.279084200243958,939.1385688810036,1348.7460611488902,1.432456918092992,409.60749226788664
Milvus migrans,35.94988351322428,35.93196640406757,2093.113767807306,2083.5998524560327,-0.017917109156705635,-9.513915351273226
Bubulcus coromandus,31.066278480162083,31.34081721340302,1425.523189364466,1440.26591243731,0.2745387332409379,14.742723072844
Phylloscopus proregulus,34.84709681004034,34.98024402702882,2032.9536618771524,1999.661738486215,0.1331472169884762,-33.29192339093743
Acrocephalus orientalis,39.355103573402914,37.41586827801599,1922.4347025448694,1931.7174356056346,-1.939235295386922,9.282733060765167
Aegithalos glaucogularis,39.27366607729665,37.963407601508955,1439.888828655393,1429.427402708679,-1.3102584757876983,-10.461425946713916
Eudynamys scolopaceus,29.004105378987685,30.172627300202407,1271.7983113722275,1376.6649716806658,1.1685219212147224,104.86666030843821
