control,parameter,mean,sd,q025,median,q975,n_grids
detection_slope,log_events,0.9250956677166966,0.014431290608808453,0.897264811386526,0.9250946104145283,0.9531331357762318,NA
detection_slope,log_duration,0.15281405920119137,0.007852996256928941,0.1376417227677044,0.15267054975658242,0.16834886517105002,NA
effort_saturated_subset,corrected_richness_slope,4.5379482333057855,1.6794733943217433,2.3634972944713906,4.067879649848052,7.860093040673341,30
fixed_effort_counterfactual,detection_prob_change_P1_to_P5,0.3227216931963191,0.009198843239975356,0.3041691477827421,0.32296187948747485,0.3403450316825493,NA
data_source_detection_term,delta_WAIC,NA,NA,NA,NA,NA,NA
