pa_type,outcome,ATT,p_value,n_treated
pa_frac_forest,trend_corrected_richness,-0.02313625713433698,0.9187965935741463,22
pa_frac_forest,trend_shannon,0.0010195682108129663,0.627817539734755,22
pa_frac_forest,trend_inv_simpson,0.029213524462250007,0.8861520469715792,22
pa_frac_forest,trend_trait_volume,-0.0010590841284839588,0.3098090925740724,22
pa_frac_forest,trend_trait_dispersion,-0.0013830109934673965,0.3582025808203525,22
pa_frac_forest,trend_rao_q,-0.0016173941676954039,0.32455589778713845,22
pa_frac_forest,trend_feve,-1.803157894945213e-5,0.956892774682265,22
pa_frac_forest,trend_fdiv,4.02561353289053e-4,0.48622599453812465,22
pa_frac_forest,trend_fric_prob,0.005677518717050363,0.755848755367569,22
pa_frac_forest,trend_fdiv_fund,1.372101860951587e-4,0.6609922083993773,22
pa_frac_forest,trend_feve_fund,3.1821511251558816e-4,0.7717850959195092,22
pa_frac_forest,trend_fdis_prob,4.196479751049304e-4,0.8510522997134538,22
pa_frac_forest,trend_fmpd_prob,-0.0017083329633696019,0.33202043463972064,22
pa_frac_forest,trend_raoq_fund,7.663634974073236e-4,0.7620063768371684,22
pa_frac_forest,trend_cwm_pc1,-0.0014124960114101533,0.6473126520994452,22
pa_frac_forest,trend_cwm_pc2,0.0022584793825624555,0.5285561759901449,22
pa_frac_forest,trend_pd_prob_mctavish,-115.50760787685977,0.9104740124493172,22
pa_frac_forest,trend_mpd_prob_mctavish,0.009520786257173008,0.9244646599632957,22
