term,estimate,Est.Error,q025,q975
Intercept,0.0346924836334325,0.008992194536116256,0.0169378985,0.05291195912499999
z_diet_specialization,-6.4175587816123e-4,0.0014229422066260665,-0.00340388378,0.002182329869999994
z_habitat_breadth,0.003042711045710761,0.0017373584392470173,-3.7385047575e-4,0.006486579257499999
