species,trend_class,trend_grade,trend_slope,p_positive,p_negative,mk_tau,mk_p,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Passer montanus,expanding,strong_expanding,0.024649780933687377,1,0,1,0.02748633611151034,0.19999999999999996,5,Woodland,2,1,Omnivore,Terrestrial,1
Pycnonotus sinensis,expanding,strong_expanding,0.023403881658696665,1,0,1,0.02748633611151034,0.2999999999999999,5,Human Modified,2,3,Herbivore,Insessorial,3
Hirundo rustica,expanding,strong_expanding,0.02808584325457155,1,0,1,0.02748633611151034,0.6999999999999997,8,Human Modified,3,3,Carnivore,Aerial,3
Spilopelia chinensis,expanding,strong_expanding,0.04647803998092174,1,0,1,0.02748633611151034,0.6,8,Woodland,3,1,Herbivore,Terrestrial,1
Pica serica,expanding,strong_expanding,0.07240228103077098,1,0,1,0.02748633611151034,0.6,5,NA,NA,NA,NA,NA,2
Motacilla alba,stable,stable,0.007769086339453237,0.95,0.05,1,0.02748633611151034,1,8,Human Modified,3,3,Carnivore,Terrestrial,3
Turdus mandarinus,expanding,strong_expanding,0.02657332050939326,1,0,1,0.02748633611151034,0.6,5,Forest,2,1,Omnivore,Generalist,1
Egretta garzetta,expanding,strong_expanding,0.03900389662188837,1,0,1,0.02748633611151034,0.3999999999999998,8,Wetland,3,2,Carnivore,Terrestrial,2
Parus minor,stable,stable,0.013545737077107064,0.95,0.05,0.6,0.2206713619198468,0.6,5,NA,NA,NA,NA,NA,2
Cyanopica cyanus,expanding,strong_expanding,0.021104255006697846,1,0,1,0.02748633611151034,0.6999999999999997,5,Woodland,2,1,Omnivore,Generalist,1
Streptopelia orientalis,expanding,expanding,0.026149204550609716,0.965,0.035,0.8,0.08641073297370003,0.19999999999999993,8,Woodland,3,3,Herbivore,Terrestrial,3
Tachybaptus ruficollis,expanding,strong_expanding,0.060138664135947616,1,0,1,0.02748633611151034,0.6000000000000001,8,Wetland,3,1,Carnivore,Aquatic,1
Nycticorax nycticorax,expanding,strong_expanding,0.057737688793568526,1,0,1,0.02748633611151034,0.1333333333333333,8,Wetland,3,3,Carnivore,Terrestrial,3
Gallinula chloropus,expanding,strong_expanding,0.06701135531935565,1,0,1,0.02748633611151034,0.16,8,Wetland,3,1,Omnivore,Terrestrial,1
Sinosuthora webbiana,expanding,strong_expanding,0.02757728169779591,1,0,1,0.02748633611151034,0.6,5,Shrubland,2,1,Herbivore,Insessorial,1
Chloris sinica,stable,stable,0.010005980529412959,0.95,0.05,0.8,0.08641073297370003,0.6,5,Shrubland,2,1,Herbivore,Generalist,1
Cecropis daurica,stable,stable,3.712558708972645e-5,0.48,0.52,0,1,0.6,8,Grassland,3,3,Carnivore,Aerial,3
Acridotheres cristatellus,expanding,strong_expanding,0.017766350543320805,1,0,0.6,0.2206713619198468,0.39999999999999986,8,Grassland,3,2,Omnivore,Generalist,2
Ardeola bacchus,expanding,expanding,0.015008084262640786,0.965,0.035,0.6,0.2206713619198468,0.5999999999999996,8,Wetland,3,2,Carnivore,Terrestrial,2
Copsychus saularis,expanding,strong_expanding,0.011614287937353708,1,0,1,0.02748633611151034,0.6,2,Woodland,1,1,Carnivore,Terrestrial,1
Ardea cinerea,expanding,strong_expanding,0.06179062578285373,1,0,1,0.02748633611151034,0.5333333333333333,8,Wetland,3,1,Carnivore,Terrestrial,1
Anas platyrhynchos,expanding,strong_expanding,0.049516796163440055,1,0,1,0.02748633611151034,0.35,8,Wetland,3,2,Herbivore,Aquatic,2
Lanius schach,expanding,strong_expanding,0.027306458933473807,1,0,1,0.02748633611151034,0.3999999999999998,5,Shrubland,2,2,Carnivore,Insessorial,2
Spodiopsar cineraceus,expanding,strong_expanding,0.06203637188879589,1,0,1,0.02748633611151034,0.6,8,Grassland,3,1,Carnivore,Terrestrial,1
Alcedo atthis,expanding,expanding,0.0169518114956602,0.985,0.015,0.8,0.08641073297370003,0.39999999999999997,5,Riverine,2,1,Carnivore,Insessorial,1
Anas zonorhyncha,expanding,strong_expanding,0.04070647907524625,1,0,1,0.02748633611151034,0.6,8,Wetland,3,2,Herbivore,Aquatic,2
Phasianus colchicus,expanding,strong_expanding,0.05019119213854378,1,0,1,0.02748633611151034,0.19999999999999996,5,Human Modified,2,1,Herbivore,Terrestrial,1
Zosterops simplex,expanding,expanding,0.010580368769845076,0.975,0.025,0.4,0.4624327264504763,0.6,5,Forest,2,1,Omnivore,Insessorial,1
Cuculus canorus,expanding,strong_expanding,0.036940609138891134,1,0,1,0.02748633611151034,0.8,5,Forest,2,3,Carnivore,Insessorial,3
Corvus macrorhynchos,stable,stable,0.025641674868501812,0.945,0.055,0.4,0.4624327264504763,0.2799999999999999,5,Woodland,2,1,Omnivore,Generalist,1
Upupa epops,expanding,strong_expanding,0.03677770402507617,1,0,1,0.02748633611151034,0.6000000000000001,8,Grassland,3,3,Carnivore,Terrestrial,3
Dendrocopos major,stable,stable,0.012038769442754655,0.83,0.17,0.6,0.2206713619198468,0.4666666666666666,2,Woodland,1,1,Omnivore,Insessorial,1
Spodiopsar sericeus,expanding,strong_expanding,0.03929800093626824,1,0,1,0.02748633611151034,0.6,5,Shrubland,2,2,Omnivore,Insessorial,2
Dicrurus macrocercus,stable,stable,-0.005465815896865404,0.225,0.775,-0.6,0.2206713619198468,0.36,5,Shrubland,2,1,Carnivore,Insessorial,1
Spizixos semitorques,expanding,strong_expanding,0.029024289626778933,1,0,1,0.02748633611151034,0,5,Shrubland,2,1,Omnivore,Insessorial,1
Phoenicurus auroreus,stable,stable,0.004910492884146818,0.76,0.24,0.4,0.4624327264504763,0.49999999999999983,5,Forest,2,3,Omnivore,Insessorial,3
Ardea alba,expanding,expanding,0.028876815638627942,0.99,0.01,0.8,0.08641073297370003,0.6,8,Wetland,3,2,Carnivore,Terrestrial,2
Himantopus himantopus,expanding,strong_expanding,0.07513418023937025,1,0,1,0.02748633611151034,1,8,Wetland,3,2,Carnivore,Terrestrial,2
Urocissa erythroryncha,expanding,strong_expanding,0.04462354150957543,0.995,0.005,1,0.02748633611151034,0.6,2,Forest,1,1,Carnivore,Insessorial,1
Aegithalos concinnus,expanding,expanding,0.009998939924273772,0.96,0.04,1,0.02748633611151034,0.5999999999999996,2,Forest,1,1,Carnivore,Insessorial,1
Lanius cristatus,stable,stable,0.004230734292804698,0.725,0.275,0.2,0.8064959405073402,0.6999999999999997,8,Shrubland,3,3,Carnivore,Insessorial,3
Fulica atra,expanding,strong_expanding,0.10928598426153271,1,0,1,0.02748633611151034,0.3199999999999999,8,Wetland,3,1,Herbivore,Generalist,1
Horornis fortipes,expanding,strong_expanding,0.01665311781636013,0.995,0.005,1,0.02748633611151034,0.6,2,Forest,1,2,Carnivore,Generalist,2
