grid_cell,selected,plan,budget
1096,0,A_richness_led,0.3
1097,0,A_richness_led,0.3
1098,0,A_richness_led,0.3
1100,0,A_richness_led,0.3
1101,0,A_richness_led,0.3
1103,0,A_richness_led,0.3
1126,0,A_richness_led,0.3
1127,0,A_richness_led,0.3
1128,0,A_richness_led,0.3
1129,0,A_richness_led,0.3
1130,0,A_richness_led,0.3
1131,0,A_richness_led,0.3
1133,0,A_richness_led,0.3
1134,0,A_richness_led,0.3
1137,0,A_richness_led,0.3
1138,0,A_richness_led,0.3
1139,0,A_richness_led,0.3
1140,0,A_richness_led,0.3
1142,0,A_richness_led,0.3
1143,0,A_richness_led,0.3
1144,0,A_richness_led,0.3
1145,0,A_richness_led,0.3
1161,0,A_richness_led,0.3
1162,0,A_richness_led,0.3
1163,0,A_richness_led,0.3
1164,0,A_richness_led,0.3
1165,0,A_richness_led,0.3
1166,0,A_richness_led,0.3
1167,0,A_richness_led,0.3
1168,0,A_richness_led,0.3
1169,0,A_richness_led,0.3
1170,0,A_richness_led,0.3
1171,0,A_richness_led,0.3
1172,0,A_richness_led,0.3
1173,0,A_richness_led,0.3
1175,0,A_richness_led,0.3
1196,0,A_richness_led,0.3
1197,0,A_richness_led,0.3
1198,0,A_richness_led,0.3
1199,0,A_richness_led,0.3
1200,0,A_richness_led,0.3
1201,0,A_richness_led,0.3
1202,0,A_richness_led,0.3
1203,0,A_richness_led,0.3
1204,0,A_richness_led,0.3
1205,0,A_richness_led,0.3
1206,0,A_richness_led,0.3
1207,0,A_richness_led,0.3
1208,0,A_richness_led,0.3
1209,0,A_richness_led,0.3
1210,0,A_richness_led,0.3
1211,0,A_richness_led,0.3
1212,0,A_richness_led,0.3
1213,0,A_richness_led,0.3
1214,0,A_richness_led,0.3
1215,0,A_richness_led,0.3
1216,0,A_richness_led,0.3
1234,0,A_richness_led,0.3
1235,0,A_richness_led,0.3
1236,0,A_richness_led,0.3
1237,0,A_richness_led,0.3
1238,0,A_richness_led,0.3
1239,0,A_richness_led,0.3
1240,0,A_richness_led,0.3
1241,0,A_richness_led,0.3
1242,0,A_richness_led,0.3
1243,0,A_richness_led,0.3
1244,0,A_richness_led,0.3
1246,0,A_richness_led,0.3
1247,0,A_richness_led,0.3
1248,0,A_richness_led,0.3
1249,0,A_richness_led,0.3
1268,0,A_richness_led,0.3
1269,0,A_richness_led,0.3
1270,0,A_richness_led,0.3
1271,0,A_richness_led,0.3
1272,0,A_richness_led,0.3
1273,0,A_richness_led,0.3
1274,0,A_richness_led,0.3
1275,0,A_richness_led,0.3
1276,0,A_richness_led,0.3
1277,0,A_richness_led,0.3
1279,0,A_richness_led,0.3
1280,0,A_richness_led,0.3
1281,0,A_richness_led,0.3
1282,0,A_richness_led,0.3
1283,0,A_richness_led,0.3
1284,0,A_richness_led,0.3
1286,0,A_richness_led,0.3
1287,0,A_richness_led,0.3
1288,0,A_richness_led,0.3
1289,0,A_richness_led,0.3
1305,0,A_richness_led,0.3
1306,0,A_richness_led,0.3
1307,0,A_richness_led,0.3
1308,0,A_richness_led,0.3
1309,0,A_richness_led,0.3
1312,0,A_richness_led,0.3
1313,0,A_richness_led,0.3
1314,0,A_richness_led,0.3
1315,0,A_richness_led,0.3
1316,0,A_richness_led,0.3
1319,0,A_richness_led,0.3
1320,0,A_richness_led,0.3
1321,0,A_richness_led,0.3
1322,0,A_richness_led,0.3
1328,0,A_richness_led,0.3
1339,0,A_richness_led,0.3
1340,0,A_richness_led,0.3
1341,0,A_richness_led,0.3
1344,0,A_richness_led,0.3
1345,0,A_richness_led,0.3
1346,0,A_richness_led,0.3
1348,0,A_richness_led,0.3
1349,0,A_richness_led,0.3
1351,0,A_richness_led,0.3
1352,0,A_richness_led,0.3
1353,0,A_richness_led,0.3
1354,0,A_richness_led,0.3
1355,0,A_richness_led,0.3
1357,0,A_richness_led,0.3
1358,0,A_richness_led,0.3
1359,1,A_richness_led,0.3
1360,0,A_richness_led,0.3
1361,0,A_richness_led,0.3
1377,0,A_richness_led,0.3
1379,0,A_richness_led,0.3
1380,0,A_richness_led,0.3
1381,0,A_richness_led,0.3
1382,0,A_richness_led,0.3
