species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Lonchura punctulata,theil_sen,0.02036136639006538,0.004793850689604061,0.011992289629795764,0.017107772189381906,0.019955018961086247,0.023533726402638018,0.03035130149832848,1,0,expanding,strong_expanding,8,0.8,0.08641073297370003
Orthotomus sutorius,theil_sen,0.012777767964926674,0.002708221112574267,0.007609502007969632,0.010961914600051043,0.012760362468569101,0.014720401280503214,0.01765628881297175,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Falco subbuteo,theil_sen,0.02891750180371037,0.015543230571700681,-0.0012942649008880025,0.018652478707372067,0.030508115440878225,0.04034550198070664,0.057980102355861894,0.965,0.035,expanding,expanding,6,0.6,0.2206713619198468
Pericrocotus ethologus,theil_sen,0.00376411141600916,0.011230961890967797,-0.02584646414190708,-0.0032347646282341116,0.004360867945505641,0.011819914504424479,0.0233442452964163,0.63,0.37,stable,stable,4,0.4,0.4624327264504763
Muscicapa sibirica,theil_sen,0.0067473635417526785,0.009936588906316483,-0.014743186166988068,0.0011328386968936371,0.007787015106115257,0.012892521268478025,0.023376852725091875,0.79,0.21,stable,stable,8,0.8,0.08641073297370003
Picumnus innominatus,theil_sen,0.01610937716750253,0.009077133825705531,-0.0013870580505856833,0.009786945045955831,0.016668301070589274,0.022871499716712703,0.03193841958423322,0.965,0.035,expanding,expanding,10,1,0.02748633611151034
Sternula albifrons,theil_sen,0.039863551130823835,0.011907664498795713,0.014714550265300679,0.03170331576206385,0.04061914871362371,0.049218447363372525,0.05929330941862754,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Butorides striata,theil_sen,0.015181800955699072,0.010220970639220792,-0.004428587644930003,0.008578191864820072,0.015048666178507027,0.021766649194973082,0.03351673892499337,0.92,0.08,stable,stable,10,1,0.02748633611151034
Yungipicus canicapillus,theil_sen,0.033200815983434565,0.012713715897974938,0.011062830814883427,0.025530733866934906,0.032563713692969724,0.042104910320459085,0.05764868961005017,1,0,expanding,strong_expanding,6,0.6,0.2206713619198468
Periparus ater,theil_sen,0.003445803787801806,0.013215850655534416,-0.022546960106984815,-0.00554890450403331,0.0036657602652752884,0.013391199029592217,0.027717514620687823,0.57,0.43,stable,stable,4,0.4,0.4624327264504763
Phylloscopus magnirostris,theil_sen,-0.005688861605792471,0.010707878662240307,-0.028029138210922445,-0.012317116612312669,-0.00475123156964706,0.0018614051109938933,0.015924493579493174,0.335,0.665,stable,stable,-4,-0.4,0.4624327264504763
Tarsiger cyanurus,theil_sen,0.01698519778789218,0.011447547373253932,-0.004529009334262995,0.009409544419857509,0.017853483733293006,0.025267450469872096,0.03753177053543003,0.935,0.065,stable,stable,8,0.8,0.08641073297370003
Cuculus sparverioides,theil_sen,-0.007556684548462261,0.0105148870799151,-0.02413515648612462,-0.014438222986705895,-0.008284542423537902,-0.0014956238623440553,0.013575079904902887,0.215,0.785,stable,stable,-8,-0.8,0.08641073297370003
Cyanoderma ruficeps,theil_sen,0.03186087819916029,0.010400966025198494,0.01082576209296969,0.025175427412698896,0.032787394903641395,0.037961911543526045,0.04976537267630818,0.995,0.005,expanding,strong_expanding,10,1,0.02748633611151034
Eurystomus orientalis,theil_sen,0.013378658325497988,0.012623407517962131,-0.01195374492713333,0.005283525040651061,0.013920879594454242,0.02135040898041895,0.03489421363268425,0.87,0.13,stable,stable,8,0.8,0.08641073297370003
Anas carolinensis,theil_sen,0.05828019268886514,0.01605742135058641,0.029840290335340892,0.04683612911985908,0.05880276888075339,0.06875991649739882,0.08752551940098809,1,0,expanding,strong_expanding,8,0.8,0.08641073297370003
Acrocephalus bistrigiceps,theil_sen,0.05483345429552696,0.011766817435002732,0.030816078148044736,0.04763163829837767,0.05510210763307932,0.06336441592364067,0.07435920835665154,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Centropus sinensis,theil_sen,0.019314231753177032,0.004037384302979594,0.011749231403348846,0.01642435190932752,0.019352901340192026,0.021933657389190155,0.02684177341800566,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Buteo hemilasius,theil_sen,0.008917988440195175,0.012109154404443885,-0.01759844831001921,0.001941943209382492,0.010350825752183934,0.017053396521024354,0.029976961249522722,0.775,0.225,stable,stable,0,0,1
Pycnonotus aurigaster,theil_sen,0.016878768840138,0.0035441113799369764,0.009999218037382513,0.014599235792990065,0.016998464902743878,0.019118297079400878,0.024165977139734875,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Fringilla montifringilla,theil_sen,0.06680389799194987,0.012807104108247723,0.03996401783796196,0.05785815943380975,0.06695252098247167,0.07575696841193941,0.08899260857188665,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Phylloscopus humei,theil_sen,0.012448396792740141,0.008962266478252835,-0.004143137581248335,0.005818635568609436,0.012972834246371022,0.018597785152254263,0.02965775560030327,0.895,0.105,stable,stable,8,0.8,0.08641073297370003
Apus pacificus,theil_sen,0.005308845355010297,0.01602856064418265,-0.0254360074357245,-0.005209225197839826,0.0067819412377478116,0.014075348214457186,0.03487652908636537,0.655,0.345,stable,stable,4,0.4,0.4624327264504763
Emberiza godlewskii,theil_sen,-9.732079038713107e-4,0.00760507669079992,-0.01446560439632255,-0.006136468037821792,-7.001103831818557e-4,0.004600846481667628,0.012838285174901846,0.485,0.515,stable,stable,-2,-0.2,0.8064959405073402
Tringa erythropus,theil_sen,0.054709192444251604,0.012905627843899438,0.0262180770055204,0.04803706224827678,0.055617920609458055,0.06226150573483091,0.07701815857354573,0.995,0.005,expanding,strong_expanding,10,1,0.02748633611151034
Enicurus leschenaulti,theil_sen,0.01699777488226155,0.00811278335402453,0.0018564516691812597,0.012145380993749894,0.01724736788728458,0.022510698568888706,0.030026003327208877,0.985,0.015,expanding,expanding,8,0.8,0.08641073297370003
Phylloscopus borealis,theil_sen,-0.008233818981535251,0.01391447738165188,-0.03397561333831418,-0.017082488031901974,-0.006502109875507904,0.0010453278044414774,0.018794560037834335,0.275,0.725,stable,stable,0,0,1
Cuculus poliocephalus,theil_sen,-5.377630112187786e-4,0.01857654886494429,-0.03683924444188743,-0.011400544734009244,-8.463797344313943e-5,0.01285081022595659,0.033904412546575606,0.495,0.505,stable,stable,2,0.2,0.8064959405073402
Phylloscopus coronatus,theil_sen,-0.007639192565841041,0.015731598842906556,-0.037936293796770514,-0.017306099700880914,-0.006605696086453262,0.0021462100471568643,0.022948411523804016,0.305,0.695,stable,stable,-8,-0.8,0.08641073297370003
Phylloscopus trochiloides,theil_sen,0.005227854997208573,0.006557988921979539,-0.007960992348383069,7.10446854995638e-4,0.0049657855655835205,0.009668417313158028,0.01718801820051852,0.775,0.225,stable,stable,8,0.8,0.08641073297370003
Pericrocotus solaris,theil_sen,0.024539465308420067,0.004860173626138697,0.015682122178685,0.02156825524892397,0.024186696370233105,0.027406182623910706,0.0347010062897539,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Aethopyga gouldiae,theil_sen,0.009320404476889413,0.008154996891410096,-0.0064483917448297685,0.0036535202708416013,0.00918711670095673,0.014988767720731115,0.023538608624364833,0.855,0.145,stable,stable,6,0.6,0.2206713619198468
Tringa stagnatilis,theil_sen,0.03440491936946747,0.011706326201717434,0.011237161596312807,0.026271359294963118,0.034813245023057146,0.04228508727209339,0.055090325921795254,1,0,expanding,strong_expanding,8,0.8,0.08641073297370003
Muscicapa dauurica,theil_sen,0.054203302599745644,0.024539637418717633,0.008026664691871343,0.03871660457210252,0.055893254503137195,0.06914655978612476,0.09967336349344431,0.99,0.01,expanding,expanding,8,0.8,0.08641073297370003
