variable,smd_before,smd_after,balanced_after
distance,0.44221209640997144,3.5047196378991337e-4,TRUE
elev_mean,-0.25240003198689354,0.014100280942759471,TRUE
elev_sd,-0.059766293332050184,0.019422330161896362,TRUE
bio1,0.22425077984718356,-0.047343961169681474,TRUE
bio12,0.10956433035414258,0.01685601188519554,TRUE
hfi_2000,0.09131032443448533,-0.05850543136129095,TRUE
landcover_trees,-0.07964195816979168,-0.04288142618420952,TRUE
landcover_cropland,0.09724272960338488,0.02648690354674206,TRUE
landcover_built,0.13286350456862325,-0.058328377913098306,TRUE
npp_mean,-4.3860420856211803e-4,0.0068923533930222835,TRUE
centroid_lon,-0.016721867180794082,-0.12874783660205497,FALSE
centroid_lat,0.06456682186774124,0.021271173275316052,TRUE
