period_pair,expected_colonizations,expected_extinctions,net,colonization_extinction_ratio
P1_P2,28097.288347808513,24255.740900326102,3841.547447482415,1.1583768338913434
P2_P3,29455.764568870087,23478.144474782704,5977.620094087382,1.2546035995522473
P3_P4,28738.68420461463,24371.310504320358,4367.37370029428,1.1792014302850091
P4_P5,33261.409232783364,20417.276606343552,12844.132626439809,1.6290815799815928
