mean,sd,q025,median,q975,metric,method,grid_cell,hfi_q
2.8359510926432763,0.23118764141723183,2.4040431211833795,2.8277307838603463,3.2833948367672128,corrected_richness,ols,56,Q1 (low HFI)
3.269944278797171,0.22663266112704333,2.8730954483117177,3.2651017120768984,3.752911372452156,corrected_richness,ols,57,Q1 (low HFI)
3.092097624574389,0.232494933179912,2.628210822985674,3.08311832796552,3.5149892224368133,corrected_richness,ols,128,Q4 (high HFI)
3.4223108672897617,0.22004890970098115,2.9792836718252564,3.4363297719790733,3.828413605355285,corrected_richness,ols,198,Q2
3.4931145418494625,0.22122452780939544,3.0469206063544485,3.4946039665001045,3.945171665999404,corrected_richness,ols,199,Q2
1.896280287653644,0.1943730999822021,1.4887032195328065,1.9129234350438888,2.2441497856697787,corrected_richness,ols,203,Q3
3.352119794042685,0.21057681117631333,2.9242984602930986,3.3569977598071263,3.748547158115515,corrected_richness,ols,270,Q2
3.4711281578948636,0.21668618455486816,3.020568568731012,3.4703877471165616,3.8615086025254137,corrected_richness,ols,271,Q2
3.4722915017840017,0.21740050819819423,3.0295763049589186,3.4709079468412547,3.869657137030375,corrected_richness,ols,272,Q2
3.518989035165355,0.2332637724739494,3.0646460755246467,3.5279181620463955,3.9786154776101705,corrected_richness,ols,274,Q2
2.850396310688601,0.231428636862084,2.431467831998924,2.8580957430619227,3.2986729453256944,corrected_richness,ols,276,Q3
3.451554087692669,0.2727366041307751,2.9520442005142744,3.4333774989082775,3.959448599044683,corrected_richness,ols,341,Q4 (high HFI)
2.7022321777741296,0.252168405193773,2.2183360155819196,2.7019537176548205,3.1523805286296,corrected_richness,ols,342,Q2
2.4484667642958233,0.2578925609510424,2.0077830036816104,2.43544822180262,2.9526326283347677,corrected_richness,ols,343,Q3
2.923222836541133,0.2436888330459957,2.4619454249152595,2.919219448836305,3.4050260102975134,corrected_richness,ols,344,Q2
3.3760433457470027,0.2264060339152907,2.923984855301263,3.378598385703683,3.7735976622299248,corrected_richness,ols,345,Q2
3.2107382747115785,0.19774934894771737,2.8079814074762433,3.2123454265145597,3.5922557569573303,corrected_richness,ols,347,Q2
3.2490785394024866,0.21130874182430348,2.8322687945982015,3.248353897909898,3.666688541080223,corrected_richness,ols,412,Q2
3.690563133758893,0.21200002206872995,3.2812154958295814,3.690221950063037,4.123413178967837,corrected_richness,ols,413,Q2
3.667391816008633,0.2085247060999365,3.255073883576692,3.665533725077697,4.067451344436743,corrected_richness,ols,414,Q3
3.88565671747501,0.224693109224637,3.4453036432195994,3.871037906882316,4.309586158014467,corrected_richness,ols,415,Q2
3.882262371062715,0.2308356592343578,3.4537048790703424,3.869807726007495,4.31602201566544,corrected_richness,ols,416,Q2
2.5223258347687927,0.24539253291361737,2.0520218170727538,2.522254176016673,2.9772178064847115,corrected_richness,ols,417,Q2
2.591001556013674,0.23643332385173507,2.1370140018958153,2.599053335350745,3.0413626040271877,corrected_richness,ols,418,Q2
3.848878571917039,0.24028825191069847,3.401067740395443,3.851814551943016,4.3098735481147985,corrected_richness,ols,483,Q1 (low HFI)
3.6459822630194623,0.24078898307595312,3.171709345513705,3.652791943109408,4.08261757786603,corrected_richness,ols,484,Q1 (low HFI)
3.654794962052273,0.2404045564593567,3.2257136945494036,3.65724017940651,4.069742225384904,corrected_richness,ols,485,Q1 (low HFI)
3.928801670686046,0.23672678147417703,3.4445357656578426,3.9215658461033542,4.384062867813746,corrected_richness,ols,486,Q1 (low HFI)
3.781121520874395,0.2412965256745754,3.2998597680280626,3.790959886261226,4.2241813736687766,corrected_richness,ols,487,Q1 (low HFI)
3.903167793781192,0.24123475540280256,3.4357768615715485,3.903806147488696,4.346984982404053,corrected_richness,ols,554,Q1 (low HFI)
3.867623262517948,0.2475916386977101,3.3687894183265863,3.868005235814998,4.331298368018132,corrected_richness,ols,555,Q1 (low HFI)
3.700298914142413,0.24647196830594847,3.216196124310729,3.6949573564926577,4.126089165842157,corrected_richness,ols,556,Q1 (low HFI)
3.579183567199979,0.2393677403083639,3.1085498766723534,3.5705993143943324,3.999468311277451,corrected_richness,ols,557,Q1 (low HFI)
3.663507717881722,0.246059395300926,3.1700537650014966,3.653127555476479,4.110480855665781,corrected_richness,ols,558,Q1 (low HFI)
3.902400641101925,0.23910808301718708,3.392206929643949,3.8968164334753976,4.337418503104297,corrected_richness,ols,559,Q1 (low HFI)
3.6911842760226334,0.2244340201121862,3.2286393635635973,3.697305556708005,4.1721855141776425,corrected_richness,ols,560,Q1 (low HFI)
2.29727837552159,0.19165696853081457,1.927033843066304,2.301549310562298,2.661673463129287,corrected_richness,ols,561,Q3
2.68697766782394,0.1798778627604596,2.3468866055618127,2.675746186200021,3.058570869707097,corrected_richness,ols,563,Q2
2.469902502532269,0.17054253006718056,2.138323307328351,2.471995812958806,2.809162751250702,corrected_richness,ols,564,Q3
