term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,0.038610872613,0.006651960405908478,0.028557289775,0.054102344575
delta_t_mean,-4.0900821413084536e-4,3.1431987966895993e-4,-0.0010173250149999999,2.0272197949999945e-4
delta_t_extreme,-3.2104827170075e-4,3.3232366018043764e-4,-9.732200095e-4,3.1753439099999975e-4
delta_forest,3.800699698503974e-4,2.0553767972591932e-4,-2.8498126274999968e-05,7.759094024999999e-4
delta_impervious,-6.760688859687675e-4,2.8718484950761725e-4,-0.0012414523324999998,-1.209961805e-4
delta_natural,-2.6754876712067676e-4,1.329702429041746e-4,-5.29757046e-4,-3.859744262500006e-6
delta_hfi,1.197744281424835e-4,2.99037832800629e-4,-4.708466095e-4,6.961902827499999e-4
bio11,-0.0010715610813375,1.717828846732384e-4,-0.001403554615,-7.295018847500001e-4
elev_mean,-9.1396777518625e-4,1.4632822485294875e-4,-0.0012006638775,-6.349775782500002e-4
centroid_lon,-0.0023634756760505873,0.0029684443880729676,-0.00700578985,0.003886378847499992
centroid_lat,-0.011019595671580874,0.005786604091121083,-0.025051047275,-0.0028577519725000032
