species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Lophophanes dichrous,theil_sen,-0.025355735351156983,0.009279771980697828,-0.04594255115474962,-0.03122563125932601,-0.024766033752345224,-0.018843094576125062,-0.009132302037983339,0,1,contracting,strong_contracting,-10,-1,0.02748633611151034
Enicurus schistaceus,theil_sen,0.021521679065318895,0.005157664355185594,0.011166114008208286,0.01772710780619338,0.021818094234262883,0.025050897825488607,0.031238694370225677,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Mergus merganser,theil_sen,0.02713706440224039,0.010721415767142013,0.008106731192193812,0.019138603084830386,0.027131265119879188,0.034797336868617024,0.04951414242845743,0.995,0.005,expanding,strong_expanding,6,0.6,0.2206713619198468
Pica bottanensis,theil_sen,0.012350757809057644,0.006828512934078991,-0.002061483487787811,0.007432596485568254,0.012379390063429039,0.0172385045087774,0.024626884981696226,0.955,0.045,expanding,expanding,6,0.6,0.2206713619198468
Yuhina diademata,theil_sen,-0.006490704313124345,0.008900205363002595,-0.022962690744522663,-0.012987362919926372,-0.006618715018393721,-0.0013013823835785893,0.012534044860556244,0.23,0.77,stable,stable,-2,-0.2,0.8064959405073402
Luscinia svecica,theil_sen,0.07310457618195594,0.014299868630407714,0.04498968068809577,0.0645307852190761,0.07328606477301738,0.08318784813765642,0.09946027909557247,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Ficedula strophiata,theil_sen,5.560555646219785e-5,0.01029388251349691,-0.02177997674683863,-0.0057881277152684076,0.0012513685480943614,0.007272931146418419,0.0180412886130532,0.5325,0.4675,stable,stable,0,0,1
Monticola solitarius,theil_sen,0.005985104567183435,0.013657780191090077,-0.02029147532638295,-0.003752676841369453,0.006961787199764334,0.015734595835509117,0.03269562904253848,0.6775,0.3225,stable,stable,6,0.6,0.2206713619198468
Glareola maldivarum,theil_sen,0.03403470226082323,0.01440078083442516,0.0033371365976219104,0.024426803519061936,0.03577599498979682,0.04444714833179028,0.05858462726899858,0.9825,0.0175,expanding,expanding,10,1,0.02748633611151034
Alaudala cheleensis,theil_sen,-0.001009591325872556,0.010368276296910282,-0.023123495475447155,-0.008008101267391191,1.201806177956952e-4,0.006070257713264792,0.016625398590897303,0.505,0.495,stable,stable,-4,-0.4,0.4624327264504763
