species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Carpodacus waltoni,theil_sen,0.0013615185114399025,0.006009943971436006,-0.011008022400189723,-0.002600421604067905,0.001696269386708971,0.005831939169637626,0.011732929374249676,0.5925,0.4075,stable,stable,4,0.4,0.4624327264504763
Delichon urbicum,theil_sen,0.040426732593299285,0.011285082093776953,0.01830258942061103,0.03356759398215914,0.041295013679101863,0.048986868591362795,0.058878601891561064,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Apus salimalii,theil_sen,-0.0021054664544600484,0.0064286279832081236,-0.01498280127497286,-0.005908810158535581,-0.0023649234170605438,0.002432076711885136,0.009962147211490425,0.3625,0.6375,stable,stable,-4,-0.4,0.4624327264504763
Emberiza rutila,theil_sen,0.03459920941588021,0.016017905691102896,3.7170132567061715e-4,0.024247568033275116,0.03435449379908321,0.04520466746761334,0.06573981916902075,0.975,0.025,expanding,expanding,10,1,0.02748633611151034
Limnodromus semipalmatus,theil_sen,0.033115745300805126,0.010375954858664906,0.01159500998808962,0.026002231558362177,0.033823682748622276,0.03980355918170526,0.05194260299720532,0.9975,0.0025,expanding,strong_expanding,10,1,0.02748633611151034
Rhopophilus pekinensis,theil_sen,0.006142682314326297,0.009987830489198784,-0.013777925723495225,-2.5164810728723307e-4,0.006322889146872622,0.013454289370979793,0.024294318933457446,0.745,0.255,stable,stable,8,0.8,0.08641073297370003
Petronia petronia,theil_sen,3.3462316560370174e-4,0.007395588184760082,-0.01395034233082913,-0.004512667174341548,3.866314831297568e-4,0.005045012611615624,0.014127663983197026,0.5175,0.4825,stable,stable,0,0,1
Luscinia calliope,theil_sen,0.022313331084986582,0.016560131459082205,-0.01082068859106336,0.012133976741202215,0.02284965220898858,0.032477795430766614,0.054076119863672036,0.9275,0.0725,stable,stable,4,0.4,0.4624327264504763
Otocichla mupinensis,theil_sen,-0.008344419667894015,0.016112966162688418,-0.04269123580785534,-0.0189840800618307,-0.007054092364496033,0.003020320321715572,0.020754809620963224,0.31,0.69,stable,stable,-6,-0.6,0.2206713619198468
Columba leuconota,theil_sen,0.004130396771534281,0.006189593244039249,-0.009256712142144548,3.4223897675762056e-4,0.004339039059335095,0.008604438737632062,0.01572582705857662,0.775,0.225,stable,stable,6,0.6,0.2206713619198468
Dicaeum ignipectus,theil_sen,0.014258346082525488,0.0067819681558588685,0.0014911346612104328,0.009565208910688405,0.014373248329646093,0.018821182634280616,0.02692440330357372,0.985,0.015,expanding,expanding,10,1,0.02748633611151034
Monticola rufiventris,theil_sen,0.015467028102250428,0.00873270489757104,-0.0028304343233213937,0.010078052557916318,0.015778268760149945,0.02179724871931868,0.03190745080640524,0.9525,0.0475,expanding,expanding,10,1,0.02748633611151034
Hydroprogne caspia,theil_sen,0.033762113339544424,0.011136249406294265,0.0128821648232355,0.026058065327649944,0.03390675954501548,0.04102257483066778,0.054542706900017404,0.9975,0.0025,expanding,strong_expanding,10,1,0.02748633611151034
Coracias garrulus,theil_sen,0.005369234626731812,0.0037486252265472907,-0.0023958498093269286,0.002942266967125735,0.005440487434653487,0.007949785888850924,0.01216593914941271,0.9175,0.0825,stable,stable,10,1,0.02748633611151034
Larus vegae,theil_sen,0.06323101414074662,0.01569086909235943,0.02887844736601783,0.05501042754069112,0.06444237520032603,0.07252464479306983,0.09027671792180286,0.995,0.005,expanding,strong_expanding,8,0.8,0.08641073297370003
Cyanistes cyanus,theil_sen,0.009037245700192462,0.0056098590604342705,-0.0029680112552341086,0.005658989318759536,0.00915400987207278,0.012968789475052592,0.01908749379853869,0.9375,0.0625,stable,stable,10,1,0.02748633611151034
Carpodacus pulcherrimus,theil_sen,-0.007520743643557205,0.0075705134178954735,-0.022520715726302994,-0.012915331926667587,-0.007258783301494579,-0.002357632661665757,0.006525274803292156,0.1575,0.8425,stable,stable,-6,-0.6,0.2206713619198468
Seicercus castaniceps,theil_sen,-0.0031589627764709288,0.011135135179061641,-0.024938026484173,-0.009273048529477865,-0.002432263891799291,0.004236633992699263,0.01736860067563399,0.395,0.605,stable,stable,-2,-0.2,0.8064959405073402
Cinclus cinclus,theil_sen,-0.0015675178952344615,0.005092094131497997,-0.01149890251902418,-0.004943236630558434,-0.0014526483127783422,0.001923266573035761,0.007698772702670201,0.3925,0.6075,stable,stable,-4,-0.4,0.4624327264504763
Ithaginis cruentus,theil_sen,-0.012692046047827612,0.007948620513674226,-0.02914114082293417,-0.01771848205620808,-0.012259058648856312,-0.00713864409289896,0.0012753048671306905,0.04,0.96,contracting,contracting,-10,-1,0.02748633611151034
Poecile weigoldicus,theil_sen,-0.013777922697045378,0.00914446042844549,-0.03312689949105187,-0.019497841058885627,-0.01367484625876973,-0.008151572139998849,0.0036582965295963686,0.065,0.935,stable,stable,-10,-1,0.02748633611151034
