term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,0.021139118494116937,0.034076067536009065,-0.03704271349999999,0.10927680524999983
delta_t_mean,-3.691892867753e-4,1.2120923758431526e-4,-6.098328705e-4,-1.3321710425000003e-4
delta_t_extreme,9.491898734683362e-5,1.2437431745102913e-4,-1.4940426850000002e-4,3.3929373074999996e-4
delta_forest,-1.1812910902257276e-4,7.32274253093674e-5,-2.6093063875e-4,2.8174190324999997e-5
delta_impervious,1.7771348426009638e-4,1.0646098615979654e-4,-2.9836058325e-5,3.814518175e-4
delta_natural,4.232612035727169e-5,4.732820491400821e-5,-5.109997477499999e-5,1.3563712124999992e-4
delta_hfi,-1.776248486502635e-4,1.1039126893502446e-4,-3.9122218049999997e-4,4.037319139999998e-5
bio11,2.543520193138125e-4,6.438259558503787e-5,1.29194998e-4,3.7892339624999997e-4
elev_mean,2.332950079512625e-4,5.3541565158175177e-5,1.2869307675e-4,3.389230684999998e-4
centroid_lon,0.0027207162900141873,0.014265103715630525,-0.023964738774999998,0.035334378524999974
centroid_lat,-0.016370741255083657,0.0157661356951847,-0.061441900924999994,0.005031384892499998
