period_raw,n_total,n_breeding,pct_retained
P1,34272,24235,70.71370214752568
P2,69773,42318,60.650968139538215
P3,207845,126235,60.73516322259376
P4,1004192,471394,46.942616551416464
P5,6173119,2485453,40.26251559381895
