grid_cell,period,expanding_richness,contracting_richness,net_trend_index,turnover_balance
56,P1,99.9119759896214,4.682758468013686,95.22921752160771,0.9104590017404675
57,P1,102.89130731304554,5.424570036603255,97.46673727644229,0.8998379523051364
128,P1,96.78843544727522,6.586623713528664,90.20181173374655,0.872568417043749
198,P1,94.67625977883905,4.631513653594349,90.0447461252447,0.9067240459933276
199,P1,102.54022173354097,6.985237336389811,95.55498439715116,0.8724454132270778
203,P1,102.8438756647646,2.783911249726673,100.05996441503792,0.9472882783773492
270,P1,95.27463522552372,3.4349429960348568,91.83969222948886,0.93040304582550315
271,P1,95.69284652362803,4.002425962047877,91.69042056158015,0.9197068053026698
272,P1,96.32657505541849,4.008311309433921,92.31826374598457,0.9201013435175814
274,P1,105.93417188808674,5.929063192627694,100.00510869545904,0.8939944265271855
276,P1,110.59795613739712,5.5234963547605815,105.07445978263654,0.9048669089781906
341,P1,90.87641421704623,2.171517404168018,88.70489681287822,0.9533247571153334
342,P1,92.31649722748124,1.8434844747851924,90.47301275269605,0.9608435676928172
343,P1,99.1414766780162,2.719802998888729,96.42167367912748,0.9465979024116778
344,P1,96.05256867866741,2.3068880596361283,93.74568061903129,0.9530927043289013
345,P1,92.99061379555793,1.836108651343108,91.15450514421482,0.961274446612425
347,P1,96.67864026052511,1.9060356930287217,94.77260456749639,0.9613320087611442
412,P1,93.50503365747143,3.4908012517176386,90.01423240575379,0.9280216257742231
413,P1,97.51078728488729,5.865809240631082,91.6449780442562,0.8865157213957394
414,P1,98.86175549034851,5.427344161626159,93.43441132872235,0.8959173263603221
415,P1,95.46017489805487,5.871110377589784,89.58906452046509,0.884120479442869
416,P1,96.2963987837667,5.708139868352261,90.58825891541444,0.8880806688843608
417,P1,100.20627802843521,2.1988369664763465,98.00744106195886,0.9570561105939756
418,P1,102.38938542233898,2.4756961698758264,99.91368925246314,0.9527832118702203
483,P1,82.09628741853436,1.9215369668369005,80.17475045169746,0.9542588258885821
484,P1,87.43024352473101,1.9667012004311433,85.46354232429987,0.9560007065906451
485,P1,89.84835764834347,2.0531220377111055,87.79523561063236,0.9553190646173534
486,P1,89.93282833976743,2.1772109827026296,87.75561735706479,0.9527258700850102
487,P1,95.28202212122841,2.259912166469536,93.022109954758875,0.9536627567830679
554,P1,78.28258941105895,1.9562060314740823,76.32638337958487,0.951240393859723
555,P1,78.08642260925176,1.8899624050418848,76.19646020420987,0.9527369884321703
556,P1,77.75089743866232,1.664818749328146,76.08607868933417,0.9580733177451365
557,P1,79.22909254621858,1.6968569706553924,77.53223557556319,0.9580639589455401
558,P1,80.14468508706813,1.8050438823584563,78.33964120470966,0.9559475325895982
559,P1,82.45966857756986,2.0020000122199164,80.45766856534993,0.9525938796700036
560,P1,84.77741772986964,1.8928017398257957,82.88461599004384,0.9563217503911451
561,P1,97.12904720540085,2.210896138276491,94.91815106712436,0.9554882746283102
563,P1,102.1553112327467,2.6080434968144535,99.54726773593224,0.9502107678100433
564,P1,103.33234348712433,2.378592660681086,100.95375082644324,0.9549981724245572
592,P1,66.8023950509557,4.509446110021229,62.292948940934465,0.8735288267248139
593,P1,59.0432795187779,5.1724874256730695,53.87079209310483,0.8389028840799343
625,P1,93.75106667884221,2.2317211334519853,91.51934554539022,0.9534974721130963
626,P1,95.37018610448202,2.1708973519135344,93.19928875256848,0.9554875284344364
627,P1,95.96619606154363,2.431280444945292,93.53491561659834,0.9505824634682587
628,P1,96.44617794840276,2.3131495241409854,94.13302842426178,0.9531558267286891
629,P1,96.99231740980628,2.4001754117736995,94.59214199803257,0.9517030845361275
630,P1,96.15033956206383,2.4046406030214897,93.74569895904234,0.9512020478519994
634,P1,102.47991356900893,3.63441964890883,98.8454939201001,0.9314999295817061
635,P1,101.90043864874131,3.117944139872722,98.7824945088686,0.9406209835444017
636,P1,101.80450207629046,2.376710662087659,99.4277914142028,0.9543735266730653
637,P1,102.94042875747924,2.6857309896089414,100.2546977678703,0.9491464804544695
640,P1,112.03229106114372,4.403082629077698,107.62920843206602,0.9243686434881518
663,P1,57.86680022176986,1.6863939429267196,56.18040627884314,0.9433651220029295
664,P1,57.4759559951985,1.5233387711006707,55.95261722409783,0.9483607803403504
665,P1,56.23864745405643,1.6233248231955186,54.61532263086091,0.9438897514444485
666,P1,58.772123441110864,1.2486262578628933,57.52349718324797,0.9583935134390951
696,P1,81.47545571341665,2.011204839861188,79.46425087355546,0.9518197320019113
698,P1,85.7854627679434,2.5031422622122315,83.28232050573116,0.9432963685096787
699,P1,87.36975791430133,2.3061719936694214,85.06358592063191,0.9485665329361822
700,P1,83.17644507110425,1.3039284786014766,81.87251659250278,0.9691306175905038
701,P1,88.72361817440749,1.3787596341758286,87.34485854023167,0.9693957103528409
702,P1,87.58115468157347,1.361922202914064,86.219232478659407,0.9693754196364756
704,P1,107.20498249946259,3.007614023087701,104.19736847637489,0.9454215921231415
705,P1,110.13940898645325,3.3898326522023665,106.74957633425088,0.9402826513544125
706,P1,94.01849385916293,2.268281713533955,91.75021214562898,0.9528848754142485
708,P1,92.36781516808566,1.990060699317242,90.37775446876842,0.957818874555553
710,P1,96.85789290814523,2.135383899066,94.72250900907923,0.9568580015140897
711,P1,97.88193435497759,2.201876374238325,95.68005798073926,0.9559993497810417
712,P1,97.93894906556054,2.1519439566023593,95.78700510895817,0.9570002046814415
716,P1,118.74369128196953,2.960374844027263,115.78331643794228,0.951351258207553
717,P1,110.81500190236873,2.2892577694826413,108.52574413288609,0.9595195127730034
735,P1,52.278750804988825,3.206982797970021,49.071768007018804,0.8844033379492344
736,P1,55.940904194884425,3.9696586334461803,51.971245561438245,0.8674805094113053
737,P1,60.73590649825949,1.436660417419611,59.29924608083988,0.9537847482035585
738,P1,60.81287844477312,5.36435148020456,55.44852696456856,0.8378792377291736
772,P1,82.93788468461325,1.3935833063826861,81.54430137823057,0.9669498624989791
773,P1,84.87188370630902,1.4319868533642766,83.43989685294474,0.96681523449463
774,P1,84.02664033632065,1.5295779646732666,82.49706237164739,0.9642439089747497
775,P1,84.08728722724982,1.430887123445256,82.65640010380456,0.9665360694540217
776,P1,85.35418150002334,1.485272374540286,83.86890912548306,0.9657926827433597
777,P1,86.2520534089174,1.5537616240646857,84.69829178485271,0.9646091406706706
778,P1,90.68127003626721,1.583925091829738,89.09734494443747,0.9656658160288787
783,P1,108.66311523389808,2.17414658937467,106.48896864452341,0.9607686701455816
784,P1,111.3728673257346,2.3727687700571076,109.0000985556775,0.9582793880890716
787,P1,112.74922297077279,2.4511298884585804,110.29809308231421,0.9574457920028469
788,P1,121.21911559258277,3.0727274166806917,118.14638817590208,0.9505562498344854
804,P1,69.75160959878544,1.7437283518258,68.00788124695964,0.9512212012192919
805,P1,62.242937536750226,10.592135537818239,51.65080199893199,0.7091473903795216
806,P1,63.426747204470786,12.726430047854178,50.700317156616606,0.6657675882468675
807,P1,58.02471272325093,2.4744174684922875,55.55029525475864,0.9181998993820247
808,P1,59.23015192316418,5.270928915650784,53.959223007513394,0.8365630824443834
809,P1,59.690391410702745,1.2878717021554755,58.40251970854727,0.9577596462604423
810,P1,64.25470668565066,1.6768150175570586,62.5778916680936,0.9491346483672777
811,P1,60.283505306462416,1.4736212073764001,58.80988409908602,0.9522768855819035
812,P1,58.55059975100574,1.477612239898347,57.07298751110739,0.9507694068874732
813,P1,52.39420785794352,1.8691667549965938,50.52504110294693,0.9311076110422792
845,P1,96.40083437611935,2.648006105299011,93.75282827082034,0.9465313053150628
846,P1,102.2873405918038,3.2847871228110166,99.00255346899279,0.9377716980055469
847,P1,98.60470027828305,2.689412380420071,95.91528789786298,0.9468989399318462
848,P1,92.71119183576874,2.0793863646773576,90.63180547109138,0.9561267289607571
849,P1,95.5724950510213,2.079671853611889,93.49282319740942,0.9574065395672605
850,P1,103.61619351032175,2.786173346228913,100.83002016409284,0.9476294855360659
851,P1,101.9465992011654,2.0814610566787204,99.86513814448668,0.9599826998308032
855,P1,105.29828283400754,2.6240163308530224,102.67426650315451,0.9513721195497399
856,P1,105.9184158238589,2.615021940452595,103.3033938834063,0.9518116813708359
857,P1,109.59266970721649,2.845226105532712,106.74744360168377,0.9493902641104015
858,P1,116.00224825285854,3.5217411546436517,112.48050709821489,0.9410705554240377
859,P1,108.62449427187428,2.387635260725818,106.23685901114847,0.9569842454013161
860,P1,108.18327497832227,2.505713788660502,105.67756118966177,0.9547251480644491
876,P1,58.416918995936435,1.0885130750512417,57.328405920885196,0.9634146652778629
877,P1,53.7722423826394,1.1591320855224365,52.61311029711696,0.9577970842075226
878,P1,55.37442877975163,1.2727131076269764,54.101715672124655,0.955065231352456
879,P1,53.75302648969843,1.229392947671529,52.5236335420269,0.9552805074694132
881,P1,57.32399868355652,1.3122271918216641,56.011771491734855,0.9552417580691298
882,P1,58.83105426508977,1.3479769011739815,57.48307736391579,0.9552011099198402
883,P1,59.483793263969275,1.0864088994613599,58.397384364507914,0.9641272817108977
884,P1,57.204513392534864,1.4084537967048054,55.79605959583006,0.9519405392954283
885,P1,52.0335836024269,1.2834208554024398,50.75016274702446,0.9518569781459665
916,P1,84.41406365323299,2.054398128649725,82.35966552458326,0.9524821400470392
917,P1,83.19886253341681,1.8977490163231496,81.30111351709367,0.9553977771438317
918,P1,80.09308831237465,1.2520649455150434,78.8410233668596,0.9692159914790349
920,P1,86.74371683894826,1.582810759195099,85.16090607975316,0.964160013933835
921,P1,89.18992575115486,1.6300673340872494,87.55985841706762,0.964103337190143
922,P1,92.0698016644941,1.7099694110853296,90.35983225340877,0.9635322331996904
923,P1,98.28077394783178,1.8131246802303662,96.46764926760142,0.9637715244369144
927,P1,92.53084587637225,1.7053352401840354,90.82551063618821,0.9638072082298244
929,P1,92.18181726900934,1.7479921876577085,90.43382508135163,0.9627808850508928
931,P1,94.93430970736206,1.9199802210741859,93.01432948628788,0.9603532229188233
947,P1,60.55803667911251,1.8029377840890894,58.75509889502342,0.942177369753804
948,P1,56.794117333321836,1.6035399271883075,55.19057740613353,0.9450820460130801
949,P1,56.4639541207671,1.2793646805687227,55.18458944019837,0.9556878715277748
950,P1,55.89966844692144,1.3385206231772904,54.56114782374415,0.9532298053127424
951,P1,57.383876739642936,1.4598984046831665,55.92397833495977,0.9503805321428657
952,P1,55.815053367807856,1.4829688797826521,54.3320844880252,0.9482366468645429
953,P1,52.54046264980603,1.7238254073002932,50.816637242505735,0.9364655662491623
955,P1,56.306512401331645,9.358884192664995,46.94762820866665,0.7149523286814166
956,P1,55.7411330354819,8.25195940133983,47.48917363414207,0.7420984332180315
985,P1,75.77340194614996,1.5396577124716877,74.23374423367827,0.9601708244565639
986,P1,77.22092344106763,1.5814443080732843,75.63947913299434,0.9598630256109144
987,P1,80.15397213452017,1.6743773367540598,78.47959479776611,0.9590758619091577
988,P1,88.24157224063767,1.798562155852335,86.44301008478533,0.9600497674085557
989,P1,88.07716365743161,1.7206902598014757,86.35647339763014,0.961676361188154
991,P1,92.95051004518463,1.7771305012563856,91.17337954392825,0.962479156220826
992,P1,95.72553839401743,1.903061178996361,93.82247721502107,0.9610142686196554
993,P1,96.08459989259242,1.9025190410206911,94.18208085157173,0.9611679767356021
994,P1,97.8799994552954,1.9298143252365827,95.95018513005883,0.9613301688052445
995,P1,100.87324711986538,2.016864640086387,98.856382479779,0.9607957537301186
996,P1,101.65609282121171,1.9861352467989923,99.66995757441272,0.9616732429662612
997,P1,109.3436506058368,2.123237167621454,107.22041343821535,0.9619037149052434
999,P1,108.9014645022108,2.1541594485232025,106.7473050536876,0.9612057566849775
1001,P1,102.63592315140555,2.156837101417352,100.4790860499882,0.9588361429508342
1002,P1,99.0911415060317,2.217487945971117,96.87365356006059,0.9562231182483483
1003,P1,99.59477386478858,2.244891509540087,97.3498823552485,0.9559132190529376
1018,P1,63.20599183466484,1.5300146099027851,61.67597722476206,0.9527306457739895
1019,P1,59.98500238941495,1.4759272314250556,58.5090751579899,0.9519718546227586
1021,P1,49.76774077351332,1.2877706052830427,48.479970168230274,0.9495541002134449
1022,P1,50.158049526843755,1.0993521644467705,49.058697362396984,0.9571046472051833
1023,P1,51.599246642616876,1.1635980283270944,50.43564861428978,0.9558932792352692
1025,P1,50.96693869465154,1.2091574668296634,49.75778122782187,0.9536509031611943
1027,P1,50.64712466957622,1.1506792031205324,49.49644546645569,0.9555703478877772
1028,P1,51.08412362435254,1.161249529606406,49.922874094746135,0.9555463207743052
1029,P1,53.3287757782883,1.2547447225407424,52.07403105574756,0.9540247785035527
1055,P1,81.98059638577588,1.560055263392849,80.42054112238303,0.9626515897926115
1057,P1,89.36264597771074,2.0506464221494696,87.31199955556127,0.9551346118641143
1058,P1,86.78754634645861,2.45045555806552,84.3370907883931,0.9450804476620339
1061,P1,96.57658367052352,2.3078103803169734,94.26877329020654,0.9533230616930223
1063,P1,98.32512256312519,2.5135520013336925,95.8115705617915,0.9501470638682986
1064,P1,100.49021402367961,2.448979293363063,98.04123473031655,0.9524189142259849
1065,P1,98.29521599935352,2.155748355145782,96.13946764420774,0.9570785931424616
1066,P1,100.00465876217457,2.3232160154125268,97.68144274676204,0.9545927046669911
1068,P1,87.62670929149321,1.7207137565237287,85.90599553496949,0.9614826326753939
1069,P1,88.54181940417922,1.7959610697304451,86.74585833444878,0.9602389817347986
1070,P1,92.05235137242568,1.8803720708283203,90.17197930159736,0.9599634291032928
1073,P1,96.95526698700738,1.986430843516392,94.96883614349099,0.959846437102405
1075,P1,98.13168834437366,1.9832515921102847,96.14843675226338,0.9603805067781389
1076,P1,96.37753101467648,1.9421790915837194,94.43535192309275,0.960492578965404
1089,P1,54.14663347546595,1.7192457736801292,52.42738770178582,0.9384509544363285
1090,P1,54.318285286123796,1.856730027225479,52.461555258898315,0.9338948101084272
1091,P1,54.61081791922318,2.381623702433297,52.229194216789885,0.916423173506281
1092,P1,55.81780298225643,2.1704590284047427,53.64734395385169,0.9251414354165088
1093,P1,57.19043194361171,2.3250513798012333,54.86538056381048,0.9218673444297957
1094,P1,57.672884417321455,2.735428669923098,54.93745574739836,0.9094353564890163
1095,P1,54.62937386481384,3.7971156644056347,50.832258200408205,0.870020749321019
1096,P1,52.01581063663037,3.9270291208022257,48.088781515828146,0.8596056568515373
1097,P1,52.45696595849987,3.12674410000947,49.330221858490404,0.8874942281931829
1098,P1,50.99322779799781,3.117578214859395,47.87564958313842,0.8847705867061515
1100,P1,56.593342389608964,1.5161576146077569,55.07718477500121,0.9478172204373558
1101,P1,60.80443295488151,1.274244671832962,59.53018828304855,0.9589474286325773
1103,P1,55.39815162567902,7.1329996445592645,48.26515198111976,0.7718577221221188
1126,P1,74.05448007646315,1.38112817418749,72.67335190227566,0.9633825932814538
1127,P1,74.42240160633698,1.462385800726843,72.96001580561013,0.9614577347925541
1128,P1,74.79834374036183,1.5060473199818027,73.29229642038003,0.9605252777971642
1129,P1,75.3843064567043,1.6359211848221857,73.74838527188211,0.9575197000861588
1130,P1,79.2891834120135,1.6325323894626766,77.65665102255082,0.959651562666621
1131,P1,87.86396348281583,1.8092144086849822,86.05474907413085,0.9596487054161497
1133,P1,95.01406565098532,1.9627929058578697,93.05127274512745,0.959520385892736
1134,P1,95.4174329244805,1.987137021879227,93.43029590260127,0.9591982794447216
1137,P1,102.97363885191524,1.9995601186275094,100.97407873328773,0.9619034165246574
1138,P1,101.77088662625275,1.9638073735958623,99.80707925265689,0.9621378866052523
1139,P1,102.70700833302908,2.0192205932832956,100.68778773974579,0.9614381112738422
1140,P1,105.55228201495629,2.0294619758860266,103.52282003907027,0.9622712571742883
1142,P1,114.90574873636238,2.368900337592342,112.53684839877005,0.9596008113211495
1143,P1,117.29715265047692,2.8602895418564627,114.43686310862046,0.9523909715508415
1144,P1,109.07738777673941,2.5449218787353103,106.5324658980041,0.9544011965602526
1145,P1,111.71123808271226,2.7999967571281816,108.91124132558407,0.9510965581491744
1161,P1,59.844864083292514,1.8857903218984196,57.959073761394095,0.9389026298175824
1162,P1,62.77849533682238,1.602930569419473,61.17556476740291,0.9502051858325161
1163,P1,60.8433944942708,1.6916984415669882,59.151696052703805,0.9458960285450377
1164,P1,52.1943335632215,1.1558948166649026,51.038438746556594,0.9566676712821462
1165,P1,52.89465491647621,1.1778309153682394,51.71682400110797,0.9564351112308364
1166,P1,53.18125254269778,1.2280834760940667,51.953169066603714,0.9548576194471512
1167,P1,54.26840664833587,1.251086607387501,53.01732004094837,0.9549316272889963
1168,P1,53.25159043483712,1.2014899845184495,52.050100450318666,0.955870633019638
1169,P1,53.12257846237005,1.1218767402777539,52.000701722092295,0.9586362611224827
1170,P1,52.75735751130847,1.0896944784711131,51.66766303283735,0.9595263087502749
1171,P1,53.732400932933395,1.1297710634027027,52.602629869530695,0.9588142057708487
1172,P1,53.616146712679935,1.1645593751616088,52.451587337518326,0.9574828636456703
1173,P1,52.687881438284165,1.1861969419837153,51.50168449630045,0.9559640933953062
1175,P1,52.948411770165166,1.279304392655487,51.669107377509675,0.9528173235688432
1196,P1,66.43980779110487,2.815516508888911,63.62429128221596,0.9186916951917541
1197,P1,71.32334128390232,3.8681135298809237,67.4552277540214,0.8971129488195014
1198,P1,77.8227518486925,4.348338720289144,73.47441312840336,0.8941637821725448
1199,P1,81.23450125812685,4.538151261673883,76.69634999645297,0.8941818603400133
1200,P1,85.80774359175375,4.390234171878538,81.41750941987522,0.9026533791393122
1201,P1,88.09035422351369,2.3071087610536356,85.78324546246004,0.9489563382669819
1202,P1,89.61828667049306,2.228301950734033,87.38998471975903,0.9514777416519302
1203,P1,90.1470878293486,2.377896567130746,87.76919126221786,0.9485999034176281
1204,P1,91.49570579403726,2.3414013696089304,89.15430442442833,0.950096471633004
1205,P1,94.67232508553322,2.418083023470827,92.25424206206239,0.9501890439937994
1206,P1,97.49573221528951,2.5238434772891676,94.97188873800035,0.9495330097170882
1207,P1,97.90385603786548,2.476014451434276,95.4278415864312,0.95066711205414
1208,P1,99.09077791010132,2.6761959983380508,96.41458191176328,0.9474054126686356
1209,P1,98.51733407575603,2.511426183897762,96.00590789185826,0.9502829456197788
1210,P1,99.54755397934022,2.384039520578343,97.16351445876188,0.9532227557969013
1211,P1,96.92081092229584,2.3266701525064453,94.59414076978939,0.9531137691897117
1212,P1,100.8070928773683,2.371443333605599,98.43564954376271,0.9540322353719654
1213,P1,93.86366566325265,1.8263106375316527,92.037355025721,0.961828590451502
1214,P1,96.71449671968924,1.9004265028313199,94.81407021685791,0.9614576285063248
1215,P1,98.60873744289334,2.1082738352333856,96.50046360765995,0.958134702202164
1216,P1,99.89108826495993,2.112517756558579,97.77857050840136,0.9585795475482911
1234,P1,55.8931611374407,2.1377230264055203,53.75543811103518,0.9263246439475297
1235,P1,56.430670334785496,2.348174224933471,54.08249610985202,0.9201013819675294
1236,P1,55.775543201580355,2.2542680897977916,53.521275111782565,0.9223065510766973
1237,P1,56.33630890334649,2.1157603408024057,54.22054856254409,0.9276069994386318
1238,P1,55.6049731696502,2.7232172933837475,52.88175587626645,0.9066243176150094
1239,P1,56.336678335557636,3.7654761572500792,52.57120217830756,0.8746974650401033
1240,P1,56.241778366134554,4.397816970671968,51.843961395462586,0.8549522982056373
