species,trend_class,trend_slope,bio4,bio7,bio11,bio13,elev_mean,hfi_mean,landcover_built,landcover_cropland,centroid_lat,centroid_lon
Passer montanus,expanding,0.024649780933687377,301.35650183164694,33.10705327257542,21.476063637505543,13.117838352302988,802.4484914062155,4.281887065869531,0.010420927111331123,0.04993347981107143,36.22264810375842,106.64019303489331
Pycnonotus sinensis,expanding,0.023403881658696665,203.54482993684,17.646374387663954,12.027820269124865,7.703278462077715,407.36120458851394,2.3654884724599787,0.005095963107649405,0.02209955905765389,32.75814018474463,113.96761719838669
Hirundo rustica,expanding,0.02808584325457155,316.1068979052431,35.477317335479775,22.47520540772925,14.014593024531719,876.8580734399511,4.541626607694436,0.011149860287996506,0.05396753502986205,36.41754736473127,108.15376206032599
Spilopelia chinensis,expanding,0.04647803998092174,197.81456120813945,15.735918682826336,12.61027138984566,6.942138359664858,339.2605773749572,2.3114754027301316,0.005765601240523388,0.017824168852288696,32.628037438844146,111.95169439437593
Pica serica,expanding,0.07240228103077098,309.1676771206588,33.14297638699182,21.267258891429087,13.021936801123946,751.9351785810163,4.324764726173696,0.010446265987236237,0.0535578750314398,36.354345221431316,112.61009909130814
Motacilla alba,stable,0.007769086339453237,293.9590765454046,31.86558059713575,21.127506192819528,12.679155735413001,771.5440780374881,4.12795044533209,0.009967150023805646,0.0475837423990849,35.97877296584683,106.07539474000649
Turdus mandarinus,expanding,0.02657332050939326,112.7893375071729,9.218314393456579,6.314321419051157,4.062047411512631,165.47796619191206,1.234531197172451,0.0028642586250806116,0.009907315940130296,30.97866859606394,111.90982959308786
Egretta garzetta,expanding,0.03900389662188837,198.37066774119964,18.667047984514564,13.126453146436774,7.913596942576006,460.66402206873806,2.415213582989951,0.005738667050736554,0.02373928286750081,32.979998575966285,111.89256149855949
Parus minor,stable,0.013545737077107064,191.9251607501084,19.635385994658137,12.311568810705815,8.069405429948313,478.80500258484227,2.5147921288879655,0.006390910410919063,0.028609630912367297,33.46310431707135,111.47162004269549
Cyanopica cyanus,expanding,0.021104255006697846,337.6932869271375,39.47721072378632,20.361631815693947,15.08484952557263,850.0045637420421,4.910326462986262,0.011375797991381444,0.060615681408444984,38.50673249589629,114.39110398964439
Streptopelia orientalis,expanding,0.026149204550609716,268.6279705843138,32.43506838545919,17.75429407337199,12.562497478579076,812.2398389150302,3.9670952948870863,0.009695317588993033,0.05001956435478129,35.91411177433006,108.13200490092248
Tachybaptus ruficollis,expanding,0.060138664135947616,311.1415646116647,32.644563268124045,22.358499306073774,13.036056842455004,800.063891203789,4.244472251750067,0.01043746286117492,0.04949311713267331,35.706643207231856,111.07554324182986
Nycticorax nycticorax,expanding,0.057737688793568526,263.1530388618381,23.46063389452947,17.945368890125135,10.257092816348381,573.187239220267,3.329750212094624,0.008038113677004681,0.03632499489553323,34.06697889267815,111.22211909159849
Gallinula chloropus,expanding,0.06701135531935565,336.73368331022283,35.40665845190542,23.924369119767857,14.22629897196557,886.8338149716773,4.779923629877856,0.011645984879302938,0.05988434268616014,36.20558866257079,109.69134257520292
Sinosuthora webbiana,expanding,0.02757728169779591,238.81025330114394,22.644791478902867,13.654132026821811,9.494237808104385,516.5991171666797,2.871475316787165,0.0060766516572174295,0.021881922863579345,34.51896409319883,114.78768141272015
Chloris sinica,stable,0.010005980529412959,317.91776461987564,29.636073048945978,22.206997702267188,11.808755539139376,571.2584058971408,4.534033057889123,0.011422967331827134,0.05780289934215151,35.76645234356053,113.45357896988057
Cecropis daurica,stable,3.712558708972645e-5,214.4472341589042,26.576115807790035,13.299116136917736,10.43537184484592,700.5599532674936,3.1475830777855083,0.008025047776648237,0.042014680189607675,34.35346010406345,113.83993848921652
Acridotheres cristatellus,expanding,0.017766350543320805,104.86907585666907,7.802271688007276,5.593160068265017,3.506887660861129,129.7421137183911,1.0684778737046543,0.0027364595348899614,0.008826789429195925,30.087068473826708,112.46419288088842
Ardeola bacchus,expanding,0.015008084262640786,189.35889634296998,15.781498144034769,11.942813488413309,6.988790165893182,366.0893337631747,2.2441717038791893,0.004893831939790519,0.02629186534864748,32.33070130944016,111.85415851907628
Copsychus saularis,expanding,0.011614287937353708,10.816056165757841,0.6120655166135642,0.9230707507011339,0.2988307976274591,7.417449537490458,0.1329302614825659,3.658803524145145e-4,0.0021513598810679615,27.84574785100219,110.59260669470925
Ardea cinerea,expanding,0.06179062578285373,334.8567007008255,36.62918690878478,23.81124936650767,14.495477102884129,882.796222499636,4.776817811610837,0.011671339027746133,0.05743628665406348,36.71906915481001,108.89416952351644
Anas platyrhynchos,expanding,0.049516796163440055,339.10742321487027,37.39367507517995,24.180270833610383,14.816533511652665,910.7127275094393,4.817707955002098,0.011675081266392924,0.05646070280953054,37.349841338294056,106.84388927282647
Lanius schach,expanding,0.027306458933473807,63.880272947257644,5.210180993878734,3.8225691375781112,2.3273092593145086,94.30211204252329,0.6471891568752911,0.0016081608439234086,0.005025721835008073,30.099272385552133,110.53263210998495
Spodiopsar cineraceus,expanding,0.06203637188879589,306.77168754412907,34.09832593366224,21.15448264536342,13.283018709198503,788.596879534355,4.321668505879815,0.010415501403118697,0.05420343135328158,36.55194648414985,113.7051811241499
Alcedo atthis,expanding,0.0169518114956602,258.6609738425156,31.606208466444084,17.079207131087763,12.253220293585699,752.9499710463602,3.93447834326679,0.009785783773423548,0.05596545928150778,35.47167656116362,112.8260281311352
Anas zonorhyncha,expanding,0.04070647907524625,320.42297795596403,35.807568076934636,21.390283142334514,14.020297665160884,829.0902413748852,4.530661538807092,0.01043453377389607,0.058545908856584415,37.048604917513245,113.2045763179819
Phasianus colchicus,expanding,0.05019119213854378,357.2274211143534,37.821232480689716,25.483791186934383,14.980277386721538,894.2979502321338,4.96293549537032,0.011839752269546536,0.058104080669737886,37.35697437795952,109.22154181682112
Zosterops simplex,expanding,0.010580368769845076,106.16093182968149,7.195881767425749,5.803397732215661,3.4644205089089977,137.09552451204254,1.022610802256765,0.002426646784848169,0.007831971150111416,30.364913647969065,111.97099100438912
Cuculus canorus,expanding,0.036940609138891134,315.5513541567699,34.74446651181982,22.43813642641972,13.734907347368218,838.838099248325,4.488637849335863,0.01091334136326317,0.05235463190711963,36.886588294734175,105.76580467355865
Corvus macrorhynchos,stable,0.025641674868501812,231.30710439454535,25.203140605275273,14.932674770248779,10.097372893989855,570.3501254129312,3.2204322558324514,0.0065922045552422185,0.03899199519596432,34.964263644901756,108.10914693995464
Upupa epops,expanding,0.03677770402507617,317.474827257194,34.968438047708986,22.399647183263063,13.795053017182845,838.5229414267363,4.467027212150558,0.010622511898920032,0.05198711811940346,36.883202903134766,105.61838203041145
Dendrocopos major,stable,0.012038769442754655,337.77529436666697,36.07442435841419,22.20619565203594,14.046364627701289,728.0310527621298,4.8354221408017555,0.011571656679115217,0.06158621553603606,37.51247831172067,111.44679570852206
Spodiopsar sericeus,expanding,0.03929800093626824,101.63213655114077,7.60156575882493,5.881960948603352,3.318839116900022,110.48537581185678,1.0257625055380166,0.0025789130322444206,0.006361789213217588,30.240032033173936,112.74546966153133
Dicrurus macrocercus,stable,-0.005465815896865404,110.2828348063993,6.937188588552502,6.28755739247409,3.24176864972898,101.17680430977245,1.204463466417596,0.003698823464566295,0.007567602318865158,30.70238747701554,110.98406525575601
Spizixos semitorques,expanding,0.029024289626778933,48.07579319367698,4.952573272463175,2.4264508547046124,1.9681746047289688,75.45633628716764,0.5956077079526477,8.979805140676931e-4,0.004276047025447902,30.23729493292346,111.9821315667837
Phoenicurus auroreus,stable,0.004910492884146818,222.10684457951413,22.929254290812974,14.815729998778092,9.041572107482814,490.0209734095192,3.030814529198137,0.0073953887578198565,0.03670218816023228,34.18427005999453,112.42611278313353
Ardea alba,expanding,0.028876815638627942,356.43098521153365,38.660700943745105,25.64851510893071,15.460909175336365,965.4225090662467,5.132786552385186,0.012773043176661518,0.06106209012127475,36.96050007376382,108.48252655054971
