grid_cell,naive_trend,corrected_trend,trend_diff,direction_flipped
56,1.1999999999999995,6.3237316305616895,5.12373163056169,FALSE
57,3.6,6.923324863043888,3.323324863043888,FALSE
128,4.499999999999999,6.890694474303468,2.3906944743034693,FALSE
198,5.6,7.2715702618992335,1.6715702618992339,FALSE
199,15.6,7.513408492576898,-8.086591507423101,FALSE
203,7.6,5.001732282092422,-2.5982677179075777,FALSE
270,18.099999999999998,7.20239275520596,-10.897607244794038,FALSE
271,16.4,7.367041367530824,-9.032958632469175,FALSE
272,3.099999999999999,7.352800586890219,4.252800586890221,FALSE
274,0.19999999999999996,7.476927162322611,7.276927162322611,FALSE
276,2.8,6.733477100009565,3.933477100009565,FALSE
341,8.199999999999998,6.716338154671118,-1.4836618453288795,FALSE
342,3.8,5.956031469894673,2.156031469894673,FALSE
343,10.4,5.785029552489146,-4.614970447510855,FALSE
344,1.4,6.513138749249102,5.113138749249103,FALSE
345,0.19999999999999996,6.9385310906833535,6.738531090683353,FALSE
347,6,6.744661299652916,0.7446612996529156,FALSE
412,3.1999999999999993,7.108420680037766,3.908420680037767,FALSE
413,11.600000000000001,7.814445313797756,-3.7855546862022456,FALSE
414,13.599999999999998,7.837631655402507,-5.7623683445974905,FALSE
415,25.09999999999999,7.9867115414267325,-17.11328845857326,FALSE
416,-7.799999999999998,7.943512026788339,15.743512026788338,TRUE
417,0.19999999999999996,5.77750074439829,5.57750074439829,FALSE
418,5.999999999999999,5.853244267594012,-0.14675573240598716,FALSE
483,-4.899999999999999,7.716151114504893,12.616151114504891,TRUE
484,13.6,7.307786105538187,-6.2922138944618125,FALSE
485,2.100000000000002,7.3060167231033795,5.206016723103378,FALSE
486,2.399999999999999,7.83999607916436,5.439996079164361,FALSE
487,11.499999999999996,7.553935359292361,-3.946064640707635,FALSE
554,17.399999999999995,7.849079957663943,-9.550920042336053,FALSE
555,16.9,7.655632835679522,-9.244367164320476,FALSE
556,20.400000000000002,7.229175186038578,-13.170824813961424,FALSE
557,21.199999999999996,6.924580764849128,-14.275419235150867,FALSE
558,17.199999999999996,6.994715947228871,-10.205284052771125,FALSE
559,47.399999999999984,7.53835875288526,-39.861641247114726,FALSE
560,6.199999999999998,7.287920136833221,1.0879201368332225,FALSE
561,2.2,5.450010485036013,3.2500104850360128,FALSE
563,6.699999999999999,6.101664824314369,-0.5983351756856301,FALSE
564,1.599999999999999,5.671848615194173,4.071848615194174,FALSE
592,32.9,5.342872153257795,-27.557127846742205,FALSE
593,16.7,4.960493855897295,-11.739506144102705,FALSE
625,2.2,5.854850931709428,3.6548509317094275,FALSE
626,26.4,5.910880875620054,-20.489119124379943,FALSE
627,3.6999999999999993,6.563859464826561,2.863859464826562,FALSE
628,22.9,6.307177690195332,-16.592822309804667,FALSE
629,29.499999999999993,6.469958211284598,-23.030041788715394,FALSE
630,9.199999999999998,6.4651292782559056,-2.734870721744092,FALSE
634,0,7.5538447423908375,7.5538447423908375,TRUE
635,6.599999999999999,6.577428888074958,-0.02257111192504091,FALSE
636,9.399999999999999,5.169811715360663,-4.230188284639335,FALSE
637,2.1999999999999993,5.184075422534258,2.984075422534259,FALSE
640,7.6,7.176836343599691,-0.42316365640030895,FALSE
663,20.299999999999997,4.831607999724027,-15.46839200027597,FALSE
664,37.39999999999999,4.924725641768379,-32.475274358231616,FALSE
665,26.299999999999997,5.075308177641052,-21.224691822358945,FALSE
666,13.099999999999996,5.025315563346396,-8.0746844366536,FALSE
696,0.7999999999999998,6.929014814873205,6.129014814873205,FALSE
698,27.399999999999995,6.687629811752073,-20.712370188247924,FALSE
699,14.399999999999999,6.82192614547141,-7.578073854528588,FALSE
700,1.2999999999999998,6.523795042423847,5.2237950424238475,FALSE
701,3,6.779121634316427,3.779121634316427,FALSE
702,2.2,5.840922361378515,3.6409223613785144,FALSE
704,3,6.459270193471916,3.459270193471916,FALSE
705,5.299999999999999,6.602976402727035,1.3029764027270359,FALSE
706,3.8,8.265048901196757,4.465048901196757,FALSE
708,3.099999999999999,7.168945864943764,4.068945864943764,FALSE
710,4.999999999999999,6.997614699237257,1.9976146992372579,FALSE
711,20.399999999999995,7.115773126505147,-13.284226873494848,FALSE
712,11.499999999999996,6.564036675915652,-4.935963324084344,FALSE
716,2.399999999999999,7.331901457860249,4.931901457860249,FALSE
717,8.599999999999998,6.389859773948079,-2.2101402260519185,FALSE
735,14.5,4.614310906203867,-9.885689093796133,FALSE
736,40.6,4.886522472632055,-35.71347752736795,FALSE
737,36.99999999999999,4.92415324927837,-32.075846750721624,FALSE
