env_var,spearman_rho,n_species
bio4,0.35809345233630846,200
bio7,0.37642541063526597,200
bio11,0.3515907897697443,200
bio13,0.37519687992199807,200
elev_mean,0.3834275856896423,200
hfi_mean,0.35757443936098404,200
landcover_built,0.338681467036676,200
landcover_cropland,0.38524563114077853,200
