metric,period,pa_stratum,n_grid,mean,se,lwr,upr
corrected_richness,P1,unprotected,924,80.75870064538648,0.7941221445820597,78.53267164815846,82.98143278791832
corrected_richness,P1,partial,232,78.59137224167972,1.328743513382867,76.39525643598411,80.79484726610832
corrected_richness,P1,protected,91,64.23981232708631,1.8438517135321741,62.14060246279135,66.36100919548763
corrected_richness,P2,unprotected,924,83.90612713589474,0.8352682403498335,81.97166687352869,85.90452489667942
corrected_richness,P2,partial,232,81.74797646747321,1.3904995367013475,79.83401130299372,83.75016419788861
corrected_richness,P2,protected,91,66.44852869926981,1.9130732365533125,64.55193723215753,68.39672939505951
corrected_richness,P3,unprotected,924,88.67334474522991,0.880785675609438,86.90493728202686,90.41952988254008
corrected_richness,P3,partial,232,86.96523009347179,1.454424922869022,85.23219602565446,88.69464339510633
corrected_richness,P3,protected,91,70.4299372908085,2.0350427530648783,68.7011414224975,72.18160380498512
corrected_richness,P4,unprotected,924,92.21974667469944,0.9168902715382432,90.57327288230714,93.85255780990933
corrected_richness,P4,partial,232,90.55806708853382,1.510577443998866,88.9271383552544,92.17229115703341
corrected_richness,P4,protected,91,73.25367503377589,2.0910404448641042,71.56001891613884,74.89553550999659
corrected_richness,P5,unprotected,924,102.32247144476987,0.9799149494534748,100.87451376301031,103.79243060983612
corrected_richness,P5,partial,232,101.85647206939272,1.5982223597105685,100.4464558049941,103.29603026077604
corrected_richness,P5,protected,91,83.01175177372616,2.2865851208707038,81.4660587373585,84.58261438903784
cwm_pc1,P1,unprotected,924,-0.02348709045806442,0.004783680921470007,-0.07760689591793783,0.06267740072304573
cwm_pc1,P1,partial,232,-0.013039679677999882,0.009329425244949618,-0.055886927145789994,0.06729691883228087
cwm_pc1,P1,protected,91,-0.04341871189992223,0.013945829082989752,-0.09966517829471272,0.06352255541310861
cwm_pc1,P2,unprotected,924,-0.03517718438457428,0.004825481535924017,-0.08409365424775618,0.04916183475333097
cwm_pc1,P2,partial,232,-0.024885510289905533,0.009437404873583322,-0.06263704402848072,0.05212179165475315
cwm_pc1,P2,protected,91,-0.05611669349911561,0.014287332292360053,-0.10640009994391804,0.04044008440191485
