period,species,mean_psi_inside,mean_psi_outside,psi_diff,habitat_breadth,sp_group
P1,Actitis hypoleucos,0.7643672635562258,0.8266035426453097,-0.06223627908908391,8,generalist
P1,Tadorna ferruginea,0.7423045246664821,0.49798339853960305,0.24432112612687906,8,generalist
P1,Passer cinnamomeus,0.22989543443834,0.30564502393537946,-0.07574958949703944,5,specialist
P1,Vanellus cinereus,0.13937321689979898,0.30263204122568366,-0.16325882432588468,8,generalist
P1,Pycnonotus xanthorrhous,0.10073464319892277,0.17263851749695008,-0.07190387429802732,5,specialist
P1,Emberiza spodocephala,0.28738053663243407,0.5304036756977909,-0.24302313906535683,5,specialist
P1,Ixobrychus sinensis,0.14283845775725817,0.3779734475431327,-0.23513498978587455,2,specialist
P1,Oriolus chinensis,0.21363371091814287,0.5411502582636285,-0.32751654734548563,5,specialist
P1,Emberiza pusilla,0.30759026855076127,0.5819690217073934,-0.2743787531566321,5,specialist
P1,Chroicocephalus ridibundus,0.40634620536782123,0.4461115075447751,-0.03976530217695384,5,specialist
P1,Pycnonotus jocosus,0.016021083131719027,0.09812435378638652,-0.08210327065466749,5,specialist
P1,Streptopelia decaocto,0.5030940091182204,0.41905123156136526,0.08404277755685519,8,generalist
P1,Pomatorhinus ruficollis,0.0810641815878064,0.24466171703690692,-0.16359753544910052,5,specialist
P1,Bambusicola thoracicus,0.035082507681687504,0.15133304846068837,-0.11625054077900088,5,specialist
P1,Pardaliparus venustulus,0.2637625663520364,0.44933481546897236,-0.18557224911693598,5,specialist
P1,Ficedula albicilla,0.5185504494593405,0.7231622743499141,-0.2046118248905736,5,specialist
P1,Picoides canicapillus,0.055570306284551715,0.11438678822810534,-0.05881648194355363,2,specialist
P1,Hemixos castanonotus,0.010522647449203705,0.1360188104280451,-0.1254961629788414,2,specialist
P1,Tringa glareola,0.5576618479222568,0.6512602554648391,-0.09359840754258231,8,generalist
P1,Abroscopus albogularis,0.058623646248629334,0.2173906693675802,-0.15876702311895086,2,specialist
P1,Saxicola stejnegeri,0.15831313922032497,0.42126252555513255,-0.2629493863348076,5,specialist
P1,Garrulus glandarius,0.2808377777755785,0.4507910602430718,-0.1699532824674933,2,specialist
P1,Chlidonias hybrida,0.2542337840137823,0.3552583775695037,-0.10102459355572135,8,generalist
P1,Corvus corone,0.6849114969076686,0.5718520383394801,0.11305945856818855,8,generalist
