env_var,spearman_rho,n_species
bio4,0.3714407860196506,200
bio7,0.39915997899947503,200
bio11,0.36620865521638046,200
bio13,0.3955268881722043,200
elev_mean,0.4039465986649667,200
hfi_mean,0.37838745968649223,200
landcover_built,0.36297607440186014,200
landcover_cropland,0.40687167179179484,200
centroid_lat,0.35229130728268215,200
centroid_lon,0.15555238880972025,200
