mean,sd,q025,median,q975,species
5.307502508398952,NA,5.307502508398952,5.307502508398952,5.307502508398952,Passer montanus
5.12841904322859,NA,5.12841904322859,5.12841904322859,5.12841904322859,Pycnonotus sinensis
5.231825866449217,NA,5.231825866449217,5.231825866449217,5.231825866449217,Hirundo rustica
5.397718686563806,NA,5.397718686563806,5.397718686563806,5.397718686563806,Spilopelia chinensis
5.5889768062353,NA,5.5889768062353,5.5889768062353,5.5889768062353,Pica serica
5.632155999397409,NA,5.632155999397409,5.632155999397409,5.632155999397409,Motacilla alba
5.6560384355157884,NA,5.6560384355157884,5.6560384355157884,5.6560384355157884,Turdus mandarinus
5.710034144908774,NA,5.710034144908774,5.710034144908774,5.710034144908774,Egretta garzetta
5.946171393995078,NA,5.946171393995078,5.946171393995078,5.946171393995078,Parus minor
6.127110641313649,NA,6.127110641313649,6.127110641313649,6.127110641313649,Cyanopica cyanus
6.089791086390057,NA,6.089791086390057,6.089791086390057,6.089791086390057,Streptopelia orientalis
5.825477191694306,NA,5.825477191694306,5.825477191694306,5.825477191694306,Tachybaptus ruficollis
5.990308756392907,NA,5.990308756392907,5.990308756392907,5.990308756392907,Nycticorax nycticorax
6.061283074017294,NA,6.061283074017294,6.061283074017294,6.061283074017294,Gallinula chloropus
5.933627496664957,NA,5.933627496664957,5.933627496664957,5.933627496664957,Sinosuthora webbiana
5.853443723496107,NA,5.853443723496107,5.853443723496107,5.853443723496107,Chloris sinica
5.839358040708685,NA,5.839358040708685,5.839358040708685,5.839358040708685,Cecropis daurica
5.859462023309382,NA,5.859462023309382,5.859462023309382,5.859462023309382,Acridotheres cristatellus
5.754788037964805,NA,5.754788037964805,5.754788037964805,5.754788037964805,Ardeola bacchus
5.804000280597759,NA,5.804000280597759,5.804000280597759,5.804000280597759,Copsychus saularis
5.60594839782392,NA,5.60594839782392,5.60594839782392,5.60594839782392,Ardea cinerea
5.367639243950015,NA,5.367639243950015,5.367639243950015,5.367639243950015,Anas platyrhynchos
5.409340820655835,NA,5.409340820655835,5.409340820655835,5.409340820655835,Lanius schach
5.882812863465644,NA,5.882812863465644,5.882812863465644,5.882812863465644,Spodiopsar cineraceus
5.736192662610813,NA,5.736192662610813,5.736192662610813,5.736192662610813,Alcedo atthis
5.681367500181158,NA,5.681367500181158,5.681367500181158,5.681367500181158,Anas zonorhyncha
5.351287005615214,NA,5.351287005615214,5.351287005615214,5.351287005615214,Phasianus colchicus
5.320240767798101,NA,5.320240767798101,5.320240767798101,5.320240767798101,Zosterops simplex
5.451699610135251,NA,5.451699610135251,5.451699610135251,5.451699610135251,Cuculus canorus
5.40439388721925,NA,5.40439388721925,5.40439388721925,5.40439388721925,Corvus macrorhynchos
5.5333032490111105,NA,5.5333032490111105,5.5333032490111105,5.5333032490111105,Upupa epops
5.509872186137444,NA,5.509872186137444,5.509872186137444,5.509872186137444,Dendrocopos major
5.489119405179657,NA,5.489119405179657,5.489119405179657,5.489119405179657,Spodiopsar sericeus
5.321430837579943,NA,5.321430837579943,5.321430837579943,5.321430837579943,Dicrurus macrocercus
5.196674274003793,NA,5.196674274003793,5.196674274003793,5.196674274003793,Spizixos semitorques
5.378992131233306,NA,5.378992131233306,5.378992131233306,5.378992131233306,Phoenicurus auroreus
5.349244166215818,NA,5.349244166215818,5.349244166215818,5.349244166215818,Ardea alba
