grid_cell,period,corrected_richness_mean,shannon_mean,inv_simpson_mean,trait_volume_mean,trait_dispersion_mean,rao_q_mean,feve_mean,fdiv_mean,pd_prob_mean,mpd_prob_mean,corrected_richness_sd,shannon_sd,inv_simpson_sd,trait_volume_sd,trait_dispersion_sd,rao_q_sd,feve_sd,fdiv_sd,pd_prob_sd,mpd_prob_sd,corrected_richness_q025,shannon_q025,inv_simpson_q025,trait_volume_q025,trait_dispersion_q025,rao_q_q025,feve_q025,fdiv_q025,pd_prob_q025,mpd_prob_q025,corrected_richness_q975,shannon_q975,inv_simpson_q975,trait_volume_q975,trait_dispersion_q975,rao_q_q975,feve_q975,fdiv_q975,pd_prob_q975,mpd_prob_q975
56,P1,91.10562192776622,4.74363387155258,106.99897649343693,1.334113482802044,1.2041638557048442,1.6264399846337938,0.16649247644043574,0.7106115803555932,NA,NA,2.040033065971879,0.016455179546952456,2.0203560747542233,0.013031506260251038,0.013577487308536628,0.018232508678615138,0.0027359357147006547,0.0032430946491033056,NA,NA,86.87307224080125,4.712354352366595,102.96592271405807,1.307799561549764,1.1781407526716117,1.5918772363948857,0.16055628708440634,0.7047296544854024,NA,NA,95.23129410228717,4.772704836145763,110.80290220095891,1.3599188963890443,1.2280709220356392,1.6597361839404638,0.17154095256214671,0.7168112562869274,NA,NA
57,P1,93.26625400296314,4.784385887182543,110.79428142749694,1.344646887017629,1.2170880307602892,1.6433308645300018,0.16827280233348876,0.7053084563020152,NA,NA,1.8288732601689575,0.015319308369333515,1.9639252076435143,0.011767512724667863,0.012136805344317433,0.01645678256617634,0.00239682821544479,0.0031010436951563482,NA,NA,89.81053597209723,4.753079914523902,106.75579444794093,1.3207948563068364,1.1928257543634877,1.6110496496124815,0.16365201213192448,0.6993242134258097,NA,NA,96.7517746322461,4.8116081683123095,114.52789968463378,1.3666136701628429,1.2395370317943424,1.674834202372615,0.1730531600003434,0.7117084059849268,NA,NA
128,P1,91.41876204076715,4.759530840393239,108.84387793189858,1.3468451368508882,1.2123229611371082,1.640277458891866,0.168190406004338,0.7134987713704277,NA,NA,1.8110272197782644,0.014359494878721187,1.8225770093030946,0.012561436525064943,0.01349979672639937,0.017733532111496437,0.002561275626276888,0.0035837477210977305,NA,NA,87.65976441619212,4.730943007168735,105.1207594481392,1.3232681571439737,1.187827261538161,1.6072398641350851,0.16259733054093822,0.7062716318576826,NA,NA,94.71831065136942,4.788810908184268,112.44036369051318,1.3691943206112889,1.2378123711833724,1.6736863999442961,0.1726414317272993,0.7202039890593958,NA,NA
198,P1,86.1429200323057,4.731168394919811,104.36688540453669,1.3357575645969226,1.2059145121305512,1.627680703117322,0.16245555156072086,0.7086947073898241,NA,NA,1.5730603785566764,0.01429287445365848,1.689489535256383,0.011431769706358305,0.011873257606333551,0.015869017787264367,0.002922069260596259,0.002908475687479927,NA,NA,83.31887220474908,4.704643067938619,101.3996360667745,1.3145690593087385,1.1842947465464408,1.597245645398139,0.15640312467154444,0.7031481163312361,NA,NA,89.07670090533969,4.7573708210439545,107.55870012366643,1.3566889164746823,1.2278117618330784,1.6559913300137932,0.1677125501920812,0.7144192547801991,NA,NA
199,P1,94.98446808873122,4.808421355469327,113.70700478435411,1.3596967526416197,1.231868354921878,1.6631911565130613,0.16940002220188832,0.7038561521745935,NA,NA,1.6882250976248367,0.01372442033973257,1.8097135430099862,0.010562540162905101,0.011371563489813158,0.015178005624650683,0.002198978859009888,0.003174719057358822,NA,NA,91.62076522004962,4.781576923069537,109.93509261406982,1.339266213329263,1.208373374570521,1.6315822269523208,0.16525839237859416,0.6979158403153674,NA,NA,98.5160797113907,4.833025509340546,117.29483238535549,1.379549768869883,1.2533221943747435,1.6921585264178944,0.17427628766126546,0.7097819143867472,NA,NA
203,P1,91.22465774498897,4.671644413516386,101.732677253938,1.3245866223482619,1.1927198941947397,1.6060145735267912,0.16428683893095655,0.7180906967694916,NA,NA,1.5669555328579563,0.014764623684896078,1.6555327967415367,0.010381338179264012,0.011546820147157615,0.014786624383258881,0.0013385640651788135,0.0035024784695101806,NA,NA,88.2748230104151,4.639465009304005,98.3733571888382,1.3033393733132326,1.1700431208994455,1.576233036802278,0.1611599795297525,0.7108434660139291,NA,NA,94.46127099161345,4.7010779380396865,105.05309175505462,1.3441903361815248,1.2156986854116438,1.6347278091384536,0.1664346976275235,0.7245523122453933,NA,NA
270,P1,86.11329985973047,4.7192233022774674,103.5501833458441,1.3229810596188212,1.1929387754960155,1.6094672793640539,0.16263653814478063,0.7107556191039355,NA,NA,1.5013737542712082,0.013271451767288242,1.542030780864105,0.010129423770663896,0.01085913494422502,0.01440530078013449,0.002443215234408787,0.002821394692900746,NA,NA,83.25461841546364,4.69419397671405,100.74899647246158,1.3024200483717807,1.171045176992042,1.5799807083164477,0.1576861415884408,0.7054896208106577,NA,NA,88.98052886668042,4.745626391261661,106.43186284076468,1.3430191367674764,1.2129726853862386,1.6344282167603588,0.16713504005268523,0.7162063165143684,NA,NA
271,P1,86.85979395265207,4.7378993380111805,105.01452411830992,1.3292432690242275,1.2006733745584823,1.620073366194973,0.16364647134994192,0.7082696902982335,NA,NA,1.5307555074328174,0.013930417615003646,1.6465370163014392,0.010734819382081921,0.01121336028651574,0.015117287823417185,0.00254693008883346,0.002873510634274605,NA,NA,84.17229174956148,4.71123616445701,102.00879267122232,1.3095400910548791,1.180065549343191,1.5896667002469864,0.15867369013871085,0.7029445630447989,NA,NA,89.82936513930004,4.76577509252777,108.25342903840199,1.349618710869767,1.2230471888791457,1.6486176282441154,0.16867309468941144,0.7138838964703718,NA,NA
272,P1,87.68469525270838,4.74433537620524,105.77444776554002,1.3282499303033144,1.2002643410580116,1.6191545978117428,0.16472500171697513,0.7077253931827238,NA,NA,1.5253841227679839,0.013675510300300472,1.6373676061914404,0.010590200653827958,0.011048003600934508,0.014997136399236555,0.0024027098436095445,0.002901370544537302,NA,NA,84.92570999646304,4.718071673357446,102.65791415661228,1.3084932411130235,1.1789743649570785,1.590186651144572,0.1601270147252734,0.7023880047753414,NA,NA,90.6077890759076,4.770438809818397,109.06846135505155,1.348600354502902,1.222818663368986,1.6475389832203884,0.16951941744142393,0.7133638682826315,NA,NA
274,P1,98.17952548628804,4.836020635195124,116.93029995275396,1.352182368248667,1.2265739760581131,1.6551947713287638,0.17298337206747602,0.7024649156320292,NA,NA,1.6426828724165554,0.013277036828059278,1.798588874718365,0.010274094691562609,0.010715683416028377,0.014566794012000138,0.0028822083012416564,0.0030389347251317893,NA,NA,94.97451519033395,4.809596511050565,113.27459583160507,1.3317975819392158,1.2052784401094134,1.6268671174026863,0.168135741113448,0.6965927645642715,NA,NA,101.26482284480171,4.860415400074618,120.14166868671656,1.3726070838363378,1.2467870691334784,1.683967119351423,0.17972039157627434,0.7083679791927693,NA,NA
