species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative
Pica pica,theil_sen,0.03806541626601503,0.009476055269659623,0.02082740145396152,0.03163820628607061,0.03828606851390591,0.04498056108362402,0.053523264391865825,1,0
Staphida torqueola,theil_sen,0.01622738433077796,0.009948165099156116,-0.004653151086415103,0.010249895979529609,0.017164832966926648,0.02298078620425982,0.03489748726495379,0.9425,0.0575
Mycerobas carnipes,theil_sen,-0.006095949546180741,0.007163474268294121,-0.020538601923560884,-0.010980887260675129,-0.005717213665508443,-9.050514939402092e-4,0.006961742822256362,0.2025,0.7975
Prunella fulvescens,theil_sen,0.004056715501810869,0.003637597264266925,-0.004184835753675404,0.0018346938835909574,0.004319766568183128,0.006544927308546554,0.010228713492316372,0.87,0.13
Phylloscopus ricketti,theil_sen,0.0175405636142031,0.013930028266326064,-0.014744091413481925,0.008613135603665573,0.019286976528276985,0.027457425225472176,0.04129394803916059,0.8925,0.1075
Emberiza fucata,theil_sen,0.009707059141926011,0.016086246898072764,-0.01893911184284976,-0.0012530477365669465,0.00854283143213725,0.020428976379075932,0.043212288621906014,0.6975,0.3025
Chrysolophus pictus,theil_sen,0.013833371953479319,0.00589812429330568,0.0023699278310303578,0.010010216631921795,0.01409540489008354,0.017868110976648727,0.02467519944208665,0.985,0.015
Psilopogon faber,theil_sen,0.017273899867449916,0.004194056081133255,0.008070176398263657,0.014638963980739257,0.017727397550406664,0.020112700925926118,0.024665372754184376,1,0
Pterorhinus pectoralis,theil_sen,0.012758186557763842,0.013926322247188067,-0.018962820407568103,0.004627089772849679,0.013998863336522654,0.02310748218773067,0.034986276775487234,0.82,0.18
Lioparus chrysotis,theil_sen,-0.008968161608211506,0.008193853749830974,-0.02686392550321542,-0.014045820241327597,-0.008628612698161332,-0.0032723751526162062,0.005454900708984347,0.14,0.86
Luscinia cyane,theil_sen,-0.006876127632668531,0.014900802229897548,-0.038634835579400756,-0.01625434292613765,-0.00513487553855112,0.0026777052591833387,0.0180620642456445,0.3325,0.6675
Turdus merula,theil_sen,0.026048177351980874,0.0055385819111339486,0.014915616527538433,0.022658021271167644,0.026004464134599423,0.029476362255406573,0.037122797111664045,1,0
Sinosuthora alphonsiana,theil_sen,-0.0012757680719970846,0.006026624494974072,-0.014912709116396172,-0.0045262981269616216,-7.547749562011024e-4,0.003064143887820941,0.009313127564250536,0.455,0.545
Podiceps nigricollis,theil_sen,0.031228800281801423,0.016991037726983963,-6.331627086860838e-4,0.019569109463131944,0.030984610647673043,0.042488468070360504,0.0641884565904983,0.9725,0.0275
Turdus obscurus,theil_sen,0.03013009891059594,0.01751734958445091,-0.002134039005799543,0.019238694493897535,0.030611115471671804,0.04200474068353929,0.06324828400951246,0.9525,0.0475
Circus cyaneus,theil_sen,0.06027708718418482,0.01780077282567097,0.02559749741267916,0.048740240230405296,0.060924159804130004,0.07241144879390757,0.09110999117322072,0.995,0.005
Turdus naumanni,theil_sen,0.036104863251144856,0.011589074861713304,0.012952513482066354,0.028473253488900042,0.03653400126183412,0.04482535400003579,0.05557071691630478,0.995,0.005
Anthus rubescens,theil_sen,0.03752968256345493,0.013944579403001894,0.010774353067765427,0.027795593668749456,0.037351269794896,0.04759563282508712,0.06488261700738192,0.9925,0.0075
Regulus regulus,theil_sen,-0.022744185165300537,0.016130436721949422,-0.052561579442851246,-0.033011577806905876,-0.022107446837879675,-0.012372481762238593,0.0105654223698939,0.0775,0.9225
Corvus frugilegus,theil_sen,0.04167670147507879,0.016084264880521858,0.011217262933510925,0.03071172433234807,0.042732243333586425,0.05262455805993499,0.07068227054785084,0.995,0.005
