period,n_grid_each,spatial_beta_inside,spatial_beta_inside_sd,spatial_beta_outside,spatial_beta_outside_sd,beta_gap
P1,91,0.47688874344684595,0,0.5141540591538006,0.008847092679231923,-0.03726531570695468
P2,91,0.47515570161815895,0,0.5052679331710219,0.011604777663892004,-0.030112231552862967
P3,91,0.4690961980530266,0,0.492352325584376,0.010266636586365866,-0.023256127531349424
P4,91,0.45545570495695614,0,0.47440463130960875,0.010417655496956302,-0.018948926352652606
P5,91,0.41506471014013985,0,0.4227217445824391,0.010527610974352576,-0.00765703444229926
