species,protected_fraction,meets_30pct,habitat_breadth,trend_slope
Passer montanus,0.06865208199081319,FALSE,5,0.02490210830281711
Pycnonotus sinensis,0.04122586440040373,FALSE,5,0.02346778199862169
Hirundo rustica,0.06436310501160816,FALSE,8,0.0285798722716924
Spilopelia chinensis,0.049647118204710974,FALSE,8,0.04681988365137539
Pica serica,0.058389485715924914,FALSE,5,0.07172795006820762
Motacilla alba,0.06979511836424107,FALSE,8,0.00782198621706811
Turdus mandarinus,0.043918513407032886,FALSE,5,0.02629555666748831
Egretta garzetta,0.051698575282581906,FALSE,8,0.03891836926091709
Parus minor,0.055603050463469174,FALSE,5,0.01336394749752433
Cyanopica cyanus,0.06100070502547224,FALSE,5,0.02172444028445776
Streptopelia orientalis,0.06580519321622941,FALSE,8,0.02537725867183705
Tachybaptus ruficollis,0.058363028112829736,FALSE,8,0.05995892957008525
Nycticorax nycticorax,0.05592534401393916,FALSE,8,0.05750206460821409
Gallinula chloropus,0.05920090854456988,FALSE,8,0.06713404968326424
Sinosuthora webbiana,0.0449990979180632,FALSE,5,0.02791985952682362
Chloris sinica,0.05642805259869043,FALSE,5,0.01004275204707235
Cecropis daurica,0.046699854719921025,FALSE,8,-6.357988633352222e-5
Acridotheres cristatellus,0.03903278202337569,FALSE,8,0.01795706111585599
Ardeola bacchus,0.049590371586220684,FALSE,8,0.01478261989341447
Copsychus saularis,0.03881061864998182,FALSE,2,0.01131346154077236
Ardea cinerea,0.06297247444704424,FALSE,8,0.0616412279088081
Anas platyrhynchos,0.06936475094405244,FALSE,8,0.04870043340859274
Lanius schach,0.04722293334186656,FALSE,5,0.02743045629833114
Spodiopsar cineraceus,0.05580684388422757,FALSE,8,0.06224636164584044
Alcedo atthis,0.05392754231059432,FALSE,5,0.01710478112787881
Anas zonorhyncha,0.0581720165993574,FALSE,8,0.04128827368339198
Phasianus colchicus,0.062196580575347715,FALSE,5,0.04966357686285207
Zosterops simplex,0.04093643393595766,FALSE,5,0.01052281300048962
Cuculus canorus,0.07246863072066295,FALSE,5,0.03690245691804417
Corvus macrorhynchos,0.0671111480642126,FALSE,5,0.02571969184733055
Upupa epops,0.07307441981213371,FALSE,8,0.03718666934211989
Dendrocopos major,0.06518688455804617,FALSE,2,0.01187193892678296
Spodiopsar sericeus,0.038428058335683746,FALSE,5,0.03886431666359539
Dicrurus macrocercus,0.04566477224151893,FALSE,5,-0.00562915857017461
Spizixos semitorques,0.04221616879663089,FALSE,5,0.02901895209726157
Phoenicurus auroreus,0.05335911822951657,FALSE,5,0.00472822094516174
Ardea alba,0.06240293670409665,FALSE,8,0.02873584664348273
Himantopus himantopus,0.06358467752551564,FALSE,8,0.07544087740969901
Urocissa erythroryncha,0.04651405971672653,FALSE,2,0.04492261030232061
Aegithalos concinnus,0.04653186836936915,FALSE,2,0.01044557098021363
Lanius cristatus,0.055322629252985644,FALSE,8,0.00392909087441477
Fulica atra,0.06714314877848938,FALSE,8,0.10823427540250338
Horornis fortipes,0.04437168079408843,FALSE,2,0.01682565972092447
Eophona migratoria,0.04370050135811419,FALSE,5,0.0142246154422488
Podiceps cristatus,0.07039690792128535,FALSE,8,0.06262411686854213
Picus canus,0.06668175449816739,FALSE,2,0.00261958247813987
Phylloscopus inornatus,0.0464287536504064,FALSE,2,0.0299462931093883
Pterorhinus sannio,0.052757262468914566,FALSE,5,0.03979843490414222
Motacilla cinerea,0.06687283605033631,FALSE,8,0.01895434067487683
Sterna hirundo,0.07680265492658067,FALSE,8,0.04677174989918046
Falco tinnunculus,0.07085319684618664,FALSE,8,0.04156445399901182
Hypsipetes leucocephalus,0.04700923964824711,FALSE,2,0.00758737426043264
Apus apus,0.0777881055150704,FALSE,2,0.00611804121978927
Cuculus micropterus,0.04269608444707579,FALSE,2,0.02017712083237851
Phalacrocorax carbo,0.06635364732314382,FALSE,8,0.03518521860496223
Phoenicurus fuliginosus,0.06367911198538197,FALSE,8,0.02500551916487512
Prinia inornata,0.03787527620762675,FALSE,5,0.02414535894543156
Milvus migrans,0.07431037127459576,FALSE,8,0.02270791020112154
Bubulcus coromandus,0.054742232251049947,FALSE,5,4.2835498568601256e-4
Phylloscopus proregulus,0.049759275954648484,FALSE,2,0.01359926209088199
Acrocephalus orientalis,0.0531775060347293,FALSE,8,0.05059972826961889
Aegithalos glaucogularis,0.059805280522948756,FALSE,5,0.03471180149948495
Eudynamys scolopaceus,0.042961754727752544,FALSE,5,0.02149909755927838
Anthus hodgsoni,0.06050293774452459,FALSE,8,-0.00619647826385629
Pterorhinus perspicillatus,0.03316553540664528,FALSE,5,0.03859995768950752
Charadrius dubius,0.06185912669266883,FALSE,8,0.03655794493983804
Poecile palustris,0.0545734429874025,FALSE,2,0.02646984020360371
Actitis hypoleucos,0.06678381688284282,FALSE,8,0.02654660840891172
Tadorna ferruginea,0.07990382663054046,FALSE,8,0.04839960024350776
Passer cinnamomeus,0.06531082489345834,FALSE,5,0.03357887051706167
Vanellus cinereus,0.05098039545129506,FALSE,8,0.07735462315445146
Pycnonotus xanthorrhous,0.05967854065087258,FALSE,5,0.03048576316608093
Emberiza spodocephala,0.051038414060863915,FALSE,5,0.01723029082211342
Ixobrychus sinensis,0.04541128002788408,FALSE,2,0.03449280535132141
Oriolus chinensis,0.04561414611926923,FALSE,5,0.01565312311714063
Emberiza pusilla,0.05234969802711329,FALSE,5,0.01650864348451141
Chroicocephalus ridibundus,0.06589647631005564,FALSE,5,0.06061749289086341
Pycnonotus jocosus,0.035943458334840875,FALSE,5,0.01687967540784384
Streptopelia decaocto,0.07699258104064215,FALSE,8,0.03491858936632829
Pomatorhinus ruficollis,0.05113548278299861,FALSE,5,0.01918268804980113
Bambusicola thoracicus,0.03868519609590322,FALSE,5,0.02021504644068568
Pardaliparus venustulus,0.05064733458141196,FALSE,5,-0.00372002734180188
Ficedula albicilla,0.05814402763523792,FALSE,5,0.0057475027397325
Picoides canicapillus,0.0528568645750468,FALSE,2,0.08100947335415826
Hemixos castanonotus,0.02989479767195599,FALSE,2,0.02088289249913169
Tringa glareola,0.06339145824899711,FALSE,8,0.02236507163693066
Abroscopus albogularis,0.04447386605939333,FALSE,2,0.02567115221514311
Saxicola stejnegeri,0.045392941541194706,FALSE,5,0.04421700737182515
Garrulus glandarius,0.05315219781469972,FALSE,2,0.00471375261870953
Chlidonias hybrida,0.060305801786445956,FALSE,8,0.07738471593835042
Corvus corone,0.07540782852201824,FALSE,8,0.03871383013385347
Trochalopteron elliotii,0.09499598846704796,FALSE,2,-0.00610491492986583
Parus monticolus,0.08143252125162127,FALSE,2,0.00944163232907883
