mean,sd,q025,median,q975,metric,method,grid_cell,hfi_change_q
6.3237316305617,0.4483573336375829,5.531383011656312,6.319148290169662,7.204344491663241,corrected_richness,ols,56,Q1 (low ΔHFI)
6.923324863043893,0.4630030916764888,6.086142711437158,6.912770675549821,7.84984448235008,corrected_richness,ols,57,Q1 (low ΔHFI)
6.890694474303464,0.451620912065231,6.00809115373931,6.878621401052882,7.808665976858031,corrected_richness,ols,128,Q1 (low ΔHFI)
7.271570261899239,0.4298130399926353,6.482968431673453,7.294088508879371,8.141234655223283,corrected_richness,ols,198,Q1 (low ΔHFI)
7.513408492576904,0.4558193289623504,6.645746634270295,7.503448041042259,8.386472421539205,corrected_richness,ols,199,Q1 (low ΔHFI)
5.001732282092426,0.39648857008801736,4.221234191969933,4.995375762193708,5.8193091408110185,corrected_richness,ols,203,Q1 (low ΔHFI)
7.202392755205958,0.4150031567463328,6.449922974297075,7.208993018234767,7.978314097212889,corrected_richness,ols,270,Q1 (low ΔHFI)
7.3670413675308115,0.4266610466414274,6.617587758822609,7.367923030057362,8.227053139986491,corrected_richness,ols,271,Q1 (low ΔHFI)
7.3528005868902255,0.4304434622132015,6.594232921716176,7.35505186507984,8.222639999571742,corrected_richness,ols,272,Q1 (low ΔHFI)
7.476927162322624,0.4654586794023493,6.624780602621296,7.472697183368314,8.431462869789335,corrected_richness,ols,274,Q1 (low ΔHFI)
6.733477100009569,0.4410288811688115,5.917886216400956,6.738427005272769,7.66527023782627,corrected_richness,ols,276,Q1 (low ΔHFI)
6.716338154671128,0.4548924969627529,5.836143923749752,6.726346422099204,7.632127764733815,corrected_richness,ols,341,Q1 (low ΔHFI)
5.956031469894676,0.4262191811163279,5.106448799368502,5.947417459458347,6.826713875079163,corrected_richness,ols,342,Q1 (low ΔHFI)
5.78502955248914,0.41631216736883175,4.984090985506147,5.790828963669141,6.589847743138772,corrected_richness,ols,343,Q2
6.513138749249107,0.39748536705600807,5.750562679417882,6.512427477533018,7.304378558059063,corrected_richness,ols,344,Q1 (low ΔHFI)
6.938531090683356,0.4006614793426255,6.173763704280616,6.936079502010536,7.761341466339616,corrected_richness,ols,345,Q1 (low ΔHFI)
6.744661299652908,0.3706075684655471,6.0548212497162694,6.735146428619132,7.488425397123677,corrected_richness,ols,347,Q1 (low ΔHFI)
7.1084206800377725,0.39509654379255554,6.387406176390214,7.108762316491445,7.929498868681246,corrected_richness,ols,412,Q1 (low ΔHFI)
7.814445313797755,0.43514781174075534,6.992920804679997,7.798435303700278,8.705879655484846,corrected_richness,ols,413,Q1 (low ΔHFI)
7.837631655402513,0.42484472981826754,7.090554389749352,7.821511657305301,8.730681937717613,corrected_richness,ols,414,Q2
7.986711541426732,0.4512061009675804,7.0736896804765665,7.979067600195872,8.911347105538047,corrected_richness,ols,415,Q1 (low ΔHFI)
7.943512026788346,0.4555516605776612,6.988037232519562,7.938704518032489,8.89755050132504,corrected_richness,ols,416,Q1 (low ΔHFI)
5.777500744398281,0.3877816883246488,4.986815774430126,5.7894454766662244,6.579200321142162,corrected_richness,ols,417,Q1 (low ΔHFI)
5.853244267593998,0.3789533682774244,5.130881542726379,5.857796080849635,6.601383454722806,corrected_richness,ols,418,Q1 (low ΔHFI)
7.716151114504893,0.40696331906352107,6.977744279515797,7.692746130458808,8.577195461215355,corrected_richness,ols,483,Q1 (low ΔHFI)
7.307786105538192,0.4082285835790948,6.581275615540337,7.286902139776523,8.193126169196237,corrected_richness,ols,484,Q1 (low ΔHFI)
7.306016723103385,0.40874054523419623,6.587867688693216,7.275529926947676,8.181492155064472,corrected_richness,ols,485,Q2
7.83999607916436,0.4121042525500163,7.101675830394388,7.80799915462667,8.693392834395302,corrected_richness,ols,486,Q2
7.553935359292362,0.40790760940280785,6.820160935529299,7.541976254532758,8.364713263759914,corrected_richness,ols,487,Q1 (low ΔHFI)
7.849079957663953,0.4116817273391836,7.041995014548333,7.835116275164928,8.674749682299518,corrected_richness,ols,554,Q2
7.655632835679528,0.41198026822026784,6.872411318718428,7.6445339793499345,8.435760094511311,corrected_richness,ols,555,Q1 (low ΔHFI)
7.229175186038572,0.3919886951632133,6.4747003431236765,7.220874806185154,7.97306417693076,corrected_richness,ols,556,Q1 (low ΔHFI)
6.924580764849126,0.3788753009366981,6.17526085467778,6.920153297750339,7.638797174302489,corrected_richness,ols,557,Q3
6.994715947228872,0.39286335835264213,6.241621949914754,7.020023478030101,7.711462688806477,corrected_richness,ols,558,Q2
7.538358752885264,0.40091361360517114,6.794783645378269,7.521242658302932,8.327251567776438,corrected_richness,ols,559,Q1 (low ΔHFI)
7.287920136833221,0.38809906334013067,6.534950279132484,7.252781211531971,8.06005373395695,corrected_richness,ols,560,Q1 (low ΔHFI)
5.4500104850360085,0.3561775771077018,4.769376704203617,5.427255229914777,6.169689597550399,corrected_richness,ols,561,Q1 (low ΔHFI)
6.101664824314372,0.35955261223710516,5.427196537156633,6.0929701277600135,6.8494088994419835,corrected_richness,ols,563,Q1 (low ΔHFI)
5.671848615194166,0.3363446548634155,4.994679754782676,5.654280320778731,6.395080058901575,corrected_richness,ols,564,Q1 (low ΔHFI)
5.342872153257793,0.3592367390029125,4.702559668479298,5.330835193976442,6.0576685925624245,corrected_richness,ols,592,Q1 (low ΔHFI)
4.9604938558972975,0.34172620448972757,4.285141256123022,4.9444365425864145,5.639759141569868,corrected_richness,ols,593,Q1 (low ΔHFI)
5.854850931709417,0.3764854686131279,5.141359035327603,5.867168988088341,6.5944227106730215,corrected_richness,ols,625,Q1 (low ΔHFI)
5.910880875620046,0.3712589134308397,5.187813497980588,5.9385076057709,6.636618132925666,corrected_richness,ols,626,Q1 (low ΔHFI)
6.5638594648265585,0.3583070447393319,5.889009385209128,6.564366177563279,7.252807718536707,corrected_richness,ols,627,Q1 (low ΔHFI)
6.307177690195321,0.3550199979895864,5.645637546059898,6.308072160041586,7.015509044344649,corrected_richness,ols,628,Q1 (low ΔHFI)
6.469958211284599,0.3643316368266972,5.769704192339484,6.493189352958684,7.178577058243875,corrected_richness,ols,629,Q2
6.465129278255905,0.3804063592885465,5.752807627355884,6.441329562556048,7.230044081045565,corrected_richness,ols,630,Q1 (low ΔHFI)
7.553844742390825,0.43527579949809153,6.713456829520171,7.517304674281912,8.469586251380841,corrected_richness,ols,634,Q1 (low ΔHFI)
6.577428888074947,0.4154193506446697,5.815004036085976,6.548606940084543,7.459491471373174,corrected_richness,ols,635,Q1 (low ΔHFI)
5.169811715360677,0.3692834490051304,4.494502859961667,5.151461845014599,5.951548463848881,corrected_richness,ols,636,Q1 (low ΔHFI)
5.184075422534256,0.4061531732429579,4.45952457926681,5.156183252262254,6.0497232745111225,corrected_richness,ols,637,Q1 (low ΔHFI)
7.1768363435996845,0.4025577540948537,6.387804137664265,7.175828958021699,7.957969366643889,corrected_richness,ols,640,Q1 (low ΔHFI)
4.831607999724017,0.34791120945659715,4.171960536156962,4.82710620317139,5.546147081540683,corrected_richness,ols,663,Q2
4.924725641768384,0.30835790603383384,4.335999444354245,4.948385916083074,5.537409117935636,corrected_richness,ols,664,Q2
5.075308177641055,0.3096856448065539,4.505474319161124,5.074663231101962,5.700777180014254,corrected_richness,ols,665,Q1 (low ΔHFI)
5.025315563346389,0.3030141234174856,4.45971209080682,5.0273155672919465,5.615086037316407,corrected_richness,ols,666,Q1 (low ΔHFI)
6.929014814873214,0.396422932059906,6.124692416958425,6.9130680301049665,7.815644218307935,corrected_richness,ols,696,Q1 (low ΔHFI)
6.687629811752071,0.4267457907635847,5.897307227356403,6.679066453416522,7.5655485547205235,corrected_richness,ols,698,Q1 (low ΔHFI)
6.821926145471417,0.3752944474043828,6.111620462089372,6.820030886417642,7.604251678682331,corrected_richness,ols,699,Q1 (low ΔHFI)
6.523795042423849,0.3961313743114608,5.812340611189238,6.504676884389977,7.421592386480914,corrected_richness,ols,700,Q1 (low ΔHFI)
6.779121634316425,0.3818816531107709,6.0722135868861535,6.775296028716311,7.599141520333148,corrected_richness,ols,701,Q1 (low ΔHFI)
5.840922361378514,0.4246846088529802,4.9861342107010325,5.855054788939987,6.672841698999694,corrected_richness,ols,702,Q1 (low ΔHFI)
6.459270193471924,0.3762413708238096,5.751371917092315,6.445360562472898,7.181708680380109,corrected_richness,ols,704,Q1 (low ΔHFI)
6.602976402727028,0.3850477728726284,5.86984024338975,6.587581045178954,7.399600179229623,corrected_richness,ols,705,Q2
