term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,-0.009831496895255625,0.008628597206914163,-0.0252304295,0.008839746842499961
delta_t_mean,-5.2938237184762127e-5,1.869406655380208e-4,-4.1943971725000003e-4,3.1204918799999996e-4
delta_t_extreme,1.5716005004524987e-4,1.9496820253721653e-4,-2.2786282324999997e-4,5.359172817499996e-4
delta_forest,-2.9176563317560275e-4,1.2225094174584305e-4,-5.29027525e-4,-4.730843350000002e-5
delta_impervious,3.479284506519175e-4,1.7220008243674345e-4,8.856011802500017e-6,6.820914842499996e-4
delta_natural,1.429422391146386e-4,7.922330424792461e-5,-1.0926034624999997e-5,2.97996365e-4
delta_hfi,-4.7666719903164876e-4,1.81028021393468e-4,-8.3267492825e-4,-1.1405867150000015e-4
bio11,6.19750366105e-4,1.0396770198152293e-4,4.1591609625e-4,8.238208749999996e-4
elev_mean,4.34015297105e-4,8.981030217808878e-5,2.5544713525e-4,6.081072592499999e-4
centroid_lon,-0.001451315938767385,0.0038002862693135267,-0.009441967255,0.005834095562499994
centroid_lat,0.0032736892281382125,0.004596740995812692,-0.005678675752499999,0.012752735374999987
