grid_cell,centroid_lon,centroid_lat,hfi_2024,hfi_2020,hfi_2000,hfi_2005,hfi_2010,hfi_2015,delta_hfi,early_year,late_year,data_source,hfi_P1,hfi_P2,hfi_P3,hfi_P4,hfi_P5
56,122.6259880512578,53.26185729168209,2.348274082415782,2.355297787420172,2.311644567207158,2.2669611651055055,2.2207961188683645,2.334516755287446,0.03662951520862423,2000,2024,HFI_Mu_2022,2.311644567207158,2.2669611651055055,2.2207961188683645,2.334516755287446,2.3517859349179773
57,123.50381425901432,53.28723680119337,2.2261451693734053,2.229223276704561,2.2403583718652267,2.2384433373751524,2.218758601412928,2.2227695419948668,-0.014213202491821342,2000,2024,HFI_Mu_2022,2.2403583718652267,2.2384433373751524,2.218758601412928,2.2227695419948668,2.2276842230389833
128,122.62003628231469,52.82123800100551,3.0583753471028703,3.1173128126470973,3.1748514702194632,3.236316941691145,3.2281472158404836,3.239860190259257,-0.11647612311659294,2000,2024,HFI_Mu_2022,3.1748514702194632,3.236316941691145,3.2281472158404836,3.239860190259257,3.0878440798749835
198,120.96829322790097,52.282076961806844,0.9226007597708307,0.9226007597708307,0.8597797835950061,0.9155001819527386,0.8925944429302544,0.9893462356352657,0.0628209761758246,2000,2024,HFI_Mu_2022,0.8597797835950061,0.9155001819527386,0.8925944429302544,0.9893462356352657,0.9226007597708307
199,121.72172099819515,52.27498606676315,1.148708356912433,1.1571851781044862,1.1847213505292067,1.1600956324092886,1.1391885291281412,1.2393425304462076,-0.03601299361677368,2000,2024,HFI_Mu_2022,1.1847213505292067,1.1600956324092886,1.1391885291281412,1.2393425304462076,1.1529467675084595
203,125.31498213467323,52.27498606676315,3.5615313889332954,3.614776420909048,3.6260537965802957,3.6656292922686267,3.6213549304482164,3.6232275830909906,-0.06452240764700035,2000,2024,HFI_Mu_2022,3.6260537965802957,3.6656292922686267,3.6213549304482164,3.6232275830909906,3.588153904921172
270,120.8482612732761,51.70552270449054,1.5159669371446132,1.5159669371446132,1.3915677773161508,1.407124722136894,1.406350061445545,1.5875770998282197,0.12439915982846239,2000,2024,HFI_Mu_2022,1.3915677773161508,1.407124722136894,1.406350061445545,1.5875770998282197,1.5159669371446132
271,121.72172099819515,51.72191801112358,1.8317279924655778,1.8624770074215171,1.6820960072464046,1.6829252673074457,1.6564422692123355,1.988742851916679,0.1496319852191732,2000,2024,HFI_Mu_2022,1.6820960072464046,1.6829252673074457,1.6564422692123355,1.988742851916679,1.8471024999435475
272,122.62003628231469,51.72191801112358,0.29778904562446434,0.29778904562446434,0.18253451476484578,0.21384415427680553,0.23910090368193343,0.352845574370567,0.11525453085961856,2000,2024,HFI_Mu_2022,0.18253451476484578,0.21384415427680553,0.23910090368193343,0.352845574370567,0.29778904562446434
274,124.41666685055372,51.72191801112358,2.06521780585256,2.087036943853,2.111855520214119,2.1231130737403925,2.0277558187307956,2.124316545518713,-0.04663771436155928,2000,2024,HFI_Mu_2022,2.111855520214119,2.1231130737403925,2.0277558187307956,2.124316545518713,2.07612737485278
