parameter,group,rhat,ess
beta.comm[136],beta.comm,1,76.9646317191017
beta.comm[137],beta.comm,1,77.77856422581075
beta.comm[138],beta.comm,1,89.8518944036014
beta.comm[139],beta.comm,1,80.41886987967771
beta.comm[140],beta.comm,1,78.22949871036109
beta.comm[141],beta.comm,1,95.09910828003359
beta.comm[142],beta.comm,1,113.09091798219251
beta.comm[143],beta.comm,1,88.81648274870903
beta.comm[144],beta.comm,1,77.36676345320689
beta.comm[145],beta.comm,1,113.70835511187099
beta.comm[146],beta.comm,1,89.25644189685936
beta.comm[147],beta.comm,1,78.45951833701386
beta.comm[148],beta.comm,1,92.87802429537642
beta.comm[149],beta.comm,1,75.85453824967936
beta.comm[150],beta.comm,1,74.81777932763517
beta.comm[151],beta.comm,1,109.91808952475539
beta.comm[152],beta.comm,1,75.13675260592665
beta.comm[153],beta.comm,1,125.14121125935281
beta.comm[154],beta.comm,1,75.00253317124157
beta.comm[155],beta.comm,1,60
beta.comm[156],beta.comm,1,77.24001341570515
beta.comm[157],beta.comm,1,112.09724539511465
beta.comm[158],beta.comm,1,93.95371194575756
beta.comm[159],beta.comm,1,75.2878991907522
beta.comm[160],beta.comm,1,74.90184199448794
beta.comm[161],beta.comm,1,92.35299040200113
beta.comm[162],beta.comm,1,60
beta.comm[163],beta.comm,1,118.32017750805642
beta.comm[164],beta.comm,1,76.33043154922721
beta.comm[165],beta.comm,1,94.25934003416924
beta.comm[166],beta.comm,1,94.0402149626418
beta.comm[167],beta.comm,1,114.49057891869273
beta.comm[168],beta.comm,1,106.41449780169046
beta.comm[169],beta.comm,1,107.95246222182236
beta.comm[170],beta.comm,1,108.11669766010183
beta.comm[171],beta.comm,1,89.6818973450756
beta.comm[172],beta.comm,1,94.03940286535244
beta.comm[173],beta.comm,1,92.98677165309303
beta.comm[174],beta.comm,1,89.40092854120734
beta.comm[175],beta.comm,1,92.7164835060509
beta.comm[176],beta.comm,1,74.68273253013587
beta.comm[177],beta.comm,1,76.2230381652091
beta.comm[178],beta.comm,1,99.65060905143224
beta.comm[179],beta.comm,1,79.8154763879181
beta.comm[180],beta.comm,1,78.20199651836582
beta.comm[181],beta.comm,1,109.17413803906321
beta.comm[182],beta.comm,1,60
beta.comm[183],beta.comm,1,92.50239450639504
beta.comm[184],beta.comm,1,74.75138101121654
beta.comm[185],beta.comm,1,81.82025357229195
beta.comm[186],beta.comm,1,60
beta.comm[187],beta.comm,1,107.1127963842199
beta.comm[188],beta.comm,1,80.87984856112499
beta.comm[189],beta.comm,1,75.21203155193206
beta.comm[190],beta.comm,1,131.877522716982
beta.comm[191],beta.comm,1,106.05943011874845
beta.comm[192],beta.comm,1,100.67386481970024
beta.comm[193],beta.comm,1,74.53819433645677
beta.comm[194],beta.comm,1,79.3403356110482
beta.comm[195],beta.comm,1,91.13257543982735
beta.comm[196],beta.comm,1,77.73629856969957
beta.comm[197],beta.comm,1,74.16087303525998
beta.comm[198],beta.comm,1,60
beta.comm[199],beta.comm,1,60
beta.comm[200],beta.comm,1,110.46477426808787
beta.comm[201],beta.comm,1,76.31010180350907
beta.comm[202],beta.comm,1,60
beta.comm[203],beta.comm,1,59.999999999999986
beta.comm[204],beta.comm,1,95.92391236107053
beta.comm[205],beta.comm,1,92.91124027706691
beta.comm[206],beta.comm,1,60
beta.comm[207],beta.comm,1,110.53036908800856
beta.comm[208],beta.comm,1,78.20766008875145
beta.comm[209],beta.comm,1,95.05187149012346
beta.comm[210],beta.comm,1,98.8483169722747
beta.comm[211],beta.comm,1,75.44348701038413
beta.comm[212],beta.comm,1,113.47025010826172
beta.comm[213],beta.comm,1,75.9267902629807
beta.comm[214],beta.comm,1,107.60858138439184
beta.comm[215],beta.comm,1,79.53401391073106
beta.comm[216],beta.comm,1,91.94340432362692
beta.comm[217],beta.comm,1,91.94160435472659
beta.comm[218],beta.comm,1,90.88340445222114
beta.comm[219],beta.comm,1,78.11185117608574
beta.comm[220],beta.comm,1,92.78954144486801
beta.comm[221],beta.comm,1,92.62677585645747
beta.comm[222],beta.comm,1,97.06686948905761
beta.comm[223],beta.comm,1,131.15622926169522
beta.comm[224],beta.comm,1,91.99995912308633
beta.comm[225],beta.comm,1,75.13390585069612
beta.comm[226],beta.comm,1,91.05442436775078
beta.comm[227],beta.comm,1,89.76505417713506
beta.comm[228],beta.comm,1,94.91176648118615
beta.comm[229],beta.comm,1,90.8871547477436
beta.comm[230],beta.comm,1,81.71768696399302
beta.comm[231],beta.comm,1,79.58217665014737
beta.comm[232],beta.comm,1,74.53856031576878
beta.comm[233],beta.comm,1,74.8128482188508
beta.comm[234],beta.comm,1,92.93532271933239
beta.comm[235],beta.comm,1,107.8552625322375
beta.comm[236],beta.comm,1,74.25025708046043
beta.comm[237],beta.comm,1,76.80951164390375
beta.comm[238],beta.comm,1,114.45795538919093
beta.comm[239],beta.comm,1,76.45473156545899
beta.comm[240],beta.comm,1,88.36520585154328
beta.comm[241],beta.comm,1,77.45937478810845
beta.comm[242],beta.comm,1,78.4447188069652
beta.comm[243],beta.comm,1,96.68567845227368
beta.comm[244],beta.comm,1,77.4253956273914
beta.comm[245],beta.comm,1,106.9925434673189
beta.comm[246],beta.comm,1,106.14432503811699
beta.comm[247],beta.comm,1,122.90769319503775
beta.comm[248],beta.comm,1,94.39785205335858
beta.comm[249],beta.comm,1,107.21475492171899
beta.comm[250],beta.comm,1,93.76522444977572
beta.comm[251],beta.comm,1,60
beta.comm[252],beta.comm,1,75.00110471704639
beta.comm[253],beta.comm,1,105.14458733229789
beta.comm[254],beta.comm,1,74.94596023580134
beta.comm[255],beta.comm,1,97.6145346725545
beta.comm[256],beta.comm,1,75.74640035033242
beta.comm[257],beta.comm,1,75.41206511324907
beta.comm[258],beta.comm,1,115.81599220302536
beta.comm[259],beta.comm,1,109.2929063779907
beta.comm[260],beta.comm,1,113.36123204357709
