metric,period,age_class,n_grid,mean,se
corrected_richness,P1,mid(15-30a),107,75.45286537415853,1.7331821333060538
corrected_richness,P1,old(>30a),214,74.3748202360028,1.48099798219177
corrected_richness,P1,unprotected,924,80.75870064538648,0.7941221445820597
corrected_richness,P2,mid(15-30a),107,78.34501373145106,1.7971826666818989
corrected_richness,P2,old(>30a),214,77.284246942778,1.554174389888507
corrected_richness,P2,unprotected,924,83.90612713589474,0.8352682403498335
corrected_richness,P3,mid(15-30a),107,83.59636135546376,1.8568094343943649
corrected_richness,P3,old(>30a),214,81.99048225106935,1.6452150604177769
corrected_richness,P3,unprotected,924,88.67334474522991,0.880785675609438
corrected_richness,P4,mid(15-30a),107,87.00484679343818,1.909012799321885
corrected_richness,P4,old(>30a),214,85.36581142906141,1.7108524713687696
corrected_richness,P4,unprotected,924,92.21974667469944,0.9168902715382432
corrected_richness,P5,mid(15-30a),107,98.5621958434279,2.0030748292075984
corrected_richness,P5,old(>30a),214,95.93242962924474,1.8343205382245407
corrected_richness,P5,unprotected,924,102.32247144476987,0.9799149494534748
cwm_pc1,P1,mid(15-30a),107,-0.03812399818656734,0.012210239073315497
cwm_pc1,P1,old(>30a),214,-0.013854186929591436,0.010020432776094372
cwm_pc1,P1,unprotected,924,-0.02348709045806442,0.004783680921470007
cwm_pc1,P2,mid(15-30a),107,-0.051311222877123364,0.01233199177226399
cwm_pc1,P2,old(>30a),214,-0.025292220046031814,0.010186802127277595
cwm_pc1,P2,unprotected,924,-0.03517718438457428,0.004825481535924017
cwm_pc1,P3,mid(15-30a),107,-0.057831576514293714,0.012210557229101242
cwm_pc1,P3,old(>30a),214,-0.033033836217549406,0.010187649722314404
cwm_pc1,P3,unprotected,924,-0.043729944760084585,0.00473425220903519
cwm_pc1,P4,mid(15-30a),107,-0.08781784534895402,0.011461820797447432
cwm_pc1,P4,old(>30a),214,-0.06349545076885035,0.00989203765834528
cwm_pc1,P4,unprotected,924,-0.07064692131699282,0.0046036727023025335
cwm_pc1,P5,mid(15-30a),107,-0.09638872116680933,0.010892908385993614
cwm_pc1,P5,old(>30a),214,-0.07849988962879584,0.00940227275380425
cwm_pc1,P5,unprotected,924,-0.08663738464648596,0.004301827865229047
cwm_pc2,P1,mid(15-30a),107,0.16773482380086474,0.009671021018670796
cwm_pc2,P1,old(>30a),214,0.14092059773695342,0.009198703511208871
cwm_pc2,P1,unprotected,924,0.1199277105206377,0.004893564709783879
cwm_pc2,P2,mid(15-30a),107,0.15479151250475204,0.009985277002571201
cwm_pc2,P2,old(>30a),214,0.12801630210827805,0.009260652472857546
cwm_pc2,P2,unprotected,924,0.1115252462098283,0.0048388010594788726
cwm_pc2,P3,mid(15-30a),107,0.161273087936525,0.010161349458874449
cwm_pc2,P3,old(>30a),214,0.13649441393403414,0.009367835476977305
cwm_pc2,P3,unprotected,924,0.12126428906881312,0.0048062450925875555
cwm_pc2,P4,mid(15-30a),107,0.17486478603385233,0.009954972579569956
cwm_pc2,P4,old(>30a),214,0.14940902737043876,0.009266270140490397
cwm_pc2,P4,unprotected,924,0.1358636203117682,0.004708898282373261
cwm_pc2,P5,mid(15-30a),107,0.17773787487441672,0.009961409553627499
cwm_pc2,P5,old(>30a),214,0.1561580859196409,0.008961070051061252
cwm_pc2,P5,unprotected,924,0.1460289060575591,0.004488627271765633
fdis_prob,P1,mid(15-30a),107,1.2617856100277762,0.008810714572659273
fdis_prob,P1,old(>30a),214,1.2849213285226315,0.007850956946335388
fdis_prob,P1,unprotected,924,1.2496898045858689,0.0033424402064278205
fdis_prob,P2,mid(15-30a),107,1.2499701031516761,0.008504329233909888
fdis_prob,P2,old(>30a),214,1.2729885082457737,0.007633318859284829
fdis_prob,P2,unprotected,924,1.2396581277814214,0.0032848231824163976
fdis_prob,P3,mid(15-30a),107,1.242673987577125,0.008038490320724196
fdis_prob,P3,old(>30a),214,1.2682216725794415,0.007848794179786508
fdis_prob,P3,unprotected,924,1.2371501579157211,0.003256480581188646
