mean,sd,q025,median,q975,metric,grid_cell
1,0,1,1,1,synchrony,1055
1,0,1,1,1,synchrony,1057
1,0,1,1,1,synchrony,1058
1,0,1,1,1,synchrony,1061
1,0,1,1,1,synchrony,1063
1,0,1,1,1,synchrony,1064
1,0,1,1,1,synchrony,1065
1,0,1,1,1,synchrony,1066
1,0,1,1,1,synchrony,1068
1,0,1,1,1,synchrony,1069
1,0,1,1,1,synchrony,1070
1,0,1,1,1,synchrony,1073
1,0,1,1,1,synchrony,1075
1,0,1,1,1,synchrony,1076
1,0,1,1,1,synchrony,1089
1,0,1,1,1,synchrony,1090
1,0,1,1,1,synchrony,1091
1,0,1,1,1,synchrony,1092
1,0,1,1,1,synchrony,1093
1,0,1,1,1,synchrony,1094
1,0,1,1,1,synchrony,1095
1,0,1,1,1,synchrony,1096
1,0,1,1,1,synchrony,1097
1,0,1,1,1,synchrony,1098
1,0,1,1,1,synchrony,1100
1,0,1,1,1,synchrony,1101
1,0,1,1,1,synchrony,1103
1,0,1,1,1,synchrony,1126
1,0,1,1,1,synchrony,1127
1,0,1,1,1,synchrony,1128
1,0,1,1,1,synchrony,1129
1,0,1,1,1,synchrony,1130
1,0,1,1,1,synchrony,1131
1,0,1,1,1,synchrony,1133
1,0,1,1,1,synchrony,1134
1,0,1,1,1,synchrony,1137
1,0,1,1,1,synchrony,1138
1,0,1,1,1,synchrony,1139
1,0,1,1,1,synchrony,1140
1,0,1,1,1,synchrony,1142
1,0,1,1,1,synchrony,1143
1,0,1,1,1,synchrony,1144
1,0,1,1,1,synchrony,1145
1,0,1,1,1,synchrony,1161
1,0,1,1,1,synchrony,1162
1,0,1,1,1,synchrony,1163
1,0,1,1,1,synchrony,1164
1,0,1,1,1,synchrony,1165
1,0,1,1,1,synchrony,1166
1,0,1,1,1,synchrony,1167
1,0,1,1,1,synchrony,1168
1,0,1,1,1,synchrony,1169
1,0,1,1,1,synchrony,1170
1,0,1,1,1,synchrony,1171
