outcome,mean_protected,mean_unprotected,ATT,ci_lo,ci_hi,p_value,n_matched
trend_corrected_richness,2.8859460226049505,2.9542709788515746,-0.06832495624662416,-0.3121517460081078,0.1755018335148595,0.580562743147997,152
trend_shannon,0.025748731794729997,0.024226899142023233,0.0015218326527067644,-9.777854317471373e-4,0.004021450737160666,0.2308722199810391,152
trend_inv_simpson,2.6655740067960125,2.6016466172594943,0.06392738953651822,-0.15802247500647684,0.28587725407951325,0.5701308845435693,152
trend_trait_volume,-0.004594986112239461,-0.004105111160726643,-4.898749515128186e-4,-0.0016157215698349469,6.359716668093097e-4,0.3912802315829773,152
trend_trait_dispersion,-0.005692338292483514,-0.00497833082433704,-7.140074681464739e-4,-0.0022763646559387537,8.483497196458064e-4,0.3679623053749801,152
trend_rao_q,-0.006387821657741652,-0.005670035054865689,-7.177866028759633e-4,-0.002439766831261833,0.0010041936255099067,0.4114339959992228,152
trend_feve,0.0012489882302714117,0.0012619820385750095,-1.2993808303597872e-5,-3.4809688504717606e-4,3.221092684399803e-4,0.939030451422936,152
trend_fdiv,0.0016676231006303114,0.0014201897570287891,2.4743334360152226e-4,-3.2321525860523533e-4,8.180819458082799e-4,0.39294625984919307,152
trend_fric_prob,0.028317307686159244,0.014380163930566852,0.013937143755592392,-0.002205909758446825,0.030080197269631608,0.09007536571106975,152
trend_fdiv_fund,-3.839349047583616e-5,8.618689343158782e-5,-1.2458038390742397e-4,-4.149127961865535e-4,1.6575202837170556e-4,0.3978125918068296,152
trend_feve_fund,-0.006917157601759612,-0.0068635104836278485,-5.364711813176347e-5,-0.001159180573781693,0.0010518863375181663,0.923739914808383,152
trend_fdis_prob,-0.005589098622530702,-0.005216274787634195,-3.728238348965074e-4,-0.0025045116433151157,0.0017588639735221009,0.7301278704818557,152
trend_fmpd_prob,-0.007106714437933204,-0.006332608895426672,-7.741055425065316e-4,-0.002623257336998956,0.001075046251985893,0.40943728791592204,152
trend_raoq_fund,-0.005711897431470575,-0.005634158387202346,-7.773904426822912e-5,-0.0024966266718270485,0.0023411485832905902,0.9494467661006959,152
trend_cwm_pc1,-0.010184513107334085,-0.008396002992111882,-0.0017885101152222034,-0.004780132138038283,0.0012031119075938772,0.23933411698377036,152
trend_cwm_pc2,0.004742413221643146,0.0035866522923320267,0.001155760929311119,-0.0018364367750738923,0.00414795863369613,0.446467349025246,152
trend_pd_prob_mctavish,13128.89416514772,13437.755407164213,-308.86124201649363,-1414.662757524188,796.9402734912007,0.5817901157405859,152
trend_mpd_prob_mctavish,0.2646720138933398,0.2970440732967504,-0.03237205940341065,-0.13028689756504905,0.06554277875822775,0.5145856548376264,152
